네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","나스컨실러"
"2017-08-01",28
"2017-08-02",21
"2017-08-03",27
"2017-08-04",26
"2017-08-05",18
"2017-08-06",21
"2017-08-07",29
"2017-08-08",22
"2017-08-09",25
"2017-08-10",21
"2017-08-11",25
"2017-08-12",20
"2017-08-13",25
"2017-08-14",25
"2017-08-15",31
"2017-08-16",31
"2017-08-17",36
"2017-08-18",26
"2017-08-19",21
"2017-08-20",26
"2017-08-21",30
"2017-08-22",28
"2017-08-23",29
"2017-08-24",27
"2017-08-25",15
"2017-08-26",22
"2017-08-27",26
"2017-08-28",24
"2017-08-29",26
"2017-08-30",22
"2017-08-31",27
"2017-09-01",23
"2017-09-02",24
"2017-09-03",31
"2017-09-04",25
"2017-09-05",35
"2017-09-06",28
"2017-09-07",25
"2017-09-08",21
"2017-09-09",19
"2017-09-10",26
"2017-09-11",26
"2017-09-12",31
"2017-09-13",26
"2017-09-14",22
"2017-09-15",25
"2017-09-16",20
"2017-09-17",31
"2017-09-18",33
"2017-09-19",22
"2017-09-20",25
"2017-09-21",23
"2017-09-22",20
"2017-09-23",20
"2017-09-24",33
"2017-09-25",35
"2017-09-26",40
"2017-09-27",43
"2017-09-28",33
"2017-09-29",24
"2017-09-30",34
"2017-10-01",33
"2017-10-02",41
"2017-10-03",31
"2017-10-04",29
"2017-10-05",35
"2017-10-06",50
"2017-10-07",68
"2017-10-08",55
"2017-10-09",66
"2017-10-10",70
"2017-10-11",59
"2017-10-12",54
"2017-10-13",42
"2017-10-14",43
"2017-10-15",46
"2017-10-16",51
"2017-10-17",46
"2017-10-18",54
"2017-10-19",56
"2017-10-20",42
"2017-10-21",42
"2017-10-22",62
"2017-10-23",47
"2017-10-24",49
"2017-10-25",47
"2017-10-26",48
"2017-10-27",35
"2017-10-28",35
"2017-10-29",42
"2017-10-30",40
"2017-10-31",31
"2017-11-01",57
"2017-11-02",36
"2017-11-03",32
"2017-11-04",33
"2017-11-05",50
"2017-11-06",42
"2017-11-07",52
"2017-11-08",47
"2017-11-09",45
"2017-11-10",44
"2017-11-11",46
"2017-11-12",40
"2017-11-13",46
"2017-11-14",41
"2017-11-15",31
"2017-11-16",37
"2017-11-17",26
"2017-11-18",29
"2017-11-19",39
"2017-11-20",33
"2017-11-21",36
"2017-11-22",38
"2017-11-23",38
"2017-11-24",38
"2017-11-25",37
"2017-11-26",38
"2017-11-27",40
"2017-11-28",40
"2017-11-29",40
"2017-11-30",47
"2017-12-01",46
"2017-12-02",46
"2017-12-03",49
"2017-12-04",51
"2017-12-05",47
"2017-12-06",63
"2017-12-07",44
"2017-12-08",36
"2017-12-09",37
"2017-12-10",52
"2017-12-11",49
"2017-12-12",43
"2017-12-13",52
"2017-12-14",46
"2017-12-15",41
"2017-12-16",38
"2017-12-17",53
"2017-12-18",40
"2017-12-19",49
"2017-12-20",52
"2017-12-21",45
"2017-12-22",32
"2017-12-23",42
"2017-12-24",41
"2017-12-25",48
"2017-12-26",39
"2017-12-27",48
"2017-12-28",40
"2017-12-29",32
"2017-12-30",33
"2017-12-31",44
"2018-01-01",43
"2018-01-02",63
"2018-01-03",59
"2018-01-04",61
"2018-01-05",45
"2018-01-06",73
"2018-01-07",66
"2018-01-08",75
"2018-01-09",62
"2018-01-10",58
"2018-01-11",62
"2018-01-12",51
"2018-01-13",50
"2018-01-14",64
"2018-01-15",69
"2018-01-16",61
"2018-01-17",60
"2018-01-18",59
"2018-01-19",46
"2018-01-20",44
"2018-01-21",53
"2018-01-22",58
"2018-01-23",64
"2018-01-24",64
"2018-01-25",61
"2018-01-26",57
"2018-01-27",53
"2018-01-28",60
"2018-01-29",65
"2018-01-30",62
"2018-01-31",76
"2018-02-01",69
"2018-02-02",46
"2018-02-03",62
"2018-02-04",70
"2018-02-05",82
"2018-02-06",89
"2018-02-07",88
"2018-02-08",70
"2018-02-09",57
"2018-02-10",79
"2018-02-11",70
"2018-02-12",58
"2018-02-13",53
"2018-02-14",45
"2018-02-15",51
"2018-02-16",65
"2018-02-17",81
"2018-02-18",100
"2018-02-19",100
"2018-02-20",93
"2018-02-21",99
"2018-02-22",68
"2018-02-23",78
"2018-02-24",83
"2018-02-25",97
"2018-02-26",84
"2018-02-27",97
"2018-02-28",84
"2018-03-01",87
"2018-03-02",70
"2018-03-03",67
"2018-03-04",91
"2018-03-05",61
"2018-03-06",88
"2018-03-07",78
"2018-03-08",90
"2018-03-09",59
"2018-03-10",61
"2018-03-11",91
"2018-03-12",80
"2018-03-13",62
"2018-03-14",73
"2018-03-15",76
"2018-03-16",64
"2018-03-17",68
"2018-03-18",84
"2018-03-19",87
"2018-03-20",85
"2018-03-21",77
"2018-03-22",69
"2018-03-23",69
"2018-03-24",63
"2018-03-25",79
"2018-03-26",81
"2018-03-27",55
"2018-03-28",68
"2018-03-29",68
"2018-03-30",57
"2018-03-31",58
"2018-04-01",92
"2018-04-02",95
"2018-04-03",72
"2018-04-04",56
"2018-04-05",51
"2018-04-06",48
"2018-04-07",50
"2018-04-08",61
"2018-04-09",67
"2018-04-10",61
"2018-04-11",58
"2018-04-12",69
"2018-04-13",67
"2018-04-14",66
"2018-04-15",60
"2018-04-16",72
"2018-04-17",65
"2018-04-18",60
"2018-04-19",62
