네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","폼클렌징"
"2017-08-01",50
"2017-08-02",48
"2017-08-03",46
"2017-08-04",31
"2017-08-05",33
"2017-08-06",45
"2017-08-07",48
"2017-08-08",68
"2017-08-09",51
"2017-08-10",47
"2017-08-11",38
"2017-08-12",29
"2017-08-13",42
"2017-08-14",55
"2017-08-15",62
"2017-08-16",67
"2017-08-17",53
"2017-08-18",35
"2017-08-19",47
"2017-08-20",49
"2017-08-21",63
"2017-08-22",51
"2017-08-23",50
"2017-08-24",57
"2017-08-25",34
"2017-08-26",37
"2017-08-27",49
"2017-08-28",57
"2017-08-29",61
"2017-08-30",48
"2017-08-31",54
"2017-09-01",34
"2017-09-02",39
"2017-09-03",47
"2017-09-04",54
"2017-09-05",47
"2017-09-06",59
"2017-09-07",42
"2017-09-08",40
"2017-09-09",32
"2017-09-10",58
"2017-09-11",55
"2017-09-12",60
"2017-09-13",44
"2017-09-14",49
"2017-09-15",40
"2017-09-16",31
"2017-09-17",48
"2017-09-18",64
"2017-09-19",71
"2017-09-20",50
"2017-09-21",46
"2017-09-22",50
"2017-09-23",35
"2017-09-24",46
"2017-09-25",75
"2017-09-26",89
"2017-09-27",41
"2017-09-28",34
"2017-09-29",30
"2017-09-30",26
"2017-10-01",34
"2017-10-02",33
"2017-10-03",23
"2017-10-04",33
"2017-10-05",39
"2017-10-06",62
"2017-10-07",53
"2017-10-08",68
"2017-10-09",82
"2017-10-10",88
"2017-10-11",96
"2017-10-12",77
"2017-10-13",61
"2017-10-14",40
"2017-10-15",62
"2017-10-16",62
"2017-10-17",61
"2017-10-18",63
"2017-10-19",57
"2017-10-20",46
"2017-10-21",27
"2017-10-22",69
"2017-10-23",62
"2017-10-24",55
"2017-10-25",50
"2017-10-26",48
"2017-10-27",42
"2017-10-28",35
"2017-10-29",60
"2017-10-30",75
"2017-10-31",62
"2017-11-01",71
"2017-11-02",56
"2017-11-03",55
"2017-11-04",42
"2017-11-05",52
"2017-11-06",77
"2017-11-07",62
"2017-11-08",58
"2017-11-09",72
"2017-11-10",41
"2017-11-11",53
"2017-11-12",51
"2017-11-13",72
"2017-11-14",68
"2017-11-15",59
"2017-11-16",60
"2017-11-17",41
"2017-11-18",44
"2017-11-19",64
"2017-11-20",56
"2017-11-21",73
"2017-11-22",67
"2017-11-23",52
"2017-11-24",46
"2017-11-25",47
"2017-11-26",53
"2017-11-27",67
"2017-11-28",55
"2017-11-29",66
"2017-11-30",56
"2017-12-01",50
"2017-12-02",50
"2017-12-03",76
"2017-12-04",75
"2017-12-05",79
"2017-12-06",71
"2017-12-07",58
"2017-12-08",37
"2017-12-09",40
"2017-12-10",68
"2017-12-11",59
"2017-12-12",65
"2017-12-13",62
"2017-12-14",51
"2017-12-15",50
"2017-12-16",49
"2017-12-17",61
"2017-12-18",59
"2017-12-19",59
"2017-12-20",55
"2017-12-21",50
"2017-12-22",29
"2017-12-23",39
"2017-12-24",46
"2017-12-25",59
"2017-12-26",60
"2017-12-27",61
"2017-12-28",48
"2017-12-29",41
"2017-12-30",41
"2017-12-31",31
"2018-01-01",57
"2018-01-02",79
"2018-01-03",79
"2018-01-04",65
"2018-01-05",63
"2018-01-06",62
"2018-01-07",64
"2018-01-08",67
"2018-01-09",74
"2018-01-10",64
"2018-01-11",67
"2018-01-12",48
"2018-01-13",43
"2018-01-14",71
"2018-01-15",65
"2018-01-16",73
"2018-01-17",76
"2018-01-18",66
"2018-01-19",65
"2018-01-20",56
"2018-01-21",67
"2018-01-22",74
"2018-01-23",72
"2018-01-24",65
"2018-01-25",73
"2018-01-26",53
"2018-01-27",53
"2018-01-28",74
"2018-01-29",81
"2018-01-30",85
"2018-01-31",66
"2018-02-01",91
"2018-02-02",63
"2018-02-03",58
"2018-02-04",84
"2018-02-05",89
"2018-02-06",84
"2018-02-07",72
"2018-02-08",70
"2018-02-09",61
"2018-02-10",48
"2018-02-11",66
"2018-02-12",45
"2018-02-13",40
"2018-02-14",32
"2018-02-15",32
"2018-02-16",30
"2018-02-17",61
"2018-02-18",76
"2018-02-19",98
"2018-02-20",85
"2018-02-21",85
"2018-02-22",100
"2018-02-23",60
"2018-02-24",51
"2018-02-25",64
"2018-02-26",78
"2018-02-27",67
"2018-02-28",71
"2018-03-01",80
"2018-03-02",56
"2018-03-03",53
"2018-03-04",74
"2018-03-05",81
"2018-03-06",59
"2018-03-07",72
"2018-03-08",61
"2018-03-09",45
"2018-03-10",49
"2018-03-11",68
"2018-03-12",78
"2018-03-13",79
"2018-03-14",58
"2018-03-15",62
"2018-03-16",48
"2018-03-17",43
"2018-03-18",73
"2018-03-19",89
"2018-03-20",68
"2018-03-21",64
"2018-03-22",69
"2018-03-23",44
"2018-03-24",52
"2018-03-25",64
"2018-03-26",74
"2018-03-27",75
"2018-03-28",67
"2018-03-29",65
"2018-03-30",41
"2018-03-31",42
"2018-04-01",70
"2018-04-02",71
"2018-04-03",69
"2018-04-04",72
"2018-04-05",77
"2018-04-06",56
"2018-04-07",48
"2018-04-08",67
"2018-04-09",77
"2018-04-10",91
"2018-04-11",72
"2018-04-12",66
"2018-04-13",57
"2018-04-14",58
"2018-04-15",74
"2018-04-16",87
"2018-04-17",94
"2018-04-18",95
"2018-04-19",67
