네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","닥터자르트세라마이딘크림"
"2017-08-01",9
"2017-08-02",8
"2017-08-03",8
"2017-08-04",7
"2017-08-05",6
"2017-08-06",3
"2017-08-07",13
"2017-08-08",10
"2017-08-09",9
"2017-08-10",9
"2017-08-11",6
"2017-08-12",9
"2017-08-13",12
"2017-08-14",14
"2017-08-15",14
"2017-08-16",15
"2017-08-17",10
"2017-08-18",10
"2017-08-19",10
"2017-08-20",12
"2017-08-21",13
"2017-08-22",9
"2017-08-23",13
"2017-08-24",10
"2017-08-25",14
"2017-08-26",11
"2017-08-27",17
"2017-08-28",13
"2017-08-29",26
"2017-08-30",22
"2017-08-31",23
"2017-09-01",28
"2017-09-02",27
"2017-09-03",31
"2017-09-04",25
"2017-09-05",25
"2017-09-06",24
"2017-09-07",19
"2017-09-08",15
"2017-09-09",13
"2017-09-10",19
"2017-09-11",27
"2017-09-12",18
"2017-09-13",27
"2017-09-14",24
"2017-09-15",18
"2017-09-16",22
"2017-09-17",28
"2017-09-18",30
"2017-09-19",25
"2017-09-20",28
"2017-09-21",19
"2017-09-22",23
"2017-09-23",21
"2017-09-24",20
"2017-09-25",33
"2017-09-26",27
"2017-09-27",29
"2017-09-28",21
"2017-09-29",19
"2017-09-30",24
"2017-10-01",26
"2017-10-02",26
"2017-10-03",23
"2017-10-04",24
"2017-10-05",33
"2017-10-06",41
"2017-10-07",33
"2017-10-08",40
"2017-10-09",49
"2017-10-10",53
"2017-10-11",59
"2017-10-12",49
"2017-10-13",37
"2017-10-14",36
"2017-10-15",49
"2017-10-16",73
"2017-10-17",70
"2017-10-18",74
"2017-10-19",65
"2017-10-20",50
"2017-10-21",51
"2017-10-22",54
"2017-10-23",53
"2017-10-24",50
"2017-10-25",50
"2017-10-26",56
"2017-10-27",41
"2017-10-28",32
"2017-10-29",37
"2017-10-30",48
"2017-10-31",52
"2017-11-01",72
"2017-11-02",63
"2017-11-03",50
"2017-11-04",57
"2017-11-05",61
"2017-11-06",63
"2017-11-07",59
"2017-11-08",53
"2017-11-09",59
"2017-11-10",42
"2017-11-11",51
"2017-11-12",56
"2017-11-13",65
"2017-11-14",81
"2017-11-15",65
"2017-11-16",83
"2017-11-17",60
"2017-11-18",54
"2017-11-19",76
"2017-11-20",72
"2017-11-21",69
"2017-11-22",82
"2017-11-23",64
"2017-11-24",60
"2017-11-25",56
"2017-11-26",70
"2017-11-27",71
"2017-11-28",80
"2017-11-29",73
"2017-11-30",72
"2017-12-01",67
"2017-12-02",65
"2017-12-03",73
"2017-12-04",96
"2017-12-05",92
"2017-12-06",96
"2017-12-07",86
"2017-12-08",66
"2017-12-09",58
"2017-12-10",91
"2017-12-11",96
"2017-12-12",88
"2017-12-13",75
"2017-12-14",87
"2017-12-15",75
"2017-12-16",64
"2017-12-17",77
"2017-12-18",75
"2017-12-19",73
"2017-12-20",100
"2017-12-21",63
"2017-12-22",51
"2017-12-23",45
"2017-12-24",40
"2017-12-25",63
"2017-12-26",81
"2017-12-27",73
"2017-12-28",53
"2017-12-29",44
"2017-12-30",41
"2017-12-31",36
"2018-01-01",57
"2018-01-02",80
"2018-01-03",71
"2018-01-04",63
"2018-01-05",48
"2018-01-06",42
"2018-01-07",54
"2018-01-08",51
"2018-01-09",45
"2018-01-10",44
"2018-01-11",72
"2018-01-12",53
"2018-01-13",52
"2018-01-14",63
"2018-01-15",59
"2018-01-16",49
"2018-01-17",46
"2018-01-18",48
"2018-01-19",35
"2018-01-20",36
"2018-01-21",41
"2018-01-22",43
"2018-01-23",44
"2018-01-24",47
"2018-01-25",47
"2018-01-26",40
"2018-01-27",39
"2018-01-28",59
"2018-01-29",60
"2018-01-30",51
"2018-01-31",55
"2018-02-01",61
"2018-02-02",55
"2018-02-03",41
"2018-02-04",54
"2018-02-05",59
"2018-02-06",47
"2018-02-07",58
"2018-02-08",53
"2018-02-09",42
"2018-02-10",43
"2018-02-11",42
"2018-02-12",47
"2018-02-13",26
"2018-02-14",26
"2018-02-15",21
"2018-02-16",22
"2018-02-17",30
"2018-02-18",34
"2018-02-19",61
"2018-02-20",42
"2018-02-21",37
"2018-02-22",36
"2018-02-23",26
"2018-02-24",23
"2018-02-25",43
"2018-02-26",37
"2018-02-27",34
"2018-02-28",29
"2018-03-01",35
"2018-03-02",29
"2018-03-03",24
"2018-03-04",37
"2018-03-05",30
"2018-03-06",28
"2018-03-07",28
"2018-03-08",25
"2018-03-09",19
"2018-03-10",16
"2018-03-11",16
"2018-03-12",23
"2018-03-13",24
"2018-03-14",19
"2018-03-15",16
"2018-03-16",15
"2018-03-17",18
"2018-03-18",19
"2018-03-19",19
"2018-03-20",22
"2018-03-21",21
"2018-03-22",15
"2018-03-23",16
"2018-03-24",18
"2018-03-25",20
"2018-03-26",25
"2018-03-27",25
"2018-03-28",18
"2018-03-29",13
"2018-03-30",10
"2018-03-31",19
"2018-04-01",19
"2018-04-02",18
"2018-04-03",16
"2018-04-04",21
"2018-04-05",17
"2018-04-06",18
"2018-04-07",17
"2018-04-08",16
"2018-04-09",19
"2018-04-10",17
"2018-04-11",17
"2018-04-12",20
"2018-04-13",18
"2018-04-14",12
"2018-04-15",20
"2018-04-16",18
"2018-04-17",19
"2018-04-18",20
"2018-04-19",12
