네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
화장품/미용
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","센카퍼펙트휩"
"2017-08-01",33
"2017-08-02",100
"2017-08-03",35
"2017-08-04",25
"2017-08-05",20
"2017-08-06",32
"2017-08-07",29
"2017-08-08",41
"2017-08-09",31
"2017-08-10",30
"2017-08-11",23
"2017-08-12",20
"2017-08-13",24
"2017-08-14",25
"2017-08-15",30
"2017-08-16",24
"2017-08-17",28
"2017-08-18",20
"2017-08-19",21
"2017-08-20",26
"2017-08-21",33
"2017-08-22",26
"2017-08-23",30
"2017-08-24",21
"2017-08-25",17
"2017-08-26",17
"2017-08-27",23
"2017-08-28",22
"2017-08-29",23
"2017-08-30",19
"2017-08-31",25
"2017-09-01",21
"2017-09-02",22
"2017-09-03",34
"2017-09-04",29
"2017-09-05",30
"2017-09-06",27
"2017-09-07",29
"2017-09-08",21
"2017-09-09",17
"2017-09-10",19
"2017-09-11",30
"2017-09-12",32
"2017-09-13",31
"2017-09-14",26
"2017-09-15",15
"2017-09-16",20
"2017-09-17",27
"2017-09-18",34
"2017-09-19",25
"2017-09-20",24
"2017-09-21",28
"2017-09-22",16
"2017-09-23",20
"2017-09-24",21
"2017-09-25",33
"2017-09-26",27
"2017-09-27",22
"2017-09-28",16
"2017-09-29",14
"2017-09-30",16
"2017-10-01",14
"2017-10-02",17
"2017-10-03",27
"2017-10-04",14
"2017-10-05",22
"2017-10-06",30
"2017-10-07",23
"2017-10-08",33
"2017-10-09",47
"2017-10-10",61
"2017-10-11",48
"2017-10-12",46
"2017-10-13",29
"2017-10-14",29
"2017-10-15",39
"2017-10-16",45
"2017-10-17",46
"2017-10-18",39
"2017-10-19",32
"2017-10-20",26
"2017-10-21",21
"2017-10-22",34
"2017-10-23",32
"2017-10-24",26
"2017-10-25",33
"2017-10-26",27
"2017-10-27",20
"2017-10-28",25
"2017-10-29",32
"2017-10-30",39
"2017-10-31",29
"2017-11-01",39
"2017-11-02",32
"2017-11-03",25
"2017-11-04",22
"2017-11-05",34
"2017-11-06",39
"2017-11-07",35
"2017-11-08",32
"2017-11-09",33
"2017-11-10",24
"2017-11-11",25
"2017-11-12",42
"2017-11-13",41
"2017-11-14",36
"2017-11-15",65
"2017-11-16",31
"2017-11-17",26
"2017-11-18",25
"2017-11-19",33
"2017-11-20",35
"2017-11-21",29
"2017-11-22",24
"2017-11-23",24
"2017-11-24",17
"2017-11-25",21
"2017-11-26",28
"2017-11-27",33
"2017-11-28",24
"2017-11-29",30
"2017-11-30",24
"2017-12-01",24
"2017-12-02",24
"2017-12-03",33
"2017-12-04",30
"2017-12-05",30
"2017-12-06",33
"2017-12-07",30
"2017-12-08",24
"2017-12-09",24
"2017-12-10",29
"2017-12-11",38
"2017-12-12",29
"2017-12-13",42
"2017-12-14",30
"2017-12-15",32
"2017-12-16",32
"2017-12-17",38
"2017-12-18",36
"2017-12-19",32
"2017-12-20",37
"2017-12-21",25
"2017-12-22",19
"2017-12-23",19
"2017-12-24",19
"2017-12-25",67
"2017-12-26",40
"2017-12-27",32
"2017-12-28",26
"2017-12-29",27
"2017-12-30",24
"2017-12-31",24
"2018-01-01",34
"2018-01-02",52
"2018-01-03",40
"2018-01-04",46
"2018-01-05",52
"2018-01-06",27
"2018-01-07",35
"2018-01-08",40
"2018-01-09",35
"2018-01-10",33
"2018-01-11",32
"2018-01-12",27
"2018-01-13",21
"2018-01-14",34
"2018-01-15",33
"2018-01-16",37
"2018-01-17",34
"2018-01-18",26
"2018-01-19",26
"2018-01-20",28
"2018-01-21",31
"2018-01-22",33
"2018-01-23",29
"2018-01-24",42
"2018-01-25",37
"2018-01-26",28
"2018-01-27",33
"2018-01-28",41
"2018-01-29",37
"2018-01-30",36
"2018-01-31",35
"2018-02-01",42
"2018-02-02",28
"2018-02-03",26
"2018-02-04",41
"2018-02-05",46
"2018-02-06",31
"2018-02-07",34
"2018-02-08",28
"2018-02-09",30
"2018-02-10",26
"2018-02-11",40
"2018-02-12",29
"2018-02-13",21
"2018-02-14",16
"2018-02-15",15
"2018-02-16",11
"2018-02-17",27
"2018-02-18",32
"2018-02-19",58
"2018-02-20",42
"2018-02-21",36
"2018-02-22",36
"2018-02-23",46
"2018-02-24",27
"2018-02-25",40
"2018-02-26",40
"2018-02-27",32
"2018-02-28",41
"2018-03-01",37
"2018-03-02",31
"2018-03-03",24
"2018-03-04",35
"2018-03-05",39
"2018-03-06",43
"2018-03-07",34
"2018-03-08",32
"2018-03-09",21
"2018-03-10",20
"2018-03-11",31
"2018-03-12",45
"2018-03-13",35
"2018-03-14",28
"2018-03-15",24
"2018-03-16",20
"2018-03-17",19
"2018-03-18",27
"2018-03-19",29
"2018-03-20",35
"2018-03-21",28
"2018-03-22",26
"2018-03-23",20
"2018-03-24",18
"2018-03-25",27
"2018-03-26",24
"2018-03-27",24
"2018-03-28",24
"2018-03-29",25
"2018-03-30",19
"2018-03-31",16
"2018-04-01",28
"2018-04-02",39
"2018-04-03",36
"2018-04-04",26
"2018-04-05",24
"2018-04-06",21
"2018-04-07",27
"2018-04-08",19
"2018-04-09",27
"2018-04-10",29
"2018-04-11",27
"2018-04-12",35
"2018-04-13",26
"2018-04-14",22
"2018-04-15",29
"2018-04-16",33
"2018-04-17",33
"2018-04-18",35
"2018-04-19",26
