네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","빨래건조기"
"2017-08-01",36
"2017-08-02",34
"2017-08-03",32
"2017-08-04",31
"2017-08-05",34
"2017-08-06",41
"2017-08-07",38
"2017-08-08",31
"2017-08-09",33
"2017-08-10",32
"2017-08-11",30
"2017-08-12",29
"2017-08-13",36
"2017-08-14",35
"2017-08-15",55
"2017-08-16",44
"2017-08-17",41
"2017-08-18",43
"2017-08-19",46
"2017-08-20",69
"2017-08-21",76
"2017-08-22",68
"2017-08-23",72
"2017-08-24",67
"2017-08-25",46
"2017-08-26",44
"2017-08-27",48
"2017-08-28",38
"2017-08-29",35
"2017-08-30",36
"2017-08-31",29
"2017-09-01",24
"2017-09-02",33
"2017-09-03",39
"2017-09-04",31
"2017-09-05",26
"2017-09-06",32
"2017-09-07",29
"2017-09-08",28
"2017-09-09",26
"2017-09-10",37
"2017-09-11",37
"2017-09-12",31
"2017-09-13",25
"2017-09-14",19
"2017-09-15",23
"2017-09-16",25
"2017-09-17",31
"2017-09-18",24
"2017-09-19",23
"2017-09-20",31
"2017-09-21",25
"2017-09-22",21
"2017-09-23",25
"2017-09-24",36
"2017-09-25",39
"2017-09-26",47
"2017-09-27",53
"2017-09-28",45
"2017-09-29",35
"2017-09-30",44
"2017-10-01",56
"2017-10-02",46
"2017-10-03",36
"2017-10-04",38
"2017-10-05",57
"2017-10-06",80
"2017-10-07",75
"2017-10-08",85
"2017-10-09",84
"2017-10-10",69
"2017-10-11",78
"2017-10-12",74
"2017-10-13",60
"2017-10-14",59
"2017-10-15",69
"2017-10-16",70
"2017-10-17",63
"2017-10-18",64
"2017-10-19",61
"2017-10-20",60
"2017-10-21",58
"2017-10-22",70
"2017-10-23",67
"2017-10-24",57
"2017-10-25",51
"2017-10-26",66
"2017-10-27",53
"2017-10-28",55
"2017-10-29",90
"2017-10-30",74
"2017-10-31",60
"2017-11-01",55
"2017-11-02",64
"2017-11-03",60
"2017-11-04",75
"2017-11-05",91
"2017-11-06",79
"2017-11-07",63
"2017-11-08",70
"2017-11-09",63
"2017-11-10",58
"2017-11-11",68
"2017-11-12",81
"2017-11-13",74
"2017-11-14",86
"2017-11-15",62
"2017-11-16",64
"2017-11-17",58
"2017-11-18",72
"2017-11-19",75
"2017-11-20",70
"2017-11-21",69
"2017-11-22",68
"2017-11-23",65
"2017-11-24",67
"2017-11-25",65
"2017-11-26",83
"2017-11-27",69
"2017-11-28",56
"2017-11-29",69
"2017-11-30",55
"2017-12-01",60
"2017-12-02",69
"2017-12-03",81
"2017-12-04",70
"2017-12-05",60
"2017-12-06",59
"2017-12-07",54
"2017-12-08",51
"2017-12-09",56
"2017-12-10",95
"2017-12-11",76
"2017-12-12",61
"2017-12-13",59
"2017-12-14",53
"2017-12-15",47
"2017-12-16",59
"2017-12-17",85
"2017-12-18",62
"2017-12-19",71
"2017-12-20",58
"2017-12-21",61
"2017-12-22",54
"2017-12-23",60
"2017-12-24",84
"2017-12-25",89
"2017-12-26",65
"2017-12-27",59
"2017-12-28",57
"2017-12-29",54
"2017-12-30",63
"2017-12-31",82
"2018-01-01",80
"2018-01-02",72
"2018-01-03",58
"2018-01-04",59
"2018-01-05",55
"2018-01-06",60
"2018-01-07",71
"2018-01-08",57
"2018-01-09",46
"2018-01-10",57
"2018-01-11",47
"2018-01-12",45
"2018-01-13",56
"2018-01-14",66
"2018-01-15",57
"2018-01-16",56
"2018-01-17",58
"2018-01-18",54
"2018-01-19",51
"2018-01-20",63
"2018-01-21",74
"2018-01-22",57
"2018-01-23",58
"2018-01-24",50
"2018-01-25",48
"2018-01-26",45
"2018-01-27",64
"2018-01-28",86
"2018-01-29",66
"2018-01-30",61
"2018-01-31",49
"2018-02-01",44
"2018-02-02",36
"2018-02-03",46
"2018-02-04",62
"2018-02-05",54
"2018-02-06",51
"2018-02-07",52
"2018-02-08",42
"2018-02-09",44
"2018-02-10",52
"2018-02-11",60
"2018-02-12",46
"2018-02-13",46
"2018-02-14",42
"2018-02-15",46
"2018-02-16",42
"2018-02-17",67
"2018-02-18",86
"2018-02-19",72
"2018-02-20",51
"2018-02-21",46
"2018-02-22",50
"2018-02-23",43
"2018-02-24",63
"2018-02-25",69
"2018-02-26",63
"2018-02-27",56
"2018-02-28",63
"2018-03-01",71
"2018-03-02",51
"2018-03-03",56
"2018-03-04",81
"2018-03-05",71
"2018-03-06",59
"2018-03-07",62
"2018-03-08",54
"2018-03-09",57
"2018-03-10",69
"2018-03-11",85
"2018-03-12",63
"2018-03-13",58
"2018-03-14",44
"2018-03-15",66
"2018-03-16",46
"2018-03-17",58
"2018-03-18",82
"2018-03-19",70
"2018-03-20",63
"2018-03-21",61
"2018-03-22",63
"2018-03-23",51
"2018-03-24",67
"2018-03-25",88
"2018-03-26",80
"2018-03-27",73
"2018-03-28",72
"2018-03-29",79
"2018-03-30",65
"2018-03-31",73
"2018-04-01",92
"2018-04-02",85
"2018-04-03",83
"2018-04-04",80
"2018-04-05",73
"2018-04-06",74
"2018-04-07",65
"2018-04-08",87
"2018-04-09",64
"2018-04-10",65
"2018-04-11",61
"2018-04-12",50
"2018-04-13",46
"2018-04-14",76
"2018-04-15",100
"2018-04-16",71
"2018-04-17",64
"2018-04-18",52
"2018-04-19",52
