네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","닌텐도스위치"
"2017-08-01",1
"2017-08-02",1
"2017-08-03",1
"2017-08-04",1
"2017-08-05",1
"2017-08-06",1
"2017-08-07",1
"2017-08-08",1
"2017-08-09",1
"2017-08-10",1
"2017-08-11",1
"2017-08-12",1
"2017-08-13",1
"2017-08-14",1
"2017-08-15",1
"2017-08-16",1
"2017-08-17",1
"2017-08-18",1
"2017-08-19",1
"2017-08-20",1
"2017-08-21",1
"2017-08-22",1
"2017-08-23",1
"2017-08-24",1
"2017-08-25",1
"2017-08-26",1
"2017-08-27",1
"2017-08-28",1
"2017-08-29",1
"2017-08-30",1
"2017-08-31",1
"2017-09-01",1
"2017-09-02",1
"2017-09-03",1
"2017-09-04",1
"2017-09-05",1
"2017-09-06",1
"2017-09-07",1
"2017-09-08",1
"2017-09-09",1
"2017-09-10",1
"2017-09-11",1
"2017-09-12",1
"2017-09-13",1
"2017-09-14",1
"2017-09-15",1
"2017-09-16",1
"2017-09-17",1
"2017-09-18",1
"2017-09-19",1
"2017-09-20",3
"2017-09-21",1
"2017-09-22",1
"2017-09-23",1
"2017-09-24",1
"2017-09-25",
"2017-09-26",
"2017-09-27",1
"2017-09-28",1
"2017-09-29",1
"2017-09-30",1
"2017-10-01",1
"2017-10-02",1
"2017-10-03",1
"2017-10-04",1
"2017-10-05",1
"2017-10-06",1
"2017-10-07",1
"2017-10-08",1
"2017-10-09",1
"2017-10-10",1
"2017-10-11",1
"2017-10-12",1
"2017-10-13",
"2017-10-14",1
"2017-10-15",1
"2017-10-16",1
"2017-10-17",1
"2017-10-18",1
"2017-10-19",1
"2017-10-20",1
"2017-10-21",1
"2017-10-22",1
"2017-10-23",1
"2017-10-24",1
"2017-10-25",1
"2017-10-26",1
"2017-10-27",1
"2017-10-28",1
"2017-10-29",1
"2017-10-30",1
"2017-10-31",1
"2017-11-01",1
"2017-11-02",2
"2017-11-03",30
"2017-11-04",11
"2017-11-05",8
"2017-11-06",8
"2017-11-07",10
"2017-11-08",13
"2017-11-09",11
"2017-11-10",9
"2017-11-11",11
"2017-11-12",14
"2017-11-13",13
"2017-11-14",11
"2017-11-15",9
"2017-11-16",6
"2017-11-17",5
"2017-11-18",6
"2017-11-19",6
"2017-11-20",6
"2017-11-21",7
"2017-11-22",6
"2017-11-23",6
"2017-11-24",5
"2017-11-25",5
"2017-11-26",6
"2017-11-27",7
"2017-11-28",7
"2017-11-29",8
"2017-11-30",15
"2017-12-01",100
"2017-12-02",32
"2017-12-03",27
"2017-12-04",26
"2017-12-05",32
"2017-12-06",30
"2017-12-07",24
"2017-12-08",24
"2017-12-09",21
"2017-12-10",27
"2017-12-11",27
"2017-12-12",25
"2017-12-13",27
"2017-12-14",23
"2017-12-15",23
"2017-12-16",24
"2017-12-17",32
"2017-12-18",29
"2017-12-19",27
"2017-12-20",25
"2017-12-21",22
"2017-12-22",20
"2017-12-23",23
"2017-12-24",26
"2017-12-25",27
"2017-12-26",20
"2017-12-27",18
"2017-12-28",16
"2017-12-29",16
"2017-12-30",16
"2017-12-31",17
"2018-01-01",20
"2018-01-02",17
"2018-01-03",16
"2018-01-04",14
"2018-01-05",17
"2018-01-06",15
"2018-01-07",15
"2018-01-08",14
"2018-01-09",15
"2018-01-10",17
"2018-01-11",14
"2018-01-12",12
"2018-01-13",15
"2018-01-14",18
"2018-01-15",14
"2018-01-16",14
"2018-01-17",12
"2018-01-18",15
"2018-01-19",16
"2018-01-20",15
"2018-01-21",17
"2018-01-22",16
"2018-01-23",17
"2018-01-24",14
"2018-01-25",16
"2018-01-26",13
"2018-01-27",16
"2018-01-28",14
"2018-01-29",13
"2018-01-30",11
"2018-01-31",12
"2018-02-01",17
"2018-02-02",16
"2018-02-03",17
"2018-02-04",19
"2018-02-05",18
"2018-02-06",17
"2018-02-07",16
"2018-02-08",15
"2018-02-09",14
"2018-02-10",15
"2018-02-11",16
"2018-02-12",15
"2018-02-13",15
"2018-02-14",15
"2018-02-15",17
"2018-02-16",24
"2018-02-17",28
"2018-02-18",28
"2018-02-19",22
"2018-02-20",16
"2018-02-21",15
"2018-02-22",13
"2018-02-23",14
"2018-02-24",12
"2018-02-25",14
"2018-02-26",13
"2018-02-27",14
"2018-02-28",13
"2018-03-01",14
"2018-03-02",11
"2018-03-03",13
"2018-03-04",14
"2018-03-05",10
"2018-03-06",9
"2018-03-07",9
"2018-03-08",9
"2018-03-09",8
"2018-03-10",10
"2018-03-11",10
"2018-03-12",9
"2018-03-13",8
"2018-03-14",8
"2018-03-15",8
"2018-03-16",7
"2018-03-17",9
"2018-03-18",11
"2018-03-19",10
"2018-03-20",8
"2018-03-21",9
"2018-03-22",9
"2018-03-23",7
"2018-03-24",8
"2018-03-25",8
"2018-03-26",7
"2018-03-27",6
"2018-03-28",6
"2018-03-29",6
"2018-03-30",5
"2018-03-31",6
"2018-04-01",8
"2018-04-02",8
"2018-04-03",7
"2018-04-04",7
"2018-04-05",6
"2018-04-06",6
"2018-04-07",7
"2018-04-08",9
"2018-04-09",7
"2018-04-10",7
"2018-04-11",7
"2018-04-12",6
"2018-04-13",6
"2018-04-14",8
"2018-04-15",8
"2018-04-16",7
"2018-04-17",8
"2018-04-18",8
"2018-04-19",7
