네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","청소기"
"2017-08-01",48
"2017-08-02",46
"2017-08-03",38
"2017-08-04",39
"2017-08-05",38
"2017-08-06",52
"2017-08-07",52
"2017-08-08",51
"2017-08-09",47
"2017-08-10",43
"2017-08-11",37
"2017-08-12",42
"2017-08-13",54
"2017-08-14",52
"2017-08-15",61
"2017-08-16",51
"2017-08-17",49
"2017-08-18",36
"2017-08-19",44
"2017-08-20",56
"2017-08-21",54
"2017-08-22",49
"2017-08-23",46
"2017-08-24",41
"2017-08-25",35
"2017-08-26",36
"2017-08-27",59
"2017-08-28",44
"2017-08-29",45
"2017-08-30",33
"2017-08-31",30
"2017-09-01",31
"2017-09-02",36
"2017-09-03",51
"2017-09-04",45
"2017-09-05",39
"2017-09-06",37
"2017-09-07",38
"2017-09-08",34
"2017-09-09",40
"2017-09-10",50
"2017-09-11",47
"2017-09-12",44
"2017-09-13",35
"2017-09-14",31
"2017-09-15",30
"2017-09-16",34
"2017-09-17",53
"2017-09-18",44
"2017-09-19",42
"2017-09-20",34
"2017-09-21",39
"2017-09-22",29
"2017-09-23",36
"2017-09-24",50
"2017-09-25",50
"2017-09-26",47
"2017-09-27",42
"2017-09-28",41
"2017-09-29",37
"2017-09-30",40
"2017-10-01",58
"2017-10-02",54
"2017-10-03",63
"2017-10-04",63
"2017-10-05",78
"2017-10-06",77
"2017-10-07",83
"2017-10-08",83
"2017-10-09",100
"2017-10-10",85
"2017-10-11",68
"2017-10-12",56
"2017-10-13",51
"2017-10-14",58
"2017-10-15",77
"2017-10-16",67
"2017-10-17",63
"2017-10-18",60
"2017-10-19",54
"2017-10-20",51
"2017-10-21",61
"2017-10-22",82
"2017-10-23",67
"2017-10-24",61
"2017-10-25",59
"2017-10-26",57
"2017-10-27",51
"2017-10-28",62
"2017-10-29",81
"2017-10-30",71
"2017-10-31",60
"2017-11-01",51
"2017-11-02",56
"2017-11-03",48
"2017-11-04",50
"2017-11-05",77
"2017-11-06",62
"2017-11-07",50
"2017-11-08",48
"2017-11-09",50
"2017-11-10",43
"2017-11-11",54
"2017-11-12",69
"2017-11-13",57
"2017-11-14",56
"2017-11-15",49
"2017-11-16",45
"2017-11-17",44
"2017-11-18",56
"2017-11-19",77
"2017-11-20",62
"2017-11-21",55
"2017-11-22",59
"2017-11-23",52
"2017-11-24",52
"2017-11-25",52
"2017-11-26",73
"2017-11-27",68
"2017-11-28",55
"2017-11-29",51
"2017-11-30",47
"2017-12-01",41
"2017-12-02",56
"2017-12-03",69
"2017-12-04",61
"2017-12-05",51
"2017-12-06",48
"2017-12-07",50
"2017-12-08",48
"2017-12-09",52
"2017-12-10",81
"2017-12-11",67
"2017-12-12",55
"2017-12-13",55
"2017-12-14",47
"2017-12-15",44
"2017-12-16",53
"2017-12-17",74
"2017-12-18",59
"2017-12-19",55
"2017-12-20",51
"2017-12-21",50
"2017-12-22",49
"2017-12-23",50
"2017-12-24",66
"2017-12-25",77
"2017-12-26",64
"2017-12-27",58
"2017-12-28",48
"2017-12-29",45
"2017-12-30",54
"2017-12-31",60
"2018-01-01",82
"2018-01-02",67
"2018-01-03",55
"2018-01-04",57
"2018-01-05",47
"2018-01-06",61
"2018-01-07",73
"2018-01-08",62
"2018-01-09",53
"2018-01-10",49
"2018-01-11",49
"2018-01-12",44
"2018-01-13",60
"2018-01-14",75
"2018-01-15",62
"2018-01-16",52
"2018-01-17",51
"2018-01-18",52
"2018-01-19",47
"2018-01-20",55
"2018-01-21",81
"2018-01-22",61
"2018-01-23",59
"2018-01-24",48
"2018-01-25",52
"2018-01-26",45
"2018-01-27",52
"2018-01-28",77
"2018-01-29",64
"2018-01-30",54
"2018-01-31",51
"2018-02-01",52
"2018-02-02",44
"2018-02-03",50
"2018-02-04",79
"2018-02-05",68
"2018-02-06",62
"2018-02-07",55
"2018-02-08",48
"2018-02-09",40
"2018-02-10",53
"2018-02-11",62
"2018-02-12",45
"2018-02-13",42
"2018-02-14",38
"2018-02-15",52
"2018-02-16",66
"2018-02-17",83
"2018-02-18",95
"2018-02-19",84
"2018-02-20",61
"2018-02-21",60
"2018-02-22",58
"2018-02-23",52
"2018-02-24",62
"2018-02-25",78
"2018-02-26",72
"2018-02-27",69
"2018-02-28",56
"2018-03-01",77
"2018-03-02",57
"2018-03-03",64
"2018-03-04",87
"2018-03-05",73
"2018-03-06",60
"2018-03-07",61
"2018-03-08",60
"2018-03-09",54
"2018-03-10",68
"2018-03-11",81
"2018-03-12",72
"2018-03-13",63
"2018-03-14",52
"2018-03-15",53
"2018-03-16",41
"2018-03-17",49
"2018-03-18",66
"2018-03-19",57
"2018-03-20",52
"2018-03-21",49
"2018-03-22",43
"2018-03-23",37
"2018-03-24",49
"2018-03-25",74
"2018-03-26",60
"2018-03-27",50
"2018-03-28",46
"2018-03-29",47
"2018-03-30",38
"2018-03-31",45
"2018-04-01",68
"2018-04-02",56
"2018-04-03",48
"2018-04-04",48
"2018-04-05",47
"2018-04-06",40
"2018-04-07",45
"2018-04-08",63
"2018-04-09",54
"2018-04-10",52
"2018-04-11",50
"2018-04-12",42
"2018-04-13",39
"2018-04-14",43
"2018-04-15",67
"2018-04-16",60
"2018-04-17",49
"2018-04-18",49
"2018-04-19",46
