네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","갤럭시s8케이스"
"2017-08-01",58
"2017-08-02",56
"2017-08-03",56
"2017-08-04",47
"2017-08-05",49
"2017-08-06",64
"2017-08-07",57
"2017-08-08",59
"2017-08-09",61
"2017-08-10",59
"2017-08-11",54
"2017-08-12",46
"2017-08-13",56
"2017-08-14",62
"2017-08-15",68
"2017-08-16",65
"2017-08-17",59
"2017-08-18",51
"2017-08-19",43
"2017-08-20",58
"2017-08-21",62
"2017-08-22",58
"2017-08-23",62
"2017-08-24",64
"2017-08-25",46
"2017-08-26",45
"2017-08-27",62
"2017-08-28",52
"2017-08-29",53
"2017-08-30",55
"2017-08-31",49
"2017-09-01",41
"2017-09-02",43
"2017-09-03",57
"2017-09-04",47
"2017-09-05",55
"2017-09-06",49
"2017-09-07",48
"2017-09-08",45
"2017-09-09",42
"2017-09-10",61
"2017-09-11",56
"2017-09-12",57
"2017-09-13",58
"2017-09-14",52
"2017-09-15",45
"2017-09-16",52
"2017-09-17",59
"2017-09-18",58
"2017-09-19",71
"2017-09-20",61
"2017-09-21",60
"2017-09-22",51
"2017-09-23",49
"2017-09-24",59
"2017-09-25",57
"2017-09-26",56
"2017-09-27",54
"2017-09-28",54
"2017-09-29",37
"2017-09-30",40
"2017-10-01",45
"2017-10-02",49
"2017-10-03",45
"2017-10-04",45
"2017-10-05",48
"2017-10-06",59
"2017-10-07",61
"2017-10-08",56
"2017-10-09",77
"2017-10-10",78
"2017-10-11",70
"2017-10-12",63
"2017-10-13",51
"2017-10-14",54
"2017-10-15",67
"2017-10-16",70
"2017-10-17",59
"2017-10-18",65
"2017-10-19",58
"2017-10-20",47
"2017-10-21",47
"2017-10-22",68
"2017-10-23",62
"2017-10-24",65
"2017-10-25",64
"2017-10-26",62
"2017-10-27",53
"2017-10-28",56
"2017-10-29",64
"2017-10-30",64
"2017-10-31",64
"2017-11-01",66
"2017-11-02",66
"2017-11-03",66
"2017-11-04",68
"2017-11-05",76
"2017-11-06",79
"2017-11-07",89
"2017-11-08",81
"2017-11-09",71
"2017-11-10",57
"2017-11-11",65
"2017-11-12",81
"2017-11-13",74
"2017-11-14",71
"2017-11-15",68
"2017-11-16",64
"2017-11-17",56
"2017-11-18",59
"2017-11-19",81
"2017-11-20",73
"2017-11-21",71
"2017-11-22",55
"2017-11-23",60
"2017-11-24",57
"2017-11-25",64
"2017-11-26",69
"2017-11-27",66
"2017-11-28",74
"2017-11-29",70
"2017-11-30",72
"2017-12-01",79
"2017-12-02",100
"2017-12-03",83
"2017-12-04",81
"2017-12-05",73
"2017-12-06",72
"2017-12-07",68
"2017-12-08",46
"2017-12-09",56
"2017-12-10",64
"2017-12-11",66
"2017-12-12",61
"2017-12-13",54
"2017-12-14",52
"2017-12-15",56
"2017-12-16",53
"2017-12-17",58
"2017-12-18",51
"2017-12-19",54
"2017-12-20",55
"2017-12-21",47
"2017-12-22",39
"2017-12-23",41
"2017-12-24",44
"2017-12-25",50
"2017-12-26",51
"2017-12-27",50
"2017-12-28",50
"2017-12-29",42
"2017-12-30",47
"2017-12-31",38
"2018-01-01",56
"2018-01-02",61
"2018-01-03",59
"2018-01-04",52
"2018-01-05",48
"2018-01-06",59
"2018-01-07",68
"2018-01-08",65
"2018-01-09",60
"2018-01-10",55
"2018-01-11",57
"2018-01-12",50
"2018-01-13",58
"2018-01-14",74
"2018-01-15",55
"2018-01-16",57
"2018-01-17",51
"2018-01-18",53
"2018-01-19",41
"2018-01-20",47
"2018-01-21",59
"2018-01-22",52
"2018-01-23",53
"2018-01-24",54
"2018-01-25",47
"2018-01-26",42
"2018-01-27",53
"2018-01-28",61
"2018-01-29",51
"2018-01-30",52
"2018-01-31",54
"2018-02-01",51
"2018-02-02",42
"2018-02-03",48
"2018-02-04",62
"2018-02-05",54
"2018-02-06",57
"2018-02-07",47
"2018-02-08",55
"2018-02-09",42
"2018-02-10",46
"2018-02-11",60
"2018-02-12",47
"2018-02-13",41
"2018-02-14",33
"2018-02-15",35
"2018-02-16",48
"2018-02-17",47
"2018-02-18",57
"2018-02-19",55
"2018-02-20",52
"2018-02-21",49
"2018-02-22",53
"2018-02-23",46
"2018-02-24",42
"2018-02-25",50
"2018-02-26",57
"2018-02-27",54
"2018-02-28",46
"2018-03-01",50
"2018-03-02",40
"2018-03-03",48
"2018-03-04",60
"2018-03-05",50
"2018-03-06",44
"2018-03-07",44
"2018-03-08",42
"2018-03-09",40
"2018-03-10",45
"2018-03-11",56
"2018-03-12",49
"2018-03-13",46
"2018-03-14",41
"2018-03-15",40
"2018-03-16",34
"2018-03-17",41
"2018-03-18",51
"2018-03-19",44
"2018-03-20",43
"2018-03-21",42
"2018-03-22",40
"2018-03-23",32
"2018-03-24",37
"2018-03-25",43
"2018-03-26",40
"2018-03-27",38
"2018-03-28",34
"2018-03-29",36
"2018-03-30",31
"2018-03-31",32
"2018-04-01",47
"2018-04-02",48
"2018-04-03",45
"2018-04-04",49
"2018-04-05",49
"2018-04-06",40
"2018-04-07",51
"2018-04-08",60
"2018-04-09",56
"2018-04-10",54
"2018-04-11",51
"2018-04-12",48
"2018-04-13",42
"2018-04-14",53
"2018-04-15",60
"2018-04-16",53
"2018-04-17",58
"2018-04-18",51
"2018-04-19",47
