네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아이폰7"
"2017-08-01",26
"2017-08-02",25
"2017-08-03",23
"2017-08-04",22
"2017-08-05",30
"2017-08-06",33
"2017-08-07",25
"2017-08-08",25
"2017-08-09",25
"2017-08-10",24
"2017-08-11",21
"2017-08-12",30
"2017-08-13",32
"2017-08-14",25
"2017-08-15",38
"2017-08-16",30
"2017-08-17",30
"2017-08-18",28
"2017-08-19",41
"2017-08-20",53
"2017-08-21",30
"2017-08-22",28
"2017-08-23",28
"2017-08-24",31
"2017-08-25",22
"2017-08-26",34
"2017-08-27",37
"2017-08-28",21
"2017-08-29",22
"2017-08-30",20
"2017-08-31",20
"2017-09-01",18
"2017-09-02",29
"2017-09-03",32
"2017-09-04",20
"2017-09-05",19
"2017-09-06",19
"2017-09-07",22
"2017-09-08",20
"2017-09-09",31
"2017-09-10",36
"2017-09-11",35
"2017-09-12",31
"2017-09-13",49
"2017-09-14",31
"2017-09-15",30
"2017-09-16",40
"2017-09-17",42
"2017-09-18",30
"2017-09-19",29
"2017-09-20",31
"2017-09-21",26
"2017-09-22",26
"2017-09-23",39
"2017-09-24",39
"2017-09-25",45
"2017-09-26",53
"2017-09-27",50
"2017-09-28",43
"2017-09-29",41
"2017-09-30",61
"2017-10-01",100
"2017-10-02",68
"2017-10-03",68
"2017-10-04",59
"2017-10-05",52
"2017-10-06",55
"2017-10-07",64
"2017-10-08",67
"2017-10-09",59
"2017-10-10",69
"2017-10-11",65
"2017-10-12",62
"2017-10-13",45
"2017-10-14",54
"2017-10-15",63
"2017-10-16",55
"2017-10-17",65
"2017-10-18",49
"2017-10-19",49
"2017-10-20",48
"2017-10-21",59
"2017-10-22",62
"2017-10-23",53
"2017-10-24",49
"2017-10-25",44
"2017-10-26",48
"2017-10-27",58
"2017-10-28",59
"2017-10-29",55
"2017-10-30",43
"2017-10-31",39
"2017-11-01",56
"2017-11-02",55
"2017-11-03",63
"2017-11-04",74
"2017-11-05",66
"2017-11-06",57
"2017-11-07",52
"2017-11-08",50
"2017-11-09",45
"2017-11-10",44
"2017-11-11",57
"2017-11-12",60
"2017-11-13",45
"2017-11-14",33
"2017-11-15",28
"2017-11-16",31
"2017-11-17",22
"2017-11-18",28
"2017-11-19",27
"2017-11-20",22
"2017-11-21",18
"2017-11-22",17
"2017-11-23",17
"2017-11-24",20
"2017-11-25",17
"2017-11-26",18
"2017-11-27",16
"2017-11-28",15
"2017-11-29",12
"2017-11-30",13
"2017-12-01",13
"2017-12-02",15
"2017-12-03",15
"2017-12-04",15
"2017-12-05",13
"2017-12-06",11
"2017-12-07",12
"2017-12-08",11
"2017-12-09",14
"2017-12-10",15
"2017-12-11",12
"2017-12-12",10
"2017-12-13",11
"2017-12-14",11
"2017-12-15",10
"2017-12-16",11
"2017-12-17",12
"2017-12-18",11
"2017-12-19",9
"2017-12-20",9
"2017-12-21",9
"2017-12-22",8
"2017-12-23",10
"2017-12-24",9
"2017-12-25",9
"2017-12-26",9
"2017-12-27",8
"2017-12-28",8
"2017-12-29",7
"2017-12-30",7
"2017-12-31",7
"2018-01-01",8
"2018-01-02",9
"2018-01-03",7
"2018-01-04",7
"2018-01-05",7
"2018-01-06",9
"2018-01-07",9
"2018-01-08",9
"2018-01-09",9
"2018-01-10",7
"2018-01-11",7
"2018-01-12",8
"2018-01-13",8
"2018-01-14",8
"2018-01-15",8
"2018-01-16",7
"2018-01-17",7
"2018-01-18",7
"2018-01-19",6
"2018-01-20",9
"2018-01-21",13
"2018-01-22",8
"2018-01-23",7
"2018-01-24",9
"2018-01-25",9
"2018-01-26",7
"2018-01-27",7
"2018-01-28",8
"2018-01-29",8
"2018-01-30",8
"2018-01-31",6
"2018-02-01",6
"2018-02-02",6
"2018-02-03",8
"2018-02-04",8
"2018-02-05",7
"2018-02-06",6
"2018-02-07",5
"2018-02-08",5
"2018-02-09",5
"2018-02-10",6
"2018-02-11",7
"2018-02-12",6
"2018-02-13",6
"2018-02-14",5
"2018-02-15",6
"2018-02-16",7
"2018-02-17",7
"2018-02-18",8
"2018-02-19",8
"2018-02-20",7
"2018-02-21",7
"2018-02-22",6
"2018-02-23",6
"2018-02-24",6
"2018-02-25",6
"2018-02-26",8
"2018-02-27",7
"2018-02-28",6
"2018-03-01",7
"2018-03-02",5
"2018-03-03",10
"2018-03-04",12
"2018-03-05",5
"2018-03-06",4
"2018-03-07",5
"2018-03-08",5
"2018-03-09",5
"2018-03-10",7
"2018-03-11",8
"2018-03-12",5
"2018-03-13",5
"2018-03-14",5
"2018-03-15",6
"2018-03-16",5
"2018-03-17",6
"2018-03-18",7
"2018-03-19",6
"2018-03-20",5
"2018-03-21",5
"2018-03-22",5
"2018-03-23",4
"2018-03-24",6
"2018-03-25",7
"2018-03-26",5
"2018-03-27",5
"2018-03-28",4
"2018-03-29",4
"2018-03-30",4
"2018-03-31",5
"2018-04-01",6
"2018-04-02",4
"2018-04-03",4
"2018-04-04",4
"2018-04-05",4
"2018-04-06",4
"2018-04-07",6
"2018-04-08",8
"2018-04-09",4
"2018-04-10",5
"2018-04-11",4
"2018-04-12",4
"2018-04-13",4
"2018-04-14",5
"2018-04-15",5
"2018-04-16",4
"2018-04-17",4
"2018-04-18",4
"2018-04-19",4
