네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아이폰7케이스"
"2017-08-01",73
"2017-08-02",71
"2017-08-03",67
"2017-08-04",58
"2017-08-05",61
"2017-08-06",73
"2017-08-07",71
"2017-08-08",74
"2017-08-09",69
"2017-08-10",69
"2017-08-11",67
"2017-08-12",50
"2017-08-13",66
"2017-08-14",69
"2017-08-15",86
"2017-08-16",76
"2017-08-17",71
"2017-08-18",62
"2017-08-19",58
"2017-08-20",81
"2017-08-21",72
"2017-08-22",72
"2017-08-23",67
"2017-08-24",64
"2017-08-25",52
"2017-08-26",57
"2017-08-27",70
"2017-08-28",57
"2017-08-29",75
"2017-08-30",59
"2017-08-31",55
"2017-09-01",54
"2017-09-02",57
"2017-09-03",72
"2017-09-04",62
"2017-09-05",63
"2017-09-06",60
"2017-09-07",59
"2017-09-08",57
"2017-09-09",48
"2017-09-10",58
"2017-09-11",65
"2017-09-12",61
"2017-09-13",72
"2017-09-14",62
"2017-09-15",51
"2017-09-16",55
"2017-09-17",73
"2017-09-18",64
"2017-09-19",68
"2017-09-20",61
"2017-09-21",62
"2017-09-22",52
"2017-09-23",50
"2017-09-24",62
"2017-09-25",70
"2017-09-26",71
"2017-09-27",75
"2017-09-28",60
"2017-09-29",48
"2017-09-30",48
"2017-10-01",60
"2017-10-02",60
"2017-10-03",66
"2017-10-04",65
"2017-10-05",58
"2017-10-06",72
"2017-10-07",74
"2017-10-08",74
"2017-10-09",88
"2017-10-10",89
"2017-10-11",82
"2017-10-12",79
"2017-10-13",64
"2017-10-14",62
"2017-10-15",77
"2017-10-16",76
"2017-10-17",70
"2017-10-18",74
"2017-10-19",69
"2017-10-20",54
"2017-10-21",62
"2017-10-22",78
"2017-10-23",75
"2017-10-24",71
"2017-10-25",71
"2017-10-26",71
"2017-10-27",61
"2017-10-28",66
"2017-10-29",80
"2017-10-30",71
"2017-10-31",65
"2017-11-01",78
"2017-11-02",76
"2017-11-03",73
"2017-11-04",77
"2017-11-05",86
"2017-11-06",98
"2017-11-07",100
"2017-11-08",88
"2017-11-09",72
"2017-11-10",59
"2017-11-11",68
"2017-11-12",89
"2017-11-13",82
"2017-11-14",76
"2017-11-15",71
"2017-11-16",62
"2017-11-17",61
"2017-11-18",56
"2017-11-19",78
"2017-11-20",70
"2017-11-21",64
"2017-11-22",62
"2017-11-23",62
"2017-11-24",53
"2017-11-25",52
"2017-11-26",69
"2017-11-27",69
"2017-11-28",71
"2017-11-29",70
"2017-11-30",67
"2017-12-01",64
"2017-12-02",78
"2017-12-03",78
"2017-12-04",81
"2017-12-05",76
"2017-12-06",72
"2017-12-07",68
"2017-12-08",52
"2017-12-09",54
"2017-12-10",63
"2017-12-11",59
"2017-12-12",61
"2017-12-13",55
"2017-12-14",49
"2017-12-15",44
"2017-12-16",52
"2017-12-17",55
"2017-12-18",52
"2017-12-19",46
"2017-12-20",49
"2017-12-21",41
"2017-12-22",33
"2017-12-23",34
"2017-12-24",34
"2017-12-25",49
"2017-12-26",50
"2017-12-27",48
"2017-12-28",44
"2017-12-29",37
"2017-12-30",34
"2017-12-31",35
"2018-01-01",48
"2018-01-02",49
"2018-01-03",44
"2018-01-04",37
"2018-01-05",39
"2018-01-06",41
"2018-01-07",49
"2018-01-08",44
"2018-01-09",42
"2018-01-10",38
"2018-01-11",42
"2018-01-12",33
"2018-01-13",34
"2018-01-14",44
"2018-01-15",39
"2018-01-16",40
"2018-01-17",37
"2018-01-18",37
"2018-01-19",30
"2018-01-20",31
"2018-01-21",39
"2018-01-22",40
"2018-01-23",37
"2018-01-24",37
"2018-01-25",38
"2018-01-26",35
"2018-01-27",35
"2018-01-28",39
"2018-01-29",38
"2018-01-30",42
"2018-01-31",42
"2018-02-01",41
"2018-02-02",34
"2018-02-03",35
"2018-02-04",51
"2018-02-05",42
"2018-02-06",42
"2018-02-07",36
"2018-02-08",36
"2018-02-09",31
"2018-02-10",27
"2018-02-11",39
"2018-02-12",34
"2018-02-13",30
"2018-02-14",26
"2018-02-15",28
"2018-02-16",39
"2018-02-17",37
"2018-02-18",48
"2018-02-19",47
"2018-02-20",41
"2018-02-21",41
"2018-02-22",39
"2018-02-23",33
"2018-02-24",28
"2018-02-25",40
"2018-02-26",41
"2018-02-27",35
"2018-02-28",32
"2018-03-01",36
"2018-03-02",31
"2018-03-03",31
"2018-03-04",46
"2018-03-05",38
"2018-03-06",37
"2018-03-07",38
"2018-03-08",32
"2018-03-09",30
"2018-03-10",31
"2018-03-11",41
"2018-03-12",33
"2018-03-13",37
"2018-03-14",35
"2018-03-15",34
"2018-03-16",28
"2018-03-17",37
"2018-03-18",42
"2018-03-19",35
"2018-03-20",37
"2018-03-21",36
"2018-03-22",32
"2018-03-23",23
"2018-03-24",30
"2018-03-25",39
"2018-03-26",36
"2018-03-27",35
"2018-03-28",33
"2018-03-29",31
"2018-03-30",24
"2018-03-31",29
"2018-04-01",38
"2018-04-02",35
"2018-04-03",33
"2018-04-04",33
"2018-04-05",34
"2018-04-06",27
"2018-04-07",24
"2018-04-08",33
"2018-04-09",31
"2018-04-10",32
"2018-04-11",28
"2018-04-12",26
"2018-04-13",24
"2018-04-14",24
"2018-04-15",30
"2018-04-16",30
"2018-04-17",31
"2018-04-18",33
"2018-04-19",25
