네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","노트8"
"2017-08-01",
"2017-08-02",
"2017-08-03",
"2017-08-04",
"2017-08-05",
"2017-08-06",
"2017-08-07",
"2017-08-08",1
"2017-08-09",1
"2017-08-10",1
"2017-08-11",
"2017-08-12",
"2017-08-13",
"2017-08-14",
"2017-08-15",
"2017-08-16",1
"2017-08-17",1
"2017-08-18",1
"2017-08-19",1
"2017-08-20",1
"2017-08-21",1
"2017-08-22",1
"2017-08-23",8
"2017-08-24",20
"2017-08-25",7
"2017-08-26",8
"2017-08-27",7
"2017-08-28",9
"2017-08-29",7
"2017-08-30",6
"2017-08-31",6
"2017-09-01",6
"2017-09-02",7
"2017-09-03",8
"2017-09-04",6
"2017-09-05",7
"2017-09-06",8
"2017-09-07",15
"2017-09-08",14
"2017-09-09",13
"2017-09-10",17
"2017-09-11",15
"2017-09-12",14
"2017-09-13",16
"2017-09-14",16
"2017-09-15",20
"2017-09-16",19
"2017-09-17",19
"2017-09-18",21
"2017-09-19",21
"2017-09-20",20
"2017-09-21",17
"2017-09-22",23
"2017-09-23",27
"2017-09-24",28
"2017-09-25",26
"2017-09-26",34
"2017-09-27",44
"2017-09-28",45
"2017-09-29",37
"2017-09-30",40
"2017-10-01",88
"2017-10-02",73
"2017-10-03",60
"2017-10-04",54
"2017-10-05",52
"2017-10-06",54
"2017-10-07",52
"2017-10-08",59
"2017-10-09",71
"2017-10-10",100
"2017-10-11",86
"2017-10-12",88
"2017-10-13",67
"2017-10-14",66
"2017-10-15",68
"2017-10-16",72
"2017-10-17",68
"2017-10-18",63
"2017-10-19",56
"2017-10-20",55
"2017-10-21",54
"2017-10-22",53
"2017-10-23",61
"2017-10-24",61
"2017-10-25",57
"2017-10-26",56
"2017-10-27",60
"2017-10-28",58
"2017-10-29",55
"2017-10-30",64
"2017-10-31",63
"2017-11-01",69
"2017-11-02",66
"2017-11-03",60
"2017-11-04",71
"2017-11-05",69
"2017-11-06",71
"2017-11-07",64
"2017-11-08",64
"2017-11-09",61
"2017-11-10",49
"2017-11-11",60
"2017-11-12",63
"2017-11-13",62
"2017-11-14",55
"2017-11-15",49
"2017-11-16",48
"2017-11-17",46
"2017-11-18",58
"2017-11-19",48
"2017-11-20",55
"2017-11-21",54
"2017-11-22",56
"2017-11-23",47
"2017-11-24",51
"2017-11-25",44
"2017-11-26",46
"2017-11-27",52
"2017-11-28",48
"2017-11-29",50
"2017-11-30",46
"2017-12-01",41
"2017-12-02",46
"2017-12-03",46
"2017-12-04",46
"2017-12-05",48
"2017-12-06",41
"2017-12-07",42
"2017-12-08",43
"2017-12-09",41
"2017-12-10",44
"2017-12-11",42
"2017-12-12",47
"2017-12-13",39
"2017-12-14",37
"2017-12-15",37
"2017-12-16",50
"2017-12-17",43
"2017-12-18",40
"2017-12-19",41
"2017-12-20",34
"2017-12-21",34
"2017-12-22",31
"2017-12-23",39
"2017-12-24",37
"2017-12-25",38
"2017-12-26",40
"2017-12-27",37
"2017-12-28",33
"2017-12-29",29
"2017-12-30",48
"2017-12-31",43
"2018-01-01",41
"2018-01-02",45
"2018-01-03",48
"2018-01-04",44
"2018-01-05",44
"2018-01-06",60
"2018-01-07",53
"2018-01-08",41
"2018-01-09",39
"2018-01-10",35
"2018-01-11",34
"2018-01-12",36
"2018-01-13",54
"2018-01-14",53
"2018-01-15",42
"2018-01-16",38
"2018-01-17",45
"2018-01-18",45
"2018-01-19",52
"2018-01-20",56
"2018-01-21",55
"2018-01-22",44
"2018-01-23",44
"2018-01-24",44
"2018-01-25",43
"2018-01-26",36
"2018-01-27",55
"2018-01-28",50
"2018-01-29",44
"2018-01-30",46
"2018-01-31",44
"2018-02-01",39
"2018-02-02",36
"2018-02-03",50
"2018-02-04",46
"2018-02-05",43
"2018-02-06",44
"2018-02-07",41
"2018-02-08",43
"2018-02-09",39
"2018-02-10",50
"2018-02-11",53
"2018-02-12",39
"2018-02-13",35
"2018-02-14",33
"2018-02-15",35
"2018-02-16",38
"2018-02-17",42
"2018-02-18",43
"2018-02-19",46
"2018-02-20",36
"2018-02-21",35
"2018-02-22",38
"2018-02-23",32
"2018-02-24",41
"2018-02-25",45
"2018-02-26",51
"2018-02-27",46
"2018-02-28",46
"2018-03-01",44
"2018-03-02",39
"2018-03-03",53
"2018-03-04",55
"2018-03-05",41
"2018-03-06",38
"2018-03-07",35
"2018-03-08",36
"2018-03-09",40
"2018-03-10",53
"2018-03-11",50
"2018-03-12",33
"2018-03-13",31
"2018-03-14",26
"2018-03-15",27
"2018-03-16",26
"2018-03-17",34
"2018-03-18",36
"2018-03-19",29
"2018-03-20",26
"2018-03-21",27
"2018-03-22",20
"2018-03-23",18
"2018-03-24",27
"2018-03-25",35
"2018-03-26",25
"2018-03-27",21
"2018-03-28",17
"2018-03-29",16
"2018-03-30",17
"2018-03-31",25
"2018-04-01",24
"2018-04-02",18
"2018-04-03",16
"2018-04-04",18
"2018-04-05",16
"2018-04-06",17
"2018-04-07",24
"2018-04-08",25
"2018-04-09",21
"2018-04-10",19
"2018-04-11",20
"2018-04-12",19
"2018-04-13",19
"2018-04-14",24
"2018-04-15",24
"2018-04-16",19
"2018-04-17",19
"2018-04-18",18
"2018-04-19",17
