네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","전기장판"
"2017-08-01",1
"2017-08-02",1
"2017-08-03",1
"2017-08-04",1
"2017-08-05",1
"2017-08-06",1
"2017-08-07",1
"2017-08-08",2
"2017-08-09",1
"2017-08-10",1
"2017-08-11",1
"2017-08-12",2
"2017-08-13",2
"2017-08-14",3
"2017-08-15",5
"2017-08-16",5
"2017-08-17",4
"2017-08-18",3
"2017-08-19",3
"2017-08-20",3
"2017-08-21",3
"2017-08-22",3
"2017-08-23",4
"2017-08-24",3
"2017-08-25",3
"2017-08-26",4
"2017-08-27",5
"2017-08-28",8
"2017-08-29",10
"2017-08-30",16
"2017-08-31",12
"2017-09-01",10
"2017-09-02",8
"2017-09-03",9
"2017-09-04",11
"2017-09-05",10
"2017-09-06",10
"2017-09-07",12
"2017-09-08",7
"2017-09-09",6
"2017-09-10",8
"2017-09-11",12
"2017-09-12",10
"2017-09-13",13
"2017-09-14",11
"2017-09-15",10
"2017-09-16",10
"2017-09-17",12
"2017-09-18",14
"2017-09-19",13
"2017-09-20",13
"2017-09-21",15
"2017-09-22",13
"2017-09-23",10
"2017-09-24",11
"2017-09-25",14
"2017-09-26",11
"2017-09-27",13
"2017-09-28",14
"2017-09-29",20
"2017-09-30",21
"2017-10-01",28
"2017-10-02",19
"2017-10-03",20
"2017-10-04",26
"2017-10-05",36
"2017-10-06",41
"2017-10-07",30
"2017-10-08",26
"2017-10-09",29
"2017-10-10",27
"2017-10-11",42
"2017-10-12",76
"2017-10-13",78
"2017-10-14",70
"2017-10-15",82
"2017-10-16",88
"2017-10-17",72
"2017-10-18",69
"2017-10-19",51
"2017-10-20",39
"2017-10-21",31
"2017-10-22",46
"2017-10-23",58
"2017-10-24",58
"2017-10-25",55
"2017-10-26",51
"2017-10-27",35
"2017-10-28",29
"2017-10-29",53
"2017-10-30",90
"2017-10-31",76
"2017-11-01",69
"2017-11-02",50
"2017-11-03",42
"2017-11-04",46
"2017-11-05",63
"2017-11-06",70
"2017-11-07",50
"2017-11-08",40
"2017-11-09",38
"2017-11-10",38
"2017-11-11",37
"2017-11-12",52
"2017-11-13",71
"2017-11-14",55
"2017-11-15",61
"2017-11-16",72
"2017-11-17",60
"2017-11-18",58
"2017-11-19",88
"2017-11-20",100
"2017-11-21",79
"2017-11-22",63
"2017-11-23",56
"2017-11-24",45
"2017-11-25",42
"2017-11-26",41
"2017-11-27",50
"2017-11-28",41
"2017-11-29",34
"2017-11-30",40
"2017-12-01",38
"2017-12-02",35
"2017-12-03",40
"2017-12-04",47
"2017-12-05",53
"2017-12-06",47
"2017-12-07",40
"2017-12-08",34
"2017-12-09",32
"2017-12-10",36
"2017-12-11",52
"2017-12-12",60
"2017-12-13",57
"2017-12-14",50
"2017-12-15",36
"2017-12-16",33
"2017-12-17",45
"2017-12-18",47
"2017-12-19",37
"2017-12-20",35
"2017-12-21",26
"2017-12-22",22
"2017-12-23",18
"2017-12-24",19
"2017-12-25",26
"2017-12-26",32
"2017-12-27",32
"2017-12-28",26
"2017-12-29",19
"2017-12-30",16
"2017-12-31",16
"2018-01-01",24
"2018-01-02",28
"2018-01-03",28
"2018-01-04",28
"2018-01-05",21
"2018-01-06",19
"2018-01-07",26
"2018-01-08",26
"2018-01-09",26
"2018-01-10",24
"2018-01-11",31
"2018-01-12",26
"2018-01-13",22
"2018-01-14",24
"2018-01-15",23
"2018-01-16",20
"2018-01-17",13
"2018-01-18",13
"2018-01-19",12
"2018-01-20",13
"2018-01-21",17
"2018-01-22",21
"2018-01-23",23
"2018-01-24",30
"2018-01-25",35
"2018-01-26",33
"2018-01-27",27
"2018-01-28",28
"2018-01-29",33
"2018-01-30",30
"2018-01-31",24
"2018-02-01",19
"2018-02-02",17
"2018-02-03",17
"2018-02-04",22
"2018-02-05",29
"2018-02-06",27
"2018-02-07",26
"2018-02-08",19
"2018-02-09",13
"2018-02-10",14
"2018-02-11",15
"2018-02-12",16
"2018-02-13",12
"2018-02-14",9
"2018-02-15",10
"2018-02-16",10
"2018-02-17",13
"2018-02-18",16
"2018-02-19",20
"2018-02-20",17
"2018-02-21",15
"2018-02-22",16
"2018-02-23",11
"2018-02-24",11
"2018-02-25",13
"2018-02-26",15
"2018-02-27",12
"2018-02-28",13
"2018-03-01",15
"2018-03-02",13
"2018-03-03",10
"2018-03-04",10
"2018-03-05",12
"2018-03-06",11
"2018-03-07",10
"2018-03-08",11
"2018-03-09",9
"2018-03-10",8
"2018-03-11",10
"2018-03-12",9
"2018-03-13",8
"2018-03-14",5
"2018-03-15",6
"2018-03-16",6
"2018-03-17",6
"2018-03-18",8
"2018-03-19",11
"2018-03-20",12
"2018-03-21",12
"2018-03-22",10
"2018-03-23",8
"2018-03-24",7
"2018-03-25",8
"2018-03-26",9
"2018-03-27",7
"2018-03-28",6
"2018-03-29",5
"2018-03-30",4
"2018-03-31",4
"2018-04-01",6
"2018-04-02",5
"2018-04-03",4
"2018-04-04",4
"2018-04-05",5
"2018-04-06",5
"2018-04-07",7
"2018-04-08",8
"2018-04-09",9
"2018-04-10",7
"2018-04-11",6
"2018-04-12",5
"2018-04-13",5
"2018-04-14",6
"2018-04-15",8
"2018-04-16",10
"2018-04-17",8
"2018-04-18",7
"2018-04-19",7
