네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","믹서기"
"2017-08-01",45
"2017-08-02",44
"2017-08-03",37
"2017-08-04",31
"2017-08-05",35
"2017-08-06",49
"2017-08-07",51
"2017-08-08",45
"2017-08-09",38
"2017-08-10",41
"2017-08-11",33
"2017-08-12",33
"2017-08-13",42
"2017-08-14",41
"2017-08-15",43
"2017-08-16",41
"2017-08-17",37
"2017-08-18",34
"2017-08-19",35
"2017-08-20",47
"2017-08-21",45
"2017-08-22",40
"2017-08-23",32
"2017-08-24",32
"2017-08-25",30
"2017-08-26",25
"2017-08-27",37
"2017-08-28",29
"2017-08-29",36
"2017-08-30",32
"2017-08-31",25
"2017-09-01",25
"2017-09-02",29
"2017-09-03",36
"2017-09-04",35
"2017-09-05",38
"2017-09-06",34
"2017-09-07",31
"2017-09-08",25
"2017-09-09",27
"2017-09-10",33
"2017-09-11",42
"2017-09-12",37
"2017-09-13",34
"2017-09-14",31
"2017-09-15",26
"2017-09-16",30
"2017-09-17",31
"2017-09-18",36
"2017-09-19",29
"2017-09-20",29
"2017-09-21",23
"2017-09-22",24
"2017-09-23",23
"2017-09-24",28
"2017-09-25",31
"2017-09-26",36
"2017-09-27",27
"2017-09-28",23
"2017-09-29",18
"2017-09-30",21
"2017-10-01",34
"2017-10-02",24
"2017-10-03",23
"2017-10-04",28
"2017-10-05",30
"2017-10-06",37
"2017-10-07",34
"2017-10-08",42
"2017-10-09",55
"2017-10-10",46
"2017-10-11",46
"2017-10-12",35
"2017-10-13",28
"2017-10-14",30
"2017-10-15",38
"2017-10-16",37
"2017-10-17",36
"2017-10-18",35
"2017-10-19",31
"2017-10-20",26
"2017-10-21",30
"2017-10-22",38
"2017-10-23",39
"2017-10-24",34
"2017-10-25",35
"2017-10-26",31
"2017-10-27",28
"2017-10-28",27
"2017-10-29",39
"2017-10-30",41
"2017-10-31",36
"2017-11-01",37
"2017-11-02",31
"2017-11-03",28
"2017-11-04",31
"2017-11-05",41
"2017-11-06",42
"2017-11-07",36
"2017-11-08",33
"2017-11-09",34
"2017-11-10",32
"2017-11-11",26
"2017-11-12",42
"2017-11-13",37
"2017-11-14",38
"2017-11-15",31
"2017-11-16",31
"2017-11-17",27
"2017-11-18",31
"2017-11-19",38
"2017-11-20",44
"2017-11-21",32
"2017-11-22",33
"2017-11-23",29
"2017-11-24",28
"2017-11-25",33
"2017-11-26",40
"2017-11-27",38
"2017-11-28",33
"2017-11-29",32
"2017-11-30",30
"2017-12-01",29
"2017-12-02",29
"2017-12-03",38
"2017-12-04",43
"2017-12-05",35
"2017-12-06",31
"2017-12-07",28
"2017-12-08",27
"2017-12-09",25
"2017-12-10",36
"2017-12-11",38
"2017-12-12",37
"2017-12-13",28
"2017-12-14",27
"2017-12-15",31
"2017-12-16",26
"2017-12-17",37
"2017-12-18",36
"2017-12-19",31
"2017-12-20",28
"2017-12-21",24
"2017-12-22",24
"2017-12-23",20
"2017-12-24",24
"2017-12-25",30
"2017-12-26",29
"2017-12-27",32
"2017-12-28",33
"2017-12-29",28
"2017-12-30",30
"2017-12-31",26
"2018-01-01",44
"2018-01-02",47
"2018-01-03",42
"2018-01-04",40
"2018-01-05",35
"2018-01-06",33
"2018-01-07",45
"2018-01-08",45
"2018-01-09",40
"2018-01-10",48
"2018-01-11",40
"2018-01-12",29
"2018-01-13",33
"2018-01-14",45
"2018-01-15",43
"2018-01-16",49
"2018-01-17",43
"2018-01-18",39
"2018-01-19",33
"2018-01-20",36
"2018-01-21",50
"2018-01-22",55
"2018-01-23",43
"2018-01-24",43
"2018-01-25",43
"2018-01-26",38
"2018-01-27",37
"2018-01-28",63
"2018-01-29",54
"2018-01-30",51
"2018-01-31",46
"2018-02-01",46
"2018-02-02",34
"2018-02-03",48
"2018-02-04",59
"2018-02-05",62
"2018-02-06",55
"2018-02-07",49
"2018-02-08",43
"2018-02-09",34
"2018-02-10",37
"2018-02-11",47
"2018-02-12",43
"2018-02-13",30
"2018-02-14",24
"2018-02-15",35
"2018-02-16",39
"2018-02-17",50
"2018-02-18",69
"2018-02-19",59
"2018-02-20",60
"2018-02-21",53
"2018-02-22",50
"2018-02-23",42
"2018-02-24",44
"2018-02-25",66
"2018-02-26",65
"2018-02-27",59
"2018-02-28",54
"2018-03-01",64
"2018-03-02",55
"2018-03-03",49
"2018-03-04",63
"2018-03-05",56
"2018-03-06",49
"2018-03-07",48
"2018-03-08",51
"2018-03-09",40
"2018-03-10",49
"2018-03-11",63
"2018-03-12",64
"2018-03-13",54
"2018-03-14",49
"2018-03-15",51
"2018-03-16",45
"2018-03-17",48
"2018-03-18",87
"2018-03-19",95
"2018-03-20",73
"2018-03-21",71
"2018-03-22",62
"2018-03-23",58
"2018-03-24",74
"2018-03-25",97
"2018-03-26",100
"2018-03-27",82
"2018-03-28",68
"2018-03-29",70
"2018-03-30",57
"2018-03-31",55
"2018-04-01",82
"2018-04-02",79
"2018-04-03",67
"2018-04-04",68
"2018-04-05",68
"2018-04-06",52
"2018-04-07",59
"2018-04-08",79
"2018-04-09",68
"2018-04-10",67
"2018-04-11",66
"2018-04-12",58
"2018-04-13",52
"2018-04-14",61
"2018-04-15",65
"2018-04-16",61
"2018-04-17",63
"2018-04-18",76
"2018-04-19",63
