네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","에어컨"
"2017-08-01",22
"2017-08-02",30
"2017-08-03",31
"2017-08-04",32
"2017-08-05",78
"2017-08-06",100
"2017-08-07",78
"2017-08-08",40
"2017-08-09",22
"2017-08-10",14
"2017-08-11",13
"2017-08-12",11
"2017-08-13",11
"2017-08-14",9
"2017-08-15",7
"2017-08-16",8
"2017-08-17",6
"2017-08-18",6
"2017-08-19",7
"2017-08-20",7
"2017-08-21",7
"2017-08-22",8
"2017-08-23",13
"2017-08-24",14
"2017-08-25",9
"2017-08-26",6
"2017-08-27",7
"2017-08-28",5
"2017-08-29",5
"2017-08-30",4
"2017-08-31",4
"2017-09-01",3
"2017-09-02",4
"2017-09-03",5
"2017-09-04",5
"2017-09-05",4
"2017-09-06",3
"2017-09-07",4
"2017-09-08",3
"2017-09-09",5
"2017-09-10",6
"2017-09-11",5
"2017-09-12",4
"2017-09-13",4
"2017-09-14",4
"2017-09-15",4
"2017-09-16",3
"2017-09-17",4
"2017-09-18",4
"2017-09-19",3
"2017-09-20",4
"2017-09-21",3
"2017-09-22",4
"2017-09-23",3
"2017-09-24",4
"2017-09-25",5
"2017-09-26",5
"2017-09-27",6
"2017-09-28",5
"2017-09-29",4
"2017-09-30",4
"2017-10-01",4
"2017-10-02",4
"2017-10-03",5
"2017-10-04",5
"2017-10-05",6
"2017-10-06",6
"2017-10-07",6
"2017-10-08",6
"2017-10-09",7
"2017-10-10",7
"2017-10-11",8
"2017-10-12",7
"2017-10-13",6
"2017-10-14",6
"2017-10-15",9
"2017-10-16",7
"2017-10-17",7
"2017-10-18",6
"2017-10-19",6
"2017-10-20",7
"2017-10-21",6
"2017-10-22",8
"2017-10-23",7
"2017-10-24",6
"2017-10-25",6
"2017-10-26",6
"2017-10-27",5
"2017-10-28",6
"2017-10-29",8
"2017-10-30",7
"2017-10-31",6
"2017-11-01",7
"2017-11-02",7
"2017-11-03",5
"2017-11-04",6
"2017-11-05",7
"2017-11-06",7
"2017-11-07",7
"2017-11-08",6
"2017-11-09",6
"2017-11-10",4
"2017-11-11",6
"2017-11-12",7
"2017-11-13",7
"2017-11-14",6
"2017-11-15",6
"2017-11-16",6
"2017-11-17",5
"2017-11-18",6
"2017-11-19",8
"2017-11-20",7
"2017-11-21",6
"2017-11-22",5
"2017-11-23",6
"2017-11-24",6
"2017-11-25",7
"2017-11-26",8
"2017-11-27",6
"2017-11-28",6
"2017-11-29",6
"2017-11-30",6
"2017-12-01",4
"2017-12-02",6
"2017-12-03",8
"2017-12-04",7
"2017-12-05",7
"2017-12-06",6
"2017-12-07",5
"2017-12-08",6
"2017-12-09",6
"2017-12-10",8
"2017-12-11",7
"2017-12-12",7
"2017-12-13",7
"2017-12-14",6
"2017-12-15",5
"2017-12-16",6
"2017-12-17",7
"2017-12-18",6
"2017-12-19",6
"2017-12-20",5
"2017-12-21",6
"2017-12-22",5
"2017-12-23",6
"2017-12-24",7
"2017-12-25",8
"2017-12-26",7
"2017-12-27",8
"2017-12-28",7
"2017-12-29",7
"2017-12-30",7
"2017-12-31",8
"2018-01-01",9
"2018-01-02",9
"2018-01-03",8
"2018-01-04",9
"2018-01-05",9
"2018-01-06",10
"2018-01-07",12
"2018-01-08",13
"2018-01-09",10
"2018-01-10",9
"2018-01-11",10
"2018-01-12",9
"2018-01-13",11
"2018-01-14",15
"2018-01-15",12
"2018-01-16",12
"2018-01-17",11
"2018-01-18",13
"2018-01-19",11
"2018-01-20",13
"2018-01-21",16
"2018-01-22",13
"2018-01-23",13
"2018-01-24",12
"2018-01-25",11
"2018-01-26",10
"2018-01-27",12
"2018-01-28",15
"2018-01-29",14
"2018-01-30",12
"2018-01-31",12
"2018-02-01",15
"2018-02-02",12
"2018-02-03",18
"2018-02-04",19
"2018-02-05",18
"2018-02-06",18
"2018-02-07",17
"2018-02-08",16
"2018-02-09",14
"2018-02-10",17
"2018-02-11",20
"2018-02-12",16
"2018-02-13",15
"2018-02-14",15
"2018-02-15",16
"2018-02-16",17
"2018-02-17",18
"2018-02-18",23
"2018-02-19",22
"2018-02-20",20
"2018-02-21",18
"2018-02-22",19
"2018-02-23",18
"2018-02-24",21
"2018-02-25",26
"2018-02-26",28
"2018-02-27",26
"2018-02-28",22
"2018-03-01",37
"2018-03-02",29
"2018-03-03",34
"2018-03-04",45
"2018-03-05",33
"2018-03-06",32
"2018-03-07",31
"2018-03-08",32
"2018-03-09",25
"2018-03-10",33
"2018-03-11",45
"2018-03-12",39
"2018-03-13",45
"2018-03-14",53
"2018-03-15",44
"2018-03-16",36
"2018-03-17",42
"2018-03-18",47
"2018-03-19",41
"2018-03-20",35
"2018-03-21",33
"2018-03-22",30
"2018-03-23",30
"2018-03-24",36
"2018-03-25",53
"2018-03-26",53
"2018-03-27",54
"2018-03-28",55
"2018-03-29",54
"2018-03-30",53
"2018-03-31",60
"2018-04-01",74
"2018-04-02",78
"2018-04-03",82
"2018-04-04",58
"2018-04-05",46
"2018-04-06",42
"2018-04-07",47
"2018-04-08",53
"2018-04-09",46
"2018-04-10",44
"2018-04-11",45
"2018-04-12",43
"2018-04-13",34
"2018-04-14",41
"2018-04-15",53
"2018-04-16",57
"2018-04-17",52
"2018-04-18",46
"2018-04-19",47
