네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","전자렌지"
"2017-08-01",37
"2017-08-02",40
"2017-08-03",33
"2017-08-04",31
"2017-08-05",26
"2017-08-06",37
"2017-08-07",43
"2017-08-08",38
"2017-08-09",41
"2017-08-10",37
"2017-08-11",32
"2017-08-12",34
"2017-08-13",43
"2017-08-14",50
"2017-08-15",46
"2017-08-16",46
"2017-08-17",41
"2017-08-18",32
"2017-08-19",35
"2017-08-20",44
"2017-08-21",47
"2017-08-22",47
"2017-08-23",40
"2017-08-24",38
"2017-08-25",34
"2017-08-26",30
"2017-08-27",41
"2017-08-28",41
"2017-08-29",49
"2017-08-30",47
"2017-08-31",37
"2017-09-01",40
"2017-09-02",33
"2017-09-03",43
"2017-09-04",45
"2017-09-05",46
"2017-09-06",42
"2017-09-07",44
"2017-09-08",32
"2017-09-09",31
"2017-09-10",38
"2017-09-11",47
"2017-09-12",40
"2017-09-13",36
"2017-09-14",38
"2017-09-15",31
"2017-09-16",30
"2017-09-17",40
"2017-09-18",44
"2017-09-19",41
"2017-09-20",36
"2017-09-21",32
"2017-09-22",26
"2017-09-23",31
"2017-09-24",31
"2017-09-25",47
"2017-09-26",51
"2017-09-27",45
"2017-09-28",33
"2017-09-29",25
"2017-09-30",25
"2017-10-01",35
"2017-10-02",34
"2017-10-03",33
"2017-10-04",38
"2017-10-05",47
"2017-10-06",52
"2017-10-07",50
"2017-10-08",49
"2017-10-09",67
"2017-10-10",66
"2017-10-11",69
"2017-10-12",65
"2017-10-13",50
"2017-10-14",47
"2017-10-15",61
"2017-10-16",69
"2017-10-17",62
"2017-10-18",65
"2017-10-19",57
"2017-10-20",44
"2017-10-21",40
"2017-10-22",62
"2017-10-23",68
"2017-10-24",64
"2017-10-25",59
"2017-10-26",49
"2017-10-27",49
"2017-10-28",46
"2017-10-29",61
"2017-10-30",70
"2017-10-31",62
"2017-11-01",62
"2017-11-02",60
"2017-11-03",53
"2017-11-04",51
"2017-11-05",62
"2017-11-06",73
"2017-11-07",71
"2017-11-08",68
"2017-11-09",53
"2017-11-10",47
"2017-11-11",41
"2017-11-12",48
"2017-11-13",74
"2017-11-14",59
"2017-11-15",50
"2017-11-16",51
"2017-11-17",49
"2017-11-18",44
"2017-11-19",56
"2017-11-20",73
"2017-11-21",63
"2017-11-22",66
"2017-11-23",58
"2017-11-24",46
"2017-11-25",50
"2017-11-26",58
"2017-11-27",65
"2017-11-28",67
"2017-11-29",57
"2017-11-30",51
"2017-12-01",56
"2017-12-02",50
"2017-12-03",64
"2017-12-04",72
"2017-12-05",59
"2017-12-06",63
"2017-12-07",62
"2017-12-08",55
"2017-12-09",46
"2017-12-10",66
"2017-12-11",68
"2017-12-12",74
"2017-12-13",59
"2017-12-14",54
"2017-12-15",43
"2017-12-16",47
"2017-12-17",65
"2017-12-18",69
"2017-12-19",62
"2017-12-20",60
"2017-12-21",51
"2017-12-22",46
"2017-12-23",47
"2017-12-24",51
"2017-12-25",54
"2017-12-26",73
"2017-12-27",64
"2017-12-28",61
"2017-12-29",44
"2017-12-30",44
"2017-12-31",49
"2018-01-01",65
"2018-01-02",73
"2018-01-03",72
"2018-01-04",72
"2018-01-05",52
"2018-01-06",51
"2018-01-07",72
"2018-01-08",79
"2018-01-09",66
"2018-01-10",76
"2018-01-11",70
"2018-01-12",52
"2018-01-13",52
"2018-01-14",64
"2018-01-15",70
"2018-01-16",67
"2018-01-17",66
"2018-01-18",52
"2018-01-19",49
"2018-01-20",50
"2018-01-21",64
"2018-01-22",72
"2018-01-23",69
"2018-01-24",67
"2018-01-25",60
"2018-01-26",53
"2018-01-27",55
"2018-01-28",66
"2018-01-29",73
"2018-01-30",65
"2018-01-31",61
"2018-02-01",71
"2018-02-02",53
"2018-02-03",51
"2018-02-04",74
"2018-02-05",78
"2018-02-06",78
"2018-02-07",67
"2018-02-08",65
"2018-02-09",50
"2018-02-10",52
"2018-02-11",68
"2018-02-12",56
"2018-02-13",45
"2018-02-14",37
"2018-02-15",43
"2018-02-16",53
"2018-02-17",70
"2018-02-18",87
"2018-02-19",100
"2018-02-20",72
"2018-02-21",86
"2018-02-22",79
"2018-02-23",61
"2018-02-24",66
"2018-02-25",77
"2018-02-26",86
"2018-02-27",82
"2018-02-28",77
"2018-03-01",83
"2018-03-02",68
"2018-03-03",71
"2018-03-04",85
"2018-03-05",84
"2018-03-06",75
"2018-03-07",77
"2018-03-08",63
"2018-03-09",52
"2018-03-10",53
"2018-03-11",68
"2018-03-12",72
"2018-03-13",66
"2018-03-14",60
"2018-03-15",60
"2018-03-16",51
"2018-03-17",49
"2018-03-18",65
"2018-03-19",74
"2018-03-20",64
"2018-03-21",63
"2018-03-22",63
"2018-03-23",46
"2018-03-24",51
"2018-03-25",66
"2018-03-26",70
"2018-03-27",65
"2018-03-28",63
"2018-03-29",53
"2018-03-30",48
"2018-03-31",49
"2018-04-01",68
"2018-04-02",70
"2018-04-03",59
"2018-04-04",57
"2018-04-05",52
"2018-04-06",49
"2018-04-07",51
"2018-04-08",66
"2018-04-09",70
"2018-04-10",58
"2018-04-11",59
"2018-04-12",60
"2018-04-13",51
"2018-04-14",49
"2018-04-15",60
"2018-04-16",65
"2018-04-17",59
"2018-04-18",50
"2018-04-19",50
