네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","삼성공기청정기"
"2017-08-01",1
"2017-08-02",1
"2017-08-03",1
"2017-08-04",2
"2017-08-05",1
"2017-08-06",1
"2017-08-07",2
"2017-08-08",1
"2017-08-09",2
"2017-08-10",1
"2017-08-11",1
"2017-08-12",1
"2017-08-13",1
"2017-08-14",1
"2017-08-15",2
"2017-08-16",1
"2017-08-17",1
"2017-08-18",2
"2017-08-19",1
"2017-08-20",2
"2017-08-21",2
"2017-08-22",1
"2017-08-23",2
"2017-08-24",1
"2017-08-25",1
"2017-08-26",2
"2017-08-27",1
"2017-08-28",2
"2017-08-29",2
"2017-08-30",2
"2017-08-31",2
"2017-09-01",2
"2017-09-02",2
"2017-09-03",2
"2017-09-04",3
"2017-09-05",2
"2017-09-06",2
"2017-09-07",2
"2017-09-08",3
"2017-09-09",4
"2017-09-10",5
"2017-09-11",5
"2017-09-12",3
"2017-09-13",2
"2017-09-14",3
"2017-09-15",3
"2017-09-16",2
"2017-09-17",2
"2017-09-18",3
"2017-09-19",7
"2017-09-20",4
"2017-09-21",3
"2017-09-22",3
"2017-09-23",3
"2017-09-24",5
"2017-09-25",6
"2017-09-26",6
"2017-09-27",5
"2017-09-28",4
"2017-09-29",3
"2017-09-30",3
"2017-10-01",5
"2017-10-02",4
"2017-10-03",3
"2017-10-04",3
"2017-10-05",4
"2017-10-06",5
"2017-10-07",5
"2017-10-08",4
"2017-10-09",6
"2017-10-10",6
"2017-10-11",5
"2017-10-12",5
"2017-10-13",5
"2017-10-14",5
"2017-10-15",6
"2017-10-16",5
"2017-10-17",6
"2017-10-18",5
"2017-10-19",4
"2017-10-20",4
"2017-10-21",4
"2017-10-22",5
"2017-10-23",6
"2017-10-24",5
"2017-10-25",5
"2017-10-26",6
"2017-10-27",6
"2017-10-28",5
"2017-10-29",7
"2017-10-30",6
"2017-10-31",5
"2017-11-01",6
"2017-11-02",5
"2017-11-03",5
"2017-11-04",6
"2017-11-05",8
"2017-11-06",7
"2017-11-07",6
"2017-11-08",9
"2017-11-09",7
"2017-11-10",6
"2017-11-11",7
"2017-11-12",8
"2017-11-13",7
"2017-11-14",6
"2017-11-15",6
"2017-11-16",5
"2017-11-17",4
"2017-11-18",6
"2017-11-19",6
"2017-11-20",6
"2017-11-21",6
"2017-11-22",5
"2017-11-23",5
"2017-11-24",5
"2017-11-25",5
"2017-11-26",6
"2017-11-27",6
"2017-11-28",7
"2017-11-29",7
"2017-11-30",6
"2017-12-01",6
"2017-12-02",5
"2017-12-03",7
"2017-12-04",7
"2017-12-05",5
"2017-12-06",5
"2017-12-07",5
"2017-12-08",4
"2017-12-09",5
"2017-12-10",6
"2017-12-11",5
"2017-12-12",5
"2017-12-13",5
"2017-12-14",4
"2017-12-15",4
"2017-12-16",5
"2017-12-17",6
"2017-12-18",7
"2017-12-19",5
"2017-12-20",5
"2017-12-21",5
"2017-12-22",5
"2017-12-23",7
"2017-12-24",7
"2017-12-25",7
"2017-12-26",7
"2017-12-27",7
"2017-12-28",7
"2017-12-29",9
"2017-12-30",18
"2017-12-31",14
"2018-01-01",12
"2018-01-02",13
"2018-01-03",9
"2018-01-04",8
"2018-01-05",8
"2018-01-06",10
"2018-01-07",11
"2018-01-08",9
"2018-01-09",8
"2018-01-10",8
"2018-01-11",7
"2018-01-12",5
"2018-01-13",7
"2018-01-14",11
"2018-01-15",13
"2018-01-16",24
"2018-01-17",29
"2018-01-18",35
"2018-01-19",21
"2018-01-20",30
"2018-01-21",37
"2018-01-22",23
"2018-01-23",17
"2018-01-24",14
"2018-01-25",13
"2018-01-26",10
"2018-01-27",11
"2018-01-28",15
"2018-01-29",10
"2018-01-30",11
"2018-01-31",11
"2018-02-01",10
"2018-02-02",8
"2018-02-03",10
"2018-02-04",10
"2018-02-05",10
"2018-02-06",9
"2018-02-07",8
"2018-02-08",8
"2018-02-09",7
"2018-02-10",9
"2018-02-11",10
"2018-02-12",8
"2018-02-13",7
"2018-02-14",7
"2018-02-15",8
"2018-02-16",9
"2018-02-17",10
"2018-02-18",12
"2018-02-19",12
"2018-02-20",13
"2018-02-21",11
"2018-02-22",10
"2018-02-23",12
"2018-02-24",17
"2018-02-25",15
"2018-02-26",13
"2018-02-27",16
"2018-02-28",14
"2018-03-01",17
"2018-03-02",11
"2018-03-03",13
"2018-03-04",13
"2018-03-05",11
"2018-03-06",10
"2018-03-07",9
"2018-03-08",8
"2018-03-09",9
"2018-03-10",10
"2018-03-11",15
"2018-03-12",20
"2018-03-13",18
"2018-03-14",14
"2018-03-15",11
"2018-03-16",9
"2018-03-17",10
"2018-03-18",15
"2018-03-19",12
"2018-03-20",11
"2018-03-21",11
"2018-03-22",9
"2018-03-23",10
"2018-03-24",23
"2018-03-25",65
"2018-03-26",100
"2018-03-27",98
"2018-03-28",70
"2018-03-29",55
"2018-03-30",36
"2018-03-31",33
"2018-04-01",40
"2018-04-02",34
"2018-04-03",26
"2018-04-04",19
"2018-04-05",17
"2018-04-06",25
"2018-04-07",23
"2018-04-08",24
"2018-04-09",23
"2018-04-10",20
"2018-04-11",22
"2018-04-12",17
"2018-04-13",13
"2018-04-14",16
"2018-04-15",31
"2018-04-16",24
"2018-04-17",23
"2018-04-18",23
"2018-04-19",21
