네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","갤럭시노트8"
"2017-08-01",1
"2017-08-02",1
"2017-08-03",
"2017-08-04",
"2017-08-05",1
"2017-08-06",
"2017-08-07",1
"2017-08-08",1
"2017-08-09",1
"2017-08-10",1
"2017-08-11",
"2017-08-12",
"2017-08-13",
"2017-08-14",
"2017-08-15",
"2017-08-16",
"2017-08-17",
"2017-08-18",
"2017-08-19",
"2017-08-20",1
"2017-08-21",
"2017-08-22",
"2017-08-23",8
"2017-08-24",46
"2017-08-25",10
"2017-08-26",9
"2017-08-27",9
"2017-08-28",12
"2017-08-29",10
"2017-08-30",8
"2017-08-31",9
"2017-09-01",9
"2017-09-02",9
"2017-09-03",11
"2017-09-04",8
"2017-09-05",7
"2017-09-06",10
"2017-09-07",24
"2017-09-08",14
"2017-09-09",10
"2017-09-10",11
"2017-09-11",11
"2017-09-12",12
"2017-09-13",13
"2017-09-14",12
"2017-09-15",17
"2017-09-16",16
"2017-09-17",17
"2017-09-18",19
"2017-09-19",17
"2017-09-20",16
"2017-09-21",15
"2017-09-22",20
"2017-09-23",23
"2017-09-24",24
"2017-09-25",23
"2017-09-26",30
"2017-09-27",35
"2017-09-28",29
"2017-09-29",26
"2017-09-30",37
"2017-10-01",87
"2017-10-02",100
"2017-10-03",66
"2017-10-04",46
"2017-10-05",46
"2017-10-06",55
"2017-10-07",56
"2017-10-08",70
"2017-10-09",76
"2017-10-10",69
"2017-10-11",67
"2017-10-12",61
"2017-10-13",51
"2017-10-14",61
"2017-10-15",58
"2017-10-16",48
"2017-10-17",45
"2017-10-18",38
"2017-10-19",38
"2017-10-20",39
"2017-10-21",45
"2017-10-22",40
"2017-10-23",33
"2017-10-24",35
"2017-10-25",40
"2017-10-26",45
"2017-10-27",46
"2017-10-28",45
"2017-10-29",71
"2017-10-30",42
"2017-10-31",49
"2017-11-01",56
"2017-11-02",50
"2017-11-03",43
"2017-11-04",67
"2017-11-05",55
"2017-11-06",55
"2017-11-07",54
"2017-11-08",43
"2017-11-09",41
"2017-11-10",35
"2017-11-11",51
"2017-11-12",73
"2017-11-13",49
"2017-11-14",46
"2017-11-15",35
"2017-11-16",36
"2017-11-17",40
"2017-11-18",56
"2017-11-19",57
"2017-11-20",37
"2017-11-21",31
"2017-11-22",32
"2017-11-23",35
"2017-11-24",41
"2017-11-25",34
"2017-11-26",38
"2017-11-27",35
"2017-11-28",32
"2017-11-29",32
"2017-11-30",31
"2017-12-01",29
"2017-12-02",34
"2017-12-03",33
"2017-12-04",31
"2017-12-05",35
"2017-12-06",29
"2017-12-07",30
"2017-12-08",33
"2017-12-09",35
"2017-12-10",39
"2017-12-11",34
"2017-12-12",36
"2017-12-13",33
"2017-12-14",31
"2017-12-15",30
"2017-12-16",41
"2017-12-17",39
"2017-12-18",31
"2017-12-19",35
"2017-12-20",25
"2017-12-21",27
"2017-12-22",26
"2017-12-23",32
"2017-12-24",32
"2017-12-25",32
"2017-12-26",35
"2017-12-27",32
"2017-12-28",30
"2017-12-29",26
"2017-12-30",44
"2017-12-31",41
"2018-01-01",35
"2018-01-02",39
"2018-01-03",41
"2018-01-04",37
"2018-01-05",40
"2018-01-06",47
"2018-01-07",51
"2018-01-08",36
"2018-01-09",31
"2018-01-10",28
"2018-01-11",31
"2018-01-12",32
"2018-01-13",45
"2018-01-14",46
"2018-01-15",35
"2018-01-16",33
"2018-01-17",37
"2018-01-18",36
"2018-01-19",41
"2018-01-20",50
"2018-01-21",48
"2018-01-22",37
"2018-01-23",36
"2018-01-24",36
"2018-01-25",31
"2018-01-26",28
"2018-01-27",44
"2018-01-28",47
"2018-01-29",37
"2018-01-30",33
"2018-01-31",31
"2018-02-01",27
"2018-02-02",25
"2018-02-03",50
"2018-02-04",45
"2018-02-05",37
"2018-02-06",30
"2018-02-07",34
"2018-02-08",35
"2018-02-09",33
"2018-02-10",44
"2018-02-11",45
"2018-02-12",34
"2018-02-13",28
"2018-02-14",26
"2018-02-15",34
"2018-02-16",35
"2018-02-17",42
"2018-02-18",42
"2018-02-19",35
"2018-02-20",29
"2018-02-21",28
"2018-02-22",28
"2018-02-23",25
"2018-02-24",31
"2018-02-25",41
"2018-02-26",49
"2018-02-27",40
"2018-02-28",41
"2018-03-01",44
"2018-03-02",37
"2018-03-03",50
"2018-03-04",51
"2018-03-05",37
"2018-03-06",31
"2018-03-07",31
"2018-03-08",32
"2018-03-09",34
"2018-03-10",48
"2018-03-11",43
"2018-03-12",29
"2018-03-13",26
"2018-03-14",24
"2018-03-15",17
"2018-03-16",17
"2018-03-17",22
"2018-03-18",32
"2018-03-19",23
"2018-03-20",18
"2018-03-21",15
"2018-03-22",13
"2018-03-23",13
"2018-03-24",22
"2018-03-25",22
"2018-03-26",16
"2018-03-27",13
"2018-03-28",12
"2018-03-29",11
"2018-03-30",15
"2018-03-31",23
"2018-04-01",23
"2018-04-02",16
"2018-04-03",13
"2018-04-04",13
"2018-04-05",12
"2018-04-06",14
"2018-04-07",24
"2018-04-08",24
"2018-04-09",17
"2018-04-10",17
"2018-04-11",17
"2018-04-12",18
"2018-04-13",15
"2018-04-14",21
"2018-04-15",21
"2018-04-16",16
"2018-04-17",17
"2018-04-18",15
"2018-04-19",14
