네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","tv"
"2017-08-01",40
"2017-08-02",43
"2017-08-03",36
"2017-08-04",35
"2017-08-05",36
"2017-08-06",44
"2017-08-07",43
"2017-08-08",33
"2017-08-09",39
"2017-08-10",34
"2017-08-11",33
"2017-08-12",37
"2017-08-13",46
"2017-08-14",43
"2017-08-15",50
"2017-08-16",46
"2017-08-17",41
"2017-08-18",35
"2017-08-19",51
"2017-08-20",49
"2017-08-21",45
"2017-08-22",43
"2017-08-23",46
"2017-08-24",44
"2017-08-25",36
"2017-08-26",42
"2017-08-27",48
"2017-08-28",39
"2017-08-29",34
"2017-08-30",42
"2017-08-31",32
"2017-09-01",35
"2017-09-02",45
"2017-09-03",50
"2017-09-04",48
"2017-09-05",45
"2017-09-06",38
"2017-09-07",37
"2017-09-08",36
"2017-09-09",41
"2017-09-10",48
"2017-09-11",45
"2017-09-12",37
"2017-09-13",37
"2017-09-14",36
"2017-09-15",26
"2017-09-16",33
"2017-09-17",44
"2017-09-18",35
"2017-09-19",39
"2017-09-20",33
"2017-09-21",31
"2017-09-22",27
"2017-09-23",31
"2017-09-24",42
"2017-09-25",38
"2017-09-26",39
"2017-09-27",41
"2017-09-28",39
"2017-09-29",39
"2017-09-30",43
"2017-10-01",52
"2017-10-02",45
"2017-10-03",53
"2017-10-04",58
"2017-10-05",60
"2017-10-06",57
"2017-10-07",55
"2017-10-08",58
"2017-10-09",55
"2017-10-10",56
"2017-10-11",45
"2017-10-12",38
"2017-10-13",33
"2017-10-14",43
"2017-10-15",58
"2017-10-16",50
"2017-10-17",44
"2017-10-18",44
"2017-10-19",40
"2017-10-20",37
"2017-10-21",41
"2017-10-22",53
"2017-10-23",48
"2017-10-24",41
"2017-10-25",36
"2017-10-26",42
"2017-10-27",41
"2017-10-28",43
"2017-10-29",53
"2017-10-30",45
"2017-10-31",41
"2017-11-01",46
"2017-11-02",46
"2017-11-03",41
"2017-11-04",43
"2017-11-05",56
"2017-11-06",53
"2017-11-07",37
"2017-11-08",39
"2017-11-09",37
"2017-11-10",38
"2017-11-11",45
"2017-11-12",59
"2017-11-13",44
"2017-11-14",44
"2017-11-15",36
"2017-11-16",38
"2017-11-17",36
"2017-11-18",50
"2017-11-19",56
"2017-11-20",50
"2017-11-21",53
"2017-11-22",41
"2017-11-23",44
"2017-11-24",47
"2017-11-25",50
"2017-11-26",61
"2017-11-27",47
"2017-11-28",38
"2017-11-29",43
"2017-11-30",45
"2017-12-01",42
"2017-12-02",52
"2017-12-03",58
"2017-12-04",53
"2017-12-05",45
"2017-12-06",40
"2017-12-07",39
"2017-12-08",32
"2017-12-09",40
"2017-12-10",55
"2017-12-11",47
"2017-12-12",50
"2017-12-13",43
"2017-12-14",45
"2017-12-15",37
"2017-12-16",47
"2017-12-17",59
"2017-12-18",57
"2017-12-19",49
"2017-12-20",49
"2017-12-21",40
"2017-12-22",40
"2017-12-23",46
"2017-12-24",57
"2017-12-25",65
"2017-12-26",59
"2017-12-27",58
"2017-12-28",51
"2017-12-29",47
"2017-12-30",63
"2017-12-31",74
"2018-01-01",78
"2018-01-02",71
"2018-01-03",60
"2018-01-04",52
"2018-01-05",48
"2018-01-06",64
"2018-01-07",72
"2018-01-08",62
"2018-01-09",65
"2018-01-10",56
"2018-01-11",53
"2018-01-12",48
"2018-01-13",58
"2018-01-14",68
"2018-01-15",61
"2018-01-16",59
"2018-01-17",57
"2018-01-18",52
"2018-01-19",47
"2018-01-20",62
"2018-01-21",85
"2018-01-22",63
"2018-01-23",58
"2018-01-24",60
"2018-01-25",49
"2018-01-26",45
"2018-01-27",54
"2018-01-28",69
"2018-01-29",56
"2018-01-30",48
"2018-01-31",47
"2018-02-01",52
"2018-02-02",49
"2018-02-03",60
"2018-02-04",82
"2018-02-05",67
"2018-02-06",59
"2018-02-07",59
"2018-02-08",55
"2018-02-09",51
"2018-02-10",66
"2018-02-11",78
"2018-02-12",57
"2018-02-13",49
"2018-02-14",48
"2018-02-15",67
"2018-02-16",79
"2018-02-17",94
"2018-02-18",100
"2018-02-19",73
"2018-02-20",55
"2018-02-21",52
"2018-02-22",48
"2018-02-23",50
"2018-02-24",62
"2018-02-25",75
"2018-02-26",62
"2018-02-27",57
"2018-02-28",49
"2018-03-01",64
"2018-03-02",52
"2018-03-03",57
"2018-03-04",71
"2018-03-05",62
"2018-03-06",49
"2018-03-07",51
"2018-03-08",49
"2018-03-09",44
"2018-03-10",54
"2018-03-11",68
"2018-03-12",49
"2018-03-13",47
"2018-03-14",45
"2018-03-15",48
"2018-03-16",43
"2018-03-17",51
"2018-03-18",70
"2018-03-19",53
"2018-03-20",49
"2018-03-21",53
"2018-03-22",52
"2018-03-23",49
"2018-03-24",53
"2018-03-25",60
"2018-03-26",56
"2018-03-27",45
"2018-03-28",47
"2018-03-29",43
"2018-03-30",41
"2018-03-31",48
"2018-04-01",66
"2018-04-02",54
"2018-04-03",53
"2018-04-04",52
"2018-04-05",57
"2018-04-06",52
"2018-04-07",61
"2018-04-08",70
"2018-04-09",59
"2018-04-10",53
"2018-04-11",51
"2018-04-12",45
"2018-04-13",47
"2018-04-14",58
"2018-04-15",65
"2018-04-16",59
"2018-04-17",56
"2018-04-18",53
"2018-04-19",54
