네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","갤럭시s8플러스케이스"
"2017-08-01",58
"2017-08-02",59
"2017-08-03",57
"2017-08-04",50
"2017-08-05",51
"2017-08-06",64
"2017-08-07",63
"2017-08-08",59
"2017-08-09",62
"2017-08-10",68
"2017-08-11",56
"2017-08-12",51
"2017-08-13",67
"2017-08-14",61
"2017-08-15",68
"2017-08-16",74
"2017-08-17",63
"2017-08-18",67
"2017-08-19",55
"2017-08-20",75
"2017-08-21",69
"2017-08-22",68
"2017-08-23",60
"2017-08-24",67
"2017-08-25",45
"2017-08-26",45
"2017-08-27",51
"2017-08-28",61
"2017-08-29",65
"2017-08-30",61
"2017-08-31",57
"2017-09-01",46
"2017-09-02",41
"2017-09-03",54
"2017-09-04",56
"2017-09-05",54
"2017-09-06",53
"2017-09-07",54
"2017-09-08",45
"2017-09-09",43
"2017-09-10",60
"2017-09-11",62
"2017-09-12",64
"2017-09-13",58
"2017-09-14",54
"2017-09-15",47
"2017-09-16",48
"2017-09-17",57
"2017-09-18",64
"2017-09-19",68
"2017-09-20",67
"2017-09-21",59
"2017-09-22",51
"2017-09-23",48
"2017-09-24",61
"2017-09-25",62
"2017-09-26",75
"2017-09-27",70
"2017-09-28",56
"2017-09-29",42
"2017-09-30",43
"2017-10-01",53
"2017-10-02",50
"2017-10-03",47
"2017-10-04",55
"2017-10-05",47
"2017-10-06",61
"2017-10-07",55
"2017-10-08",63
"2017-10-09",70
"2017-10-10",74
"2017-10-11",75
"2017-10-12",66
"2017-10-13",55
"2017-10-14",53
"2017-10-15",55
"2017-10-16",71
"2017-10-17",66
"2017-10-18",65
"2017-10-19",66
"2017-10-20",52
"2017-10-21",53
"2017-10-22",63
"2017-10-23",65
"2017-10-24",65
"2017-10-25",59
"2017-10-26",55
"2017-10-27",44
"2017-10-28",53
"2017-10-29",63
"2017-10-30",58
"2017-10-31",60
"2017-11-01",68
"2017-11-02",59
"2017-11-03",48
"2017-11-04",48
"2017-11-05",61
"2017-11-06",60
"2017-11-07",66
"2017-11-08",65
"2017-11-09",55
"2017-11-10",50
"2017-11-11",53
"2017-11-12",63
"2017-11-13",71
"2017-11-14",64
"2017-11-15",51
"2017-11-16",54
"2017-11-17",50
"2017-11-18",49
"2017-11-19",59
"2017-11-20",54
"2017-11-21",52
"2017-11-22",52
"2017-11-23",63
"2017-11-24",50
"2017-11-25",56
"2017-11-26",63
"2017-11-27",72
"2017-11-28",79
"2017-11-29",82
"2017-11-30",71
"2017-12-01",70
"2017-12-02",100
"2017-12-03",85
"2017-12-04",79
"2017-12-05",71
"2017-12-06",75
"2017-12-07",71
"2017-12-08",46
"2017-12-09",50
"2017-12-10",66
"2017-12-11",73
"2017-12-12",56
"2017-12-13",58
"2017-12-14",51
"2017-12-15",52
"2017-12-16",54
"2017-12-17",59
"2017-12-18",56
"2017-12-19",55
"2017-12-20",56
"2017-12-21",52
"2017-12-22",37
"2017-12-23",41
"2017-12-24",42
"2017-12-25",57
"2017-12-26",60
"2017-12-27",51
"2017-12-28",52
"2017-12-29",40
"2017-12-30",50
"2017-12-31",48
"2018-01-01",55
"2018-01-02",70
"2018-01-03",55
"2018-01-04",59
"2018-01-05",49
"2018-01-06",61
"2018-01-07",81
"2018-01-08",67
"2018-01-09",63
"2018-01-10",59
"2018-01-11",59
"2018-01-12",50
"2018-01-13",54
"2018-01-14",69
"2018-01-15",56
"2018-01-16",54
"2018-01-17",53
"2018-01-18",54
"2018-01-19",43
"2018-01-20",50
"2018-01-21",70
"2018-01-22",55
"2018-01-23",66
"2018-01-24",53
"2018-01-25",48
"2018-01-26",44
"2018-01-27",43
"2018-01-28",65
"2018-01-29",49
"2018-01-30",54
"2018-01-31",50
"2018-02-01",53
"2018-02-02",40
"2018-02-03",45
"2018-02-04",52
"2018-02-05",54
"2018-02-06",48
"2018-02-07",52
"2018-02-08",52
"2018-02-09",43
"2018-02-10",41
"2018-02-11",59
"2018-02-12",41
"2018-02-13",38
"2018-02-14",30
"2018-02-15",37
"2018-02-16",37
"2018-02-17",39
"2018-02-18",57
"2018-02-19",55
"2018-02-20",50
"2018-02-21",48
"2018-02-22",50
"2018-02-23",44
"2018-02-24",38
"2018-02-25",49
"2018-02-26",47
"2018-02-27",51
"2018-02-28",47
"2018-03-01",48
"2018-03-02",42
"2018-03-03",49
"2018-03-04",63
"2018-03-05",48
"2018-03-06",47
"2018-03-07",49
"2018-03-08",48
"2018-03-09",43
"2018-03-10",45
"2018-03-11",55
"2018-03-12",51
"2018-03-13",45
"2018-03-14",45
"2018-03-15",47
"2018-03-16",37
"2018-03-17",45
"2018-03-18",47
"2018-03-19",47
"2018-03-20",45
"2018-03-21",51
"2018-03-22",44
"2018-03-23",33
"2018-03-24",37
"2018-03-25",41
"2018-03-26",38
"2018-03-27",43
"2018-03-28",43
"2018-03-29",38
"2018-03-30",32
"2018-03-31",33
"2018-04-01",43
"2018-04-02",49
"2018-04-03",45
"2018-04-04",51
"2018-04-05",46
"2018-04-06",42
"2018-04-07",50
"2018-04-08",54
"2018-04-09",48
"2018-04-10",53
"2018-04-11",48
"2018-04-12",44
"2018-04-13",38
"2018-04-14",47
"2018-04-15",53
"2018-04-16",47
"2018-04-17",44
"2018-04-18",43
"2018-04-19",37
