네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","식기세척기"
"2017-08-01",18
"2017-08-02",22
"2017-08-03",18
"2017-08-04",18
"2017-08-05",16
"2017-08-06",29
"2017-08-07",25
"2017-08-08",24
"2017-08-09",23
"2017-08-10",21
"2017-08-11",19
"2017-08-12",21
"2017-08-13",30
"2017-08-14",27
"2017-08-15",30
"2017-08-16",29
"2017-08-17",25
"2017-08-18",26
"2017-08-19",27
"2017-08-20",32
"2017-08-21",30
"2017-08-22",27
"2017-08-23",24
"2017-08-24",22
"2017-08-25",20
"2017-08-26",21
"2017-08-27",31
"2017-08-28",23
"2017-08-29",25
"2017-08-30",19
"2017-08-31",20
"2017-09-01",21
"2017-09-02",20
"2017-09-03",27
"2017-09-04",23
"2017-09-05",24
"2017-09-06",24
"2017-09-07",22
"2017-09-08",19
"2017-09-09",23
"2017-09-10",27
"2017-09-11",32
"2017-09-12",26
"2017-09-13",23
"2017-09-14",20
"2017-09-15",18
"2017-09-16",27
"2017-09-17",24
"2017-09-18",22
"2017-09-19",23
"2017-09-20",32
"2017-09-21",21
"2017-09-22",21
"2017-09-23",24
"2017-09-24",32
"2017-09-25",35
"2017-09-26",39
"2017-09-27",45
"2017-09-28",38
"2017-09-29",31
"2017-09-30",41
"2017-10-01",40
"2017-10-02",35
"2017-10-03",27
"2017-10-04",34
"2017-10-05",39
"2017-10-06",42
"2017-10-07",44
"2017-10-08",51
"2017-10-09",60
"2017-10-10",47
"2017-10-11",42
"2017-10-12",40
"2017-10-13",34
"2017-10-14",38
"2017-10-15",42
"2017-10-16",45
"2017-10-17",40
"2017-10-18",42
"2017-10-19",35
"2017-10-20",35
"2017-10-21",46
"2017-10-22",51
"2017-10-23",49
"2017-10-24",40
"2017-10-25",35
"2017-10-26",37
"2017-10-27",35
"2017-10-28",42
"2017-10-29",44
"2017-10-30",43
"2017-10-31",40
"2017-11-01",40
"2017-11-02",35
"2017-11-03",39
"2017-11-04",44
"2017-11-05",61
"2017-11-06",56
"2017-11-07",43
"2017-11-08",46
"2017-11-09",40
"2017-11-10",35
"2017-11-11",46
"2017-11-12",57
"2017-11-13",44
"2017-11-14",42
"2017-11-15",37
"2017-11-16",39
"2017-11-17",32
"2017-11-18",38
"2017-11-19",52
"2017-11-20",44
"2017-11-21",37
"2017-11-22",47
"2017-11-23",38
"2017-11-24",33
"2017-11-25",35
"2017-11-26",52
"2017-11-27",40
"2017-11-28",42
"2017-11-29",37
"2017-11-30",36
"2017-12-01",31
"2017-12-02",41
"2017-12-03",51
"2017-12-04",41
"2017-12-05",45
"2017-12-06",43
"2017-12-07",40
"2017-12-08",32
"2017-12-09",41
"2017-12-10",56
"2017-12-11",45
"2017-12-12",40
"2017-12-13",39
"2017-12-14",34
"2017-12-15",37
"2017-12-16",40
"2017-12-17",52
"2017-12-18",37
"2017-12-19",38
"2017-12-20",33
"2017-12-21",35
"2017-12-22",35
"2017-12-23",39
"2017-12-24",47
"2017-12-25",52
"2017-12-26",44
"2017-12-27",43
"2017-12-28",38
"2017-12-29",37
"2017-12-30",50
"2017-12-31",48
"2018-01-01",64
"2018-01-02",56
"2018-01-03",55
"2018-01-04",46
"2018-01-05",40
"2018-01-06",47
"2018-01-07",61
"2018-01-08",52
"2018-01-09",47
"2018-01-10",47
"2018-01-11",45
"2018-01-12",39
"2018-01-13",53
"2018-01-14",59
"2018-01-15",52
"2018-01-16",49
"2018-01-17",48
"2018-01-18",51
"2018-01-19",44
"2018-01-20",58
"2018-01-21",70
"2018-01-22",58
"2018-01-23",49
"2018-01-24",47
"2018-01-25",45
"2018-01-26",42
"2018-01-27",52
"2018-01-28",73
"2018-01-29",70
"2018-01-30",65
"2018-01-31",50
"2018-02-01",50
"2018-02-02",49
"2018-02-03",59
"2018-02-04",76
"2018-02-05",65
"2018-02-06",57
"2018-02-07",55
"2018-02-08",50
"2018-02-09",49
"2018-02-10",54
"2018-02-11",69
"2018-02-12",53
"2018-02-13",42
"2018-02-14",46
"2018-02-15",44
"2018-02-16",44
"2018-02-17",58
"2018-02-18",100
"2018-02-19",84
"2018-02-20",53
"2018-02-21",48
"2018-02-22",49
"2018-02-23",41
"2018-02-24",48
"2018-02-25",61
"2018-02-26",52
"2018-02-27",49
"2018-02-28",50
"2018-03-01",61
"2018-03-02",48
"2018-03-03",53
"2018-03-04",65
"2018-03-05",55
"2018-03-06",48
"2018-03-07",50
"2018-03-08",47
"2018-03-09",43
"2018-03-10",53
"2018-03-11",61
"2018-03-12",49
"2018-03-13",53
"2018-03-14",41
"2018-03-15",41
"2018-03-16",38
"2018-03-17",52
"2018-03-18",73
"2018-03-19",74
"2018-03-20",55
"2018-03-21",54
"2018-03-22",43
"2018-03-23",39
"2018-03-24",48
"2018-03-25",63
"2018-03-26",53
"2018-03-27",45
"2018-03-28",47
"2018-03-29",41
"2018-03-30",40
"2018-03-31",50
"2018-04-01",52
"2018-04-02",51
"2018-04-03",49
"2018-04-04",49
"2018-04-05",50
"2018-04-06",46
"2018-04-07",49
"2018-04-08",57
"2018-04-09",50
"2018-04-10",44
"2018-04-11",53
"2018-04-12",45
"2018-04-13",38
"2018-04-14",56
"2018-04-15",66
"2018-04-16",58
"2018-04-17",48
"2018-04-18",40
"2018-04-19",51
