네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","무선이어폰"
"2017-08-01",36
"2017-08-02",37
"2017-08-03",34
"2017-08-04",27
"2017-08-05",26
"2017-08-06",31
"2017-08-07",36
"2017-08-08",36
"2017-08-09",33
"2017-08-10",35
"2017-08-11",29
"2017-08-12",23
"2017-08-13",33
"2017-08-14",36
"2017-08-15",44
"2017-08-16",31
"2017-08-17",37
"2017-08-18",36
"2017-08-19",32
"2017-08-20",34
"2017-08-21",37
"2017-08-22",33
"2017-08-23",37
"2017-08-24",33
"2017-08-25",34
"2017-08-26",31
"2017-08-27",29
"2017-08-28",36
"2017-08-29",43
"2017-08-30",45
"2017-08-31",38
"2017-09-01",39
"2017-09-02",40
"2017-09-03",38
"2017-09-04",43
"2017-09-05",45
"2017-09-06",48
"2017-09-07",50
"2017-09-08",37
"2017-09-09",34
"2017-09-10",48
"2017-09-11",43
"2017-09-12",52
"2017-09-13",44
"2017-09-14",48
"2017-09-15",36
"2017-09-16",40
"2017-09-17",50
"2017-09-18",51
"2017-09-19",50
"2017-09-20",42
"2017-09-21",52
"2017-09-22",42
"2017-09-23",48
"2017-09-24",44
"2017-09-25",46
"2017-09-26",53
"2017-09-27",48
"2017-09-28",45
"2017-09-29",36
"2017-09-30",36
"2017-10-01",36
"2017-10-02",29
"2017-10-03",27
"2017-10-04",31
"2017-10-05",26
"2017-10-06",31
"2017-10-07",44
"2017-10-08",40
"2017-10-09",40
"2017-10-10",49
"2017-10-11",54
"2017-10-12",44
"2017-10-13",37
"2017-10-14",41
"2017-10-15",51
"2017-10-16",54
"2017-10-17",44
"2017-10-18",47
"2017-10-19",46
"2017-10-20",38
"2017-10-21",37
"2017-10-22",37
"2017-10-23",49
"2017-10-24",48
"2017-10-25",48
"2017-10-26",47
"2017-10-27",38
"2017-10-28",39
"2017-10-29",51
"2017-10-30",44
"2017-10-31",43
"2017-11-01",48
"2017-11-02",45
"2017-11-03",36
"2017-11-04",39
"2017-11-05",48
"2017-11-06",54
"2017-11-07",48
"2017-11-08",49
"2017-11-09",47
"2017-11-10",36
"2017-11-11",47
"2017-11-12",52
"2017-11-13",54
"2017-11-14",53
"2017-11-15",46
"2017-11-16",53
"2017-11-17",41
"2017-11-18",36
"2017-11-19",44
"2017-11-20",44
"2017-11-21",51
"2017-11-22",51
"2017-11-23",44
"2017-11-24",36
"2017-11-25",44
"2017-11-26",42
"2017-11-27",57
"2017-11-28",52
"2017-11-29",47
"2017-11-30",44
"2017-12-01",40
"2017-12-02",37
"2017-12-03",50
"2017-12-04",56
"2017-12-05",69
"2017-12-06",52
"2017-12-07",51
"2017-12-08",46
"2017-12-09",50
"2017-12-10",61
"2017-12-11",55
"2017-12-12",67
"2017-12-13",54
"2017-12-14",54
"2017-12-15",43
"2017-12-16",78
"2017-12-17",82
"2017-12-18",68
"2017-12-19",62
"2017-12-20",74
"2017-12-21",57
"2017-12-22",50
"2017-12-23",64
"2017-12-24",64
"2017-12-25",77
"2017-12-26",61
"2017-12-27",59
"2017-12-28",59
"2017-12-29",40
"2017-12-30",49
"2017-12-31",46
"2018-01-01",61
"2018-01-02",63
"2018-01-03",62
"2018-01-04",59
"2018-01-05",55
"2018-01-06",56
"2018-01-07",59
"2018-01-08",62
"2018-01-09",62
"2018-01-10",60
"2018-01-11",56
"2018-01-12",55
"2018-01-13",50
"2018-01-14",59
"2018-01-15",62
"2018-01-16",67
"2018-01-17",63
"2018-01-18",66
"2018-01-19",52
"2018-01-20",56
"2018-01-21",59
"2018-01-22",62
"2018-01-23",68
"2018-01-24",65
"2018-01-25",62
"2018-01-26",54
"2018-01-27",53
"2018-01-28",56
"2018-01-29",64
"2018-01-30",68
"2018-01-31",69
"2018-02-01",67
"2018-02-02",62
"2018-02-03",65
"2018-02-04",68
"2018-02-05",71
"2018-02-06",64
"2018-02-07",58
"2018-02-08",77
"2018-02-09",76
"2018-02-10",65
"2018-02-11",65
"2018-02-12",57
"2018-02-13",56
"2018-02-14",55
"2018-02-15",62
"2018-02-16",60
"2018-02-17",70
"2018-02-18",79
"2018-02-19",82
"2018-02-20",88
"2018-02-21",96
"2018-02-22",87
"2018-02-23",93
"2018-02-24",72
"2018-02-25",83
"2018-02-26",81
"2018-02-27",77
"2018-02-28",85
"2018-03-01",76
"2018-03-02",69
"2018-03-03",57
"2018-03-04",78
"2018-03-05",69
"2018-03-06",82
"2018-03-07",86
"2018-03-08",80
"2018-03-09",63
"2018-03-10",73
"2018-03-11",74
"2018-03-12",97
"2018-03-13",100
"2018-03-14",83
"2018-03-15",79
"2018-03-16",73
"2018-03-17",70
"2018-03-18",94
"2018-03-19",77
"2018-03-20",86
"2018-03-21",82
"2018-03-22",79
"2018-03-23",81
"2018-03-24",80
"2018-03-25",88
"2018-03-26",87
"2018-03-27",74
"2018-03-28",82
"2018-03-29",79
"2018-03-30",67
"2018-03-31",65
"2018-04-01",77
"2018-04-02",74
"2018-04-03",79
"2018-04-04",88
"2018-04-05",89
"2018-04-06",74
"2018-04-07",74
"2018-04-08",86
"2018-04-09",80
"2018-04-10",86
"2018-04-11",81
"2018-04-12",83
"2018-04-13",74
"2018-04-14",70
"2018-04-15",77
"2018-04-16",81
"2018-04-17",91
"2018-04-18",92
"2018-04-19",79
