네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","하이패스단말기"
"2017-08-01",46
"2017-08-02",59
"2017-08-03",55
"2017-08-04",42
"2017-08-05",34
"2017-08-06",44
"2017-08-07",61
"2017-08-08",57
"2017-08-09",48
"2017-08-10",46
"2017-08-11",36
"2017-08-12",34
"2017-08-13",48
"2017-08-14",55
"2017-08-15",49
"2017-08-16",46
"2017-08-17",46
"2017-08-18",43
"2017-08-19",41
"2017-08-20",45
"2017-08-21",50
"2017-08-22",46
"2017-08-23",47
"2017-08-24",40
"2017-08-25",37
"2017-08-26",38
"2017-08-27",46
"2017-08-28",43
"2017-08-29",50
"2017-08-30",49
"2017-08-31",41
"2017-09-01",34
"2017-09-02",36
"2017-09-03",50
"2017-09-04",55
"2017-09-05",48
"2017-09-06",41
"2017-09-07",44
"2017-09-08",39
"2017-09-09",29
"2017-09-10",45
"2017-09-11",47
"2017-09-12",52
"2017-09-13",49
"2017-09-14",44
"2017-09-15",42
"2017-09-16",40
"2017-09-17",46
"2017-09-18",55
"2017-09-19",65
"2017-09-20",45
"2017-09-21",52
"2017-09-22",39
"2017-09-23",37
"2017-09-24",45
"2017-09-25",70
"2017-09-26",70
"2017-09-27",66
"2017-09-28",55
"2017-09-29",45
"2017-09-30",40
"2017-10-01",44
"2017-10-02",56
"2017-10-03",45
"2017-10-04",38
"2017-10-05",47
"2017-10-06",50
"2017-10-07",44
"2017-10-08",51
"2017-10-09",59
"2017-10-10",69
"2017-10-11",65
"2017-10-12",60
"2017-10-13",43
"2017-10-14",40
"2017-10-15",54
"2017-10-16",70
"2017-10-17",70
"2017-10-18",63
"2017-10-19",59
"2017-10-20",49
"2017-10-21",41
"2017-10-22",65
"2017-10-23",84
"2017-10-24",73
"2017-10-25",71
"2017-10-26",72
"2017-10-27",61
"2017-10-28",48
"2017-10-29",55
"2017-10-30",62
"2017-10-31",62
"2017-11-01",68
"2017-11-02",66
"2017-11-03",51
"2017-11-04",49
"2017-11-05",61
"2017-11-06",75
"2017-11-07",68
"2017-11-08",69
"2017-11-09",56
"2017-11-10",51
"2017-11-11",46
"2017-11-12",70
"2017-11-13",78
"2017-11-14",64
"2017-11-15",69
"2017-11-16",58
"2017-11-17",57
"2017-11-18",45
"2017-11-19",48
"2017-11-20",67
"2017-11-21",58
"2017-11-22",58
"2017-11-23",51
"2017-11-24",43
"2017-11-25",46
"2017-11-26",53
"2017-11-27",62
"2017-11-28",55
"2017-11-29",59
"2017-11-30",46
"2017-12-01",55
"2017-12-02",54
"2017-12-03",55
"2017-12-04",58
"2017-12-05",52
"2017-12-06",57
"2017-12-07",47
"2017-12-08",43
"2017-12-09",41
"2017-12-10",55
"2017-12-11",69
"2017-12-12",58
"2017-12-13",57
"2017-12-14",43
"2017-12-15",46
"2017-12-16",46
"2017-12-17",59
"2017-12-18",58
"2017-12-19",53
"2017-12-20",48
"2017-12-21",45
"2017-12-22",36
"2017-12-23",36
"2017-12-24",41
"2017-12-25",50
"2017-12-26",68
"2017-12-27",64
"2017-12-28",51
"2017-12-29",47
"2017-12-30",35
"2017-12-31",45
"2018-01-01",59
"2018-01-02",73
"2018-01-03",76
"2018-01-04",72
"2018-01-05",59
"2018-01-06",49
"2018-01-07",60
"2018-01-08",69
"2018-01-09",70
"2018-01-10",59
"2018-01-11",59
"2018-01-12",53
"2018-01-13",45
"2018-01-14",53
"2018-01-15",58
"2018-01-16",52
"2018-01-17",48
"2018-01-18",54
"2018-01-19",41
"2018-01-20",46
"2018-01-21",54
"2018-01-22",58
"2018-01-23",54
"2018-01-24",52
"2018-01-25",51
"2018-01-26",46
"2018-01-27",42
"2018-01-28",51
"2018-01-29",68
"2018-01-30",63
"2018-01-31",48
"2018-02-01",57
"2018-02-02",50
"2018-02-03",58
"2018-02-04",56
"2018-02-05",65
"2018-02-06",70
"2018-02-07",77
"2018-02-08",65
"2018-02-09",45
"2018-02-10",51
"2018-02-11",58
"2018-02-12",54
"2018-02-13",52
"2018-02-14",50
"2018-02-15",36
"2018-02-16",45
"2018-02-17",43
"2018-02-18",48
"2018-02-19",68
"2018-02-20",63
"2018-02-21",57
"2018-02-22",65
"2018-02-23",53
"2018-02-24",42
"2018-02-25",50
"2018-02-26",70
"2018-02-27",70
"2018-02-28",60
"2018-03-01",61
"2018-03-02",70
"2018-03-03",60
"2018-03-04",68
"2018-03-05",86
"2018-03-06",71
"2018-03-07",92
"2018-03-08",77
"2018-03-09",58
"2018-03-10",51
"2018-03-11",65
"2018-03-12",71
"2018-03-13",70
"2018-03-14",61
"2018-03-15",56
"2018-03-16",48
"2018-03-17",55
"2018-03-18",62
"2018-03-19",64
"2018-03-20",68
"2018-03-21",100
"2018-03-22",69
"2018-03-23",60
"2018-03-24",62
"2018-03-25",71
"2018-03-26",80
"2018-03-27",70
"2018-03-28",65
"2018-03-29",66
"2018-03-30",48
"2018-03-31",45
"2018-04-01",58
"2018-04-02",68
"2018-04-03",73
"2018-04-04",70
"2018-04-05",65
"2018-04-06",60
"2018-04-07",50
"2018-04-08",61
"2018-04-09",68
"2018-04-10",60
"2018-04-11",65
"2018-04-12",66
"2018-04-13",57
"2018-04-14",58
"2018-04-15",65
"2018-04-16",70
"2018-04-17",65
"2018-04-18",60
"2018-04-19",57
