네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","블루투스스피커"
"2017-08-01",59
"2017-08-02",53
"2017-08-03",55
"2017-08-04",44
"2017-08-05",50
"2017-08-06",70
"2017-08-07",71
"2017-08-08",69
"2017-08-09",61
"2017-08-10",56
"2017-08-11",52
"2017-08-12",55
"2017-08-13",68
"2017-08-14",65
"2017-08-15",77
"2017-08-16",60
"2017-08-17",59
"2017-08-18",55
"2017-08-19",54
"2017-08-20",77
"2017-08-21",68
"2017-08-22",62
"2017-08-23",60
"2017-08-24",56
"2017-08-25",46
"2017-08-26",57
"2017-08-27",65
"2017-08-28",60
"2017-08-29",62
"2017-08-30",59
"2017-08-31",51
"2017-09-01",50
"2017-09-02",58
"2017-09-03",75
"2017-09-04",68
"2017-09-05",65
"2017-09-06",58
"2017-09-07",56
"2017-09-08",49
"2017-09-09",54
"2017-09-10",74
"2017-09-11",67
"2017-09-12",61
"2017-09-13",55
"2017-09-14",57
"2017-09-15",50
"2017-09-16",52
"2017-09-17",69
"2017-09-18",74
"2017-09-19",64
"2017-09-20",59
"2017-09-21",53
"2017-09-22",46
"2017-09-23",50
"2017-09-24",60
"2017-09-25",69
"2017-09-26",70
"2017-09-27",68
"2017-09-28",55
"2017-09-29",47
"2017-09-30",55
"2017-10-01",70
"2017-10-02",64
"2017-10-03",61
"2017-10-04",60
"2017-10-05",65
"2017-10-06",72
"2017-10-07",75
"2017-10-08",72
"2017-10-09",85
"2017-10-10",76
"2017-10-11",73
"2017-10-12",74
"2017-10-13",62
"2017-10-14",61
"2017-10-15",70
"2017-10-16",67
"2017-10-17",70
"2017-10-18",66
"2017-10-19",62
"2017-10-20",54
"2017-10-21",61
"2017-10-22",74
"2017-10-23",70
"2017-10-24",79
"2017-10-25",72
"2017-10-26",70
"2017-10-27",76
"2017-10-28",65
"2017-10-29",78
"2017-10-30",71
"2017-10-31",63
"2017-11-01",67
"2017-11-02",68
"2017-11-03",56
"2017-11-04",66
"2017-11-05",72
"2017-11-06",71
"2017-11-07",85
"2017-11-08",62
"2017-11-09",57
"2017-11-10",52
"2017-11-11",57
"2017-11-12",71
"2017-11-13",67
"2017-11-14",63
"2017-11-15",52
"2017-11-16",54
"2017-11-17",58
"2017-11-18",64
"2017-11-19",80
"2017-11-20",65
"2017-11-21",69
"2017-11-22",69
"2017-11-23",61
"2017-11-24",54
"2017-11-25",67
"2017-11-26",76
"2017-11-27",69
"2017-11-28",67
"2017-11-29",69
"2017-11-30",67
"2017-12-01",61
"2017-12-02",78
"2017-12-03",100
"2017-12-04",79
"2017-12-05",72
"2017-12-06",68
"2017-12-07",67
"2017-12-08",60
"2017-12-09",67
"2017-12-10",86
"2017-12-11",71
"2017-12-12",78
"2017-12-13",74
"2017-12-14",67
"2017-12-15",57
"2017-12-16",64
"2017-12-17",87
"2017-12-18",80
"2017-12-19",77
"2017-12-20",85
"2017-12-21",71
"2017-12-22",61
"2017-12-23",73
"2017-12-24",86
"2017-12-25",89
"2017-12-26",75
"2017-12-27",66
"2017-12-28",68
"2017-12-29",56
"2017-12-30",64
"2017-12-31",72
"2018-01-01",85
"2018-01-02",79
"2018-01-03",71
"2018-01-04",68
"2018-01-05",63
"2018-01-06",62
"2018-01-07",72
"2018-01-08",68
"2018-01-09",76
"2018-01-10",65
"2018-01-11",61
"2018-01-12",54
"2018-01-13",64
"2018-01-14",73
"2018-01-15",71
"2018-01-16",69
"2018-01-17",66
"2018-01-18",56
"2018-01-19",61
"2018-01-20",67
"2018-01-21",78
"2018-01-22",76
"2018-01-23",72
"2018-01-24",68
"2018-01-25",64
"2018-01-26",56
"2018-01-27",67
"2018-01-28",78
"2018-01-29",67
"2018-01-30",64
"2018-01-31",66
"2018-02-01",65
"2018-02-02",58
"2018-02-03",66
"2018-02-04",85
"2018-02-05",84
"2018-02-06",71
"2018-02-07",71
"2018-02-08",67
"2018-02-09",60
"2018-02-10",59
"2018-02-11",79
"2018-02-12",61
"2018-02-13",58
"2018-02-14",54
"2018-02-15",66
"2018-02-16",66
"2018-02-17",73
"2018-02-18",84
"2018-02-19",85
"2018-02-20",75
"2018-02-21",69
"2018-02-22",66
"2018-02-23",68
"2018-02-24",73
"2018-02-25",87
"2018-02-26",74
"2018-02-27",78
"2018-02-28",73
"2018-03-01",86
"2018-03-02",73
"2018-03-03",78
"2018-03-04",97
"2018-03-05",80
"2018-03-06",70
"2018-03-07",68
"2018-03-08",72
"2018-03-09",58
"2018-03-10",72
"2018-03-11",88
"2018-03-12",74
"2018-03-13",76
"2018-03-14",69
"2018-03-15",74
"2018-03-16",62
"2018-03-17",67
"2018-03-18",87
"2018-03-19",81
"2018-03-20",79
"2018-03-21",75
"2018-03-22",66
"2018-03-23",59
"2018-03-24",70
"2018-03-25",82
"2018-03-26",76
"2018-03-27",67
"2018-03-28",64
"2018-03-29",64
"2018-03-30",56
"2018-03-31",62
"2018-04-01",76
"2018-04-02",70
"2018-04-03",65
"2018-04-04",63
"2018-04-05",68
"2018-04-06",64
"2018-04-07",67
"2018-04-08",83
"2018-04-09",69
"2018-04-10",68
"2018-04-11",63
"2018-04-12",64
"2018-04-13",59
"2018-04-14",83
"2018-04-15",93
"2018-04-16",74
"2018-04-17",72
"2018-04-18",68
"2018-04-19",64
