네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","모니터받침대"
"2017-08-01",35
"2017-08-02",43
"2017-08-03",38
"2017-08-04",32
"2017-08-05",26
"2017-08-06",25
"2017-08-07",39
"2017-08-08",35
"2017-08-09",46
"2017-08-10",42
"2017-08-11",43
"2017-08-12",27
"2017-08-13",28
"2017-08-14",42
"2017-08-15",34
"2017-08-16",41
"2017-08-17",44
"2017-08-18",41
"2017-08-19",26
"2017-08-20",32
"2017-08-21",41
"2017-08-22",48
"2017-08-23",42
"2017-08-24",44
"2017-08-25",42
"2017-08-26",27
"2017-08-27",29
"2017-08-28",41
"2017-08-29",45
"2017-08-30",45
"2017-08-31",43
"2017-09-01",43
"2017-09-02",29
"2017-09-03",34
"2017-09-04",44
"2017-09-05",47
"2017-09-06",48
"2017-09-07",49
"2017-09-08",40
"2017-09-09",30
"2017-09-10",31
"2017-09-11",43
"2017-09-12",44
"2017-09-13",42
"2017-09-14",37
"2017-09-15",35
"2017-09-16",25
"2017-09-17",32
"2017-09-18",44
"2017-09-19",42
"2017-09-20",36
"2017-09-21",41
"2017-09-22",34
"2017-09-23",25
"2017-09-24",29
"2017-09-25",34
"2017-09-26",44
"2017-09-27",36
"2017-09-28",30
"2017-09-29",25
"2017-09-30",27
"2017-10-01",21
"2017-10-02",20
"2017-10-03",13
"2017-10-04",16
"2017-10-05",25
"2017-10-06",22
"2017-10-07",25
"2017-10-08",32
"2017-10-09",43
"2017-10-10",48
"2017-10-11",50
"2017-10-12",46
"2017-10-13",40
"2017-10-14",34
"2017-10-15",40
"2017-10-16",53
"2017-10-17",51
"2017-10-18",55
"2017-10-19",39
"2017-10-20",40
"2017-10-21",30
"2017-10-22",36
"2017-10-23",47
"2017-10-24",43
"2017-10-25",57
"2017-10-26",52
"2017-10-27",46
"2017-10-28",38
"2017-10-29",43
"2017-10-30",52
"2017-10-31",64
"2017-11-01",62
"2017-11-02",63
"2017-11-03",52
"2017-11-04",40
"2017-11-05",45
"2017-11-06",61
"2017-11-07",56
"2017-11-08",57
"2017-11-09",59
"2017-11-10",47
"2017-11-11",38
"2017-11-12",40
"2017-11-13",57
"2017-11-14",51
"2017-11-15",54
"2017-11-16",57
"2017-11-17",50
"2017-11-18",37
"2017-11-19",47
"2017-11-20",62
"2017-11-21",55
"2017-11-22",59
"2017-11-23",57
"2017-11-24",52
"2017-11-25",41
"2017-11-26",52
"2017-11-27",57
"2017-11-28",51
"2017-11-29",67
"2017-11-30",59
"2017-12-01",59
"2017-12-02",41
"2017-12-03",49
"2017-12-04",62
"2017-12-05",61
"2017-12-06",64
"2017-12-07",55
"2017-12-08",46
"2017-12-09",36
"2017-12-10",38
"2017-12-11",56
"2017-12-12",59
"2017-12-13",59
"2017-12-14",45
"2017-12-15",40
"2017-12-16",28
"2017-12-17",34
"2017-12-18",45
"2017-12-19",46
"2017-12-20",49
"2017-12-21",44
"2017-12-22",36
"2017-12-23",28
"2017-12-24",29
"2017-12-25",31
"2017-12-26",54
"2017-12-27",52
"2017-12-28",53
"2017-12-29",52
"2017-12-30",40
"2017-12-31",40
"2018-01-01",49
"2018-01-02",66
"2018-01-03",72
"2018-01-04",68
"2018-01-05",58
"2018-01-06",38
"2018-01-07",47
"2018-01-08",65
"2018-01-09",59
"2018-01-10",63
"2018-01-11",68
"2018-01-12",58
"2018-01-13",46
"2018-01-14",46
"2018-01-15",66
"2018-01-16",59
"2018-01-17",67
"2018-01-18",61
"2018-01-19",52
"2018-01-20",49
"2018-01-21",57
"2018-01-22",66
"2018-01-23",67
"2018-01-24",72
"2018-01-25",68
"2018-01-26",62
"2018-01-27",54
"2018-01-28",62
"2018-01-29",70
"2018-01-30",69
"2018-01-31",69
"2018-02-01",72
"2018-02-02",59
"2018-02-03",50
"2018-02-04",62
"2018-02-05",82
"2018-02-06",72
"2018-02-07",71
"2018-02-08",64
"2018-02-09",52
"2018-02-10",48
"2018-02-11",50
"2018-02-12",57
"2018-02-13",49
"2018-02-14",45
"2018-02-15",32
"2018-02-16",31
"2018-02-17",39
"2018-02-18",52
"2018-02-19",70
"2018-02-20",66
"2018-02-21",79
"2018-02-22",80
"2018-02-23",73
"2018-02-24",56
"2018-02-25",66
"2018-02-26",89
"2018-02-27",100
"2018-02-28",88
"2018-03-01",70
"2018-03-02",72
"2018-03-03",60
"2018-03-04",65
"2018-03-05",78
"2018-03-06",67
"2018-03-07",70
"2018-03-08",73
"2018-03-09",65
"2018-03-10",51
"2018-03-11",57
"2018-03-12",73
"2018-03-13",65
"2018-03-14",64
"2018-03-15",60
"2018-03-16",56
"2018-03-17",43
"2018-03-18",44
"2018-03-19",61
"2018-03-20",65
"2018-03-21",61
"2018-03-22",60
"2018-03-23",45
"2018-03-24",37
"2018-03-25",47
"2018-03-26",60
"2018-03-27",62
"2018-03-28",51
"2018-03-29",52
"2018-03-30",45
"2018-03-31",33
"2018-04-01",36
"2018-04-02",53
"2018-04-03",57
"2018-04-04",54
"2018-04-05",58
"2018-04-06",51
"2018-04-07",41
"2018-04-08",38
"2018-04-09",55
"2018-04-10",58
"2018-04-11",59
"2018-04-12",59
"2018-04-13",46
"2018-04-14",41
"2018-04-15",45
"2018-04-16",59
"2018-04-17",57
"2018-04-18",51
"2018-04-19",51
