네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","삼성냉장고"
"2017-08-01",59
"2017-08-02",59
"2017-08-03",56
"2017-08-04",46
"2017-08-05",64
"2017-08-06",71
"2017-08-07",69
"2017-08-08",58
"2017-08-09",52
"2017-08-10",49
"2017-08-11",43
"2017-08-12",62
"2017-08-13",67
"2017-08-14",61
"2017-08-15",70
"2017-08-16",57
"2017-08-17",44
"2017-08-18",40
"2017-08-19",58
"2017-08-20",63
"2017-08-21",64
"2017-08-22",55
"2017-08-23",49
"2017-08-24",54
"2017-08-25",48
"2017-08-26",57
"2017-08-27",66
"2017-08-28",48
"2017-08-29",44
"2017-08-30",40
"2017-08-31",39
"2017-09-01",33
"2017-09-02",43
"2017-09-03",49
"2017-09-04",41
"2017-09-05",48
"2017-09-06",43
"2017-09-07",35
"2017-09-08",35
"2017-09-09",42
"2017-09-10",55
"2017-09-11",44
"2017-09-12",41
"2017-09-13",36
"2017-09-14",30
"2017-09-15",32
"2017-09-16",34
"2017-09-17",44
"2017-09-18",41
"2017-09-19",35
"2017-09-20",31
"2017-09-21",33
"2017-09-22",29
"2017-09-23",36
"2017-09-24",42
"2017-09-25",50
"2017-09-26",55
"2017-09-27",53
"2017-09-28",51
"2017-09-29",41
"2017-09-30",54
"2017-10-01",63
"2017-10-02",59
"2017-10-03",59
"2017-10-04",64
"2017-10-05",78
"2017-10-06",91
"2017-10-07",91
"2017-10-08",100
"2017-10-09",87
"2017-10-10",83
"2017-10-11",66
"2017-10-12",58
"2017-10-13",51
"2017-10-14",66
"2017-10-15",75
"2017-10-16",68
"2017-10-17",57
"2017-10-18",51
"2017-10-19",53
"2017-10-20",47
"2017-10-21",67
"2017-10-22",80
"2017-10-23",67
"2017-10-24",60
"2017-10-25",50
"2017-10-26",46
"2017-10-27",48
"2017-10-28",51
"2017-10-29",72
"2017-10-30",60
"2017-10-31",61
"2017-11-01",57
"2017-11-02",59
"2017-11-03",51
"2017-11-04",56
"2017-11-05",81
"2017-11-06",76
"2017-11-07",71
"2017-11-08",58
"2017-11-09",53
"2017-11-10",48
"2017-11-11",62
"2017-11-12",65
"2017-11-13",69
"2017-11-14",64
"2017-11-15",52
"2017-11-16",48
"2017-11-17",50
"2017-11-18",64
"2017-11-19",76
"2017-11-20",70
"2017-11-21",60
"2017-11-22",58
"2017-11-23",56
"2017-11-24",53
"2017-11-25",67
"2017-11-26",76
"2017-11-27",74
"2017-11-28",64
"2017-11-29",57
"2017-11-30",57
"2017-12-01",49
"2017-12-02",59
"2017-12-03",72
"2017-12-04",63
"2017-12-05",62
"2017-12-06",66
"2017-12-07",56
"2017-12-08",47
"2017-12-09",69
"2017-12-10",77
"2017-12-11",59
"2017-12-12",57
"2017-12-13",50
"2017-12-14",46
"2017-12-15",47
"2017-12-16",55
"2017-12-17",76
"2017-12-18",64
"2017-12-19",54
"2017-12-20",52
"2017-12-21",49
"2017-12-22",41
"2017-12-23",55
"2017-12-24",57
"2017-12-25",69
"2017-12-26",53
"2017-12-27",51
"2017-12-28",55
"2017-12-29",49
"2017-12-30",53
"2017-12-31",56
"2018-01-01",84
"2018-01-02",81
"2018-01-03",61
"2018-01-04",70
"2018-01-05",53
"2018-01-06",78
"2018-01-07",94
"2018-01-08",72
"2018-01-09",65
"2018-01-10",59
"2018-01-11",63
"2018-01-12",63
"2018-01-13",70
"2018-01-14",89
"2018-01-15",74
"2018-01-16",70
"2018-01-17",60
"2018-01-18",56
"2018-01-19",54
"2018-01-20",75
"2018-01-21",83
"2018-01-22",68
"2018-01-23",57
"2018-01-24",64
"2018-01-25",47
"2018-01-26",50
"2018-01-27",60
"2018-01-28",90
"2018-01-29",72
"2018-01-30",59
"2018-01-31",52
"2018-02-01",54
"2018-02-02",51
"2018-02-03",66
"2018-02-04",73
"2018-02-05",63
"2018-02-06",49
"2018-02-07",54
"2018-02-08",50
"2018-02-09",45
"2018-02-10",59
"2018-02-11",65
"2018-02-12",52
"2018-02-13",48
"2018-02-14",39
"2018-02-15",54
"2018-02-16",69
"2018-02-17",85
"2018-02-18",90
"2018-02-19",90
"2018-02-20",67
"2018-02-21",58
"2018-02-22",54
"2018-02-23",47
"2018-02-24",66
"2018-02-25",78
"2018-02-26",70
"2018-02-27",64
"2018-02-28",53
"2018-03-01",87
"2018-03-02",72
"2018-03-03",78
"2018-03-04",86
"2018-03-05",69
"2018-03-06",68
"2018-03-07",64
"2018-03-08",67
"2018-03-09",55
"2018-03-10",69
"2018-03-11",90
"2018-03-12",70
"2018-03-13",61
"2018-03-14",61
"2018-03-15",60
"2018-03-16",55
"2018-03-17",68
"2018-03-18",93
"2018-03-19",74
"2018-03-20",65
"2018-03-21",63
"2018-03-22",65
"2018-03-23",51
"2018-03-24",66
"2018-03-25",81
"2018-03-26",68
"2018-03-27",62
"2018-03-28",56
"2018-03-29",60
"2018-03-30",54
"2018-03-31",68
"2018-04-01",88
"2018-04-02",78
"2018-04-03",71
"2018-04-04",70
"2018-04-05",57
"2018-04-06",52
"2018-04-07",57
"2018-04-08",86
"2018-04-09",74
"2018-04-10",60
"2018-04-11",58
"2018-04-12",58
"2018-04-13",47
"2018-04-14",67
"2018-04-15",79
"2018-04-16",75
"2018-04-17",57
"2018-04-18",58
"2018-04-19",61
