네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","lg코드제로a9"
"2017-08-01",16
"2017-08-02",15
"2017-08-03",14
"2017-08-04",12
"2017-08-05",15
"2017-08-06",25
"2017-08-07",19
"2017-08-08",15
"2017-08-09",15
"2017-08-10",11
"2017-08-11",12
"2017-08-12",14
"2017-08-13",25
"2017-08-14",21
"2017-08-15",29
"2017-08-16",15
"2017-08-17",19
"2017-08-18",12
"2017-08-19",13
"2017-08-20",18
"2017-08-21",15
"2017-08-22",11
"2017-08-23",11
"2017-08-24",9
"2017-08-25",7
"2017-08-26",13
"2017-08-27",19
"2017-08-28",11
"2017-08-29",10
"2017-08-30",8
"2017-08-31",8
"2017-09-01",9
"2017-09-02",7
"2017-09-03",12
"2017-09-04",10
"2017-09-05",9
"2017-09-06",8
"2017-09-07",6
"2017-09-08",7
"2017-09-09",8
"2017-09-10",17
"2017-09-11",11
"2017-09-12",9
"2017-09-13",8
"2017-09-14",10
"2017-09-15",10
"2017-09-16",14
"2017-09-17",19
"2017-09-18",12
"2017-09-19",10
"2017-09-20",8
"2017-09-21",12
"2017-09-22",9
"2017-09-23",7
"2017-09-24",10
"2017-09-25",13
"2017-09-26",13
"2017-09-27",15
"2017-09-28",12
"2017-09-29",12
"2017-09-30",17
"2017-10-01",29
"2017-10-02",16
"2017-10-03",27
"2017-10-04",18
"2017-10-05",33
"2017-10-06",21
"2017-10-07",25
"2017-10-08",22
"2017-10-09",33
"2017-10-10",22
"2017-10-11",24
"2017-10-12",17
"2017-10-13",13
"2017-10-14",28
"2017-10-15",22
"2017-10-16",20
"2017-10-17",19
"2017-10-18",27
"2017-10-19",18
"2017-10-20",17
"2017-10-21",28
"2017-10-22",48
"2017-10-23",39
"2017-10-24",34
"2017-10-25",33
"2017-10-26",34
"2017-10-27",30
"2017-10-28",37
"2017-10-29",73
"2017-10-30",46
"2017-10-31",41
"2017-11-01",35
"2017-11-02",27
"2017-11-03",27
"2017-11-04",29
"2017-11-05",76
"2017-11-06",42
"2017-11-07",41
"2017-11-08",32
"2017-11-09",27
"2017-11-10",28
"2017-11-11",31
"2017-11-12",47
"2017-11-13",38
"2017-11-14",32
"2017-11-15",23
"2017-11-16",17
"2017-11-17",17
"2017-11-18",24
"2017-11-19",56
"2017-11-20",35
"2017-11-21",29
"2017-11-22",29
"2017-11-23",33
"2017-11-24",28
"2017-11-25",43
"2017-11-26",73
"2017-11-27",38
"2017-11-28",31
"2017-11-29",29
"2017-11-30",21
"2017-12-01",20
"2017-12-02",30
"2017-12-03",57
"2017-12-04",32
"2017-12-05",36
"2017-12-06",36
"2017-12-07",32
"2017-12-08",44
"2017-12-09",43
"2017-12-10",49
"2017-12-11",35
"2017-12-12",42
"2017-12-13",34
"2017-12-14",22
"2017-12-15",23
"2017-12-16",30
"2017-12-17",56
"2017-12-18",48
"2017-12-19",33
"2017-12-20",24
"2017-12-21",23
"2017-12-22",21
"2017-12-23",23
"2017-12-24",40
"2017-12-25",42
"2017-12-26",32
"2017-12-27",28
"2017-12-28",24
"2017-12-29",32
"2017-12-30",27
"2017-12-31",43
"2018-01-01",53
"2018-01-02",40
"2018-01-03",28
"2018-01-04",27
"2018-01-05",27
"2018-01-06",43
"2018-01-07",50
"2018-01-08",39
"2018-01-09",27
"2018-01-10",26
"2018-01-11",42
"2018-01-12",22
"2018-01-13",33
"2018-01-14",42
"2018-01-15",27
"2018-01-16",23
"2018-01-17",21
"2018-01-18",22
"2018-01-19",22
"2018-01-20",27
"2018-01-21",100
"2018-01-22",55
"2018-01-23",39
"2018-01-24",48
"2018-01-25",36
"2018-01-26",30
"2018-01-27",55
"2018-01-28",54
"2018-01-29",62
"2018-01-30",43
"2018-01-31",42
"2018-02-01",58
"2018-02-02",33
"2018-02-03",48
"2018-02-04",75
"2018-02-05",58
"2018-02-06",46
"2018-02-07",35
"2018-02-08",33
"2018-02-09",28
"2018-02-10",44
"2018-02-11",62
"2018-02-12",41
"2018-02-13",32
"2018-02-14",33
"2018-02-15",50
"2018-02-16",35
"2018-02-17",70
"2018-02-18",78
"2018-02-19",55
"2018-02-20",36
"2018-02-21",41
"2018-02-22",37
"2018-02-23",32
"2018-02-24",46
"2018-02-25",68
"2018-02-26",54
"2018-02-27",44
"2018-02-28",47
"2018-03-01",81
"2018-03-02",39
"2018-03-03",49
"2018-03-04",84
"2018-03-05",47
"2018-03-06",35
"2018-03-07",40
"2018-03-08",47
"2018-03-09",43
"2018-03-10",54
"2018-03-11",74
"2018-03-12",66
"2018-03-13",50
"2018-03-14",39
"2018-03-15",38
"2018-03-16",28
"2018-03-17",38
"2018-03-18",46
"2018-03-19",43
"2018-03-20",41
"2018-03-21",38
"2018-03-22",29
"2018-03-23",25
"2018-03-24",51
"2018-03-25",71
"2018-03-26",46
"2018-03-27",34
"2018-03-28",39
"2018-03-29",27
"2018-03-30",25
"2018-03-31",31
"2018-04-01",49
"2018-04-02",37
"2018-04-03",29
"2018-04-04",25
"2018-04-05",25
"2018-04-06",25
"2018-04-07",45
"2018-04-08",44
"2018-04-09",35
"2018-04-10",29
"2018-04-11",25
"2018-04-12",29
"2018-04-13",22
"2018-04-14",33
"2018-04-15",46
"2018-04-16",41
"2018-04-17",26
"2018-04-18",24
"2018-04-19",22
