네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
디지털/가전
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","벽걸이에어컨"
"2017-08-01",29
"2017-08-02",40
"2017-08-03",41
"2017-08-04",40
"2017-08-05",83
"2017-08-06",100
"2017-08-07",89
"2017-08-08",49
"2017-08-09",33
"2017-08-10",21
"2017-08-11",16
"2017-08-12",13
"2017-08-13",10
"2017-08-14",7
"2017-08-15",6
"2017-08-16",6
"2017-08-17",6
"2017-08-18",4
"2017-08-19",6
"2017-08-20",5
"2017-08-21",7
"2017-08-22",7
"2017-08-23",9
"2017-08-24",12
"2017-08-25",8
"2017-08-26",5
"2017-08-27",5
"2017-08-28",4
"2017-08-29",3
"2017-08-30",3
"2017-08-31",3
"2017-09-01",3
"2017-09-02",2
"2017-09-03",3
"2017-09-04",2
"2017-09-05",3
"2017-09-06",2
"2017-09-07",2
"2017-09-08",2
"2017-09-09",2
"2017-09-10",3
"2017-09-11",2
"2017-09-12",3
"2017-09-13",2
"2017-09-14",3
"2017-09-15",2
"2017-09-16",2
"2017-09-17",3
"2017-09-18",2
"2017-09-19",3
"2017-09-20",2
"2017-09-21",2
"2017-09-22",1
"2017-09-23",2
"2017-09-24",2
"2017-09-25",3
"2017-09-26",4
"2017-09-27",4
"2017-09-28",3
"2017-09-29",2
"2017-09-30",2
"2017-10-01",3
"2017-10-02",2
"2017-10-03",3
"2017-10-04",3
"2017-10-05",2
"2017-10-06",3
"2017-10-07",3
"2017-10-08",4
"2017-10-09",4
"2017-10-10",6
"2017-10-11",4
"2017-10-12",4
"2017-10-13",3
"2017-10-14",3
"2017-10-15",4
"2017-10-16",4
"2017-10-17",5
"2017-10-18",4
"2017-10-19",4
"2017-10-20",4
"2017-10-21",3
"2017-10-22",4
"2017-10-23",4
"2017-10-24",4
"2017-10-25",3
"2017-10-26",4
"2017-10-27",3
"2017-10-28",4
"2017-10-29",4
"2017-10-30",4
"2017-10-31",3
"2017-11-01",4
"2017-11-02",4
"2017-11-03",3
"2017-11-04",3
"2017-11-05",4
"2017-11-06",4
"2017-11-07",4
"2017-11-08",4
"2017-11-09",4
"2017-11-10",3
"2017-11-11",3
"2017-11-12",4
"2017-11-13",4
"2017-11-14",4
"2017-11-15",4
"2017-11-16",4
"2017-11-17",3
"2017-11-18",4
"2017-11-19",3
"2017-11-20",4
"2017-11-21",3
"2017-11-22",4
"2017-11-23",3
"2017-11-24",3
"2017-11-25",3
"2017-11-26",4
"2017-11-27",4
"2017-11-28",4
"2017-11-29",4
"2017-11-30",3
"2017-12-01",3
"2017-12-02",3
"2017-12-03",4
"2017-12-04",4
"2017-12-05",4
"2017-12-06",3
"2017-12-07",3
"2017-12-08",3
"2017-12-09",4
"2017-12-10",4
"2017-12-11",5
"2017-12-12",4
"2017-12-13",4
"2017-12-14",4
"2017-12-15",4
"2017-12-16",3
"2017-12-17",4
"2017-12-18",4
"2017-12-19",4
"2017-12-20",3
"2017-12-21",4
"2017-12-22",4
"2017-12-23",4
"2017-12-24",4
"2017-12-25",4
"2017-12-26",5
"2017-12-27",5
"2017-12-28",3
"2017-12-29",4
"2017-12-30",3
"2017-12-31",4
"2018-01-01",4
"2018-01-02",5
"2018-01-03",6
"2018-01-04",5
"2018-01-05",5
"2018-01-06",6
"2018-01-07",6
"2018-01-08",7
"2018-01-09",5
"2018-01-10",5
"2018-01-11",5
"2018-01-12",5
"2018-01-13",6
"2018-01-14",6
"2018-01-15",7
"2018-01-16",6
"2018-01-17",6
"2018-01-18",7
"2018-01-19",6
"2018-01-20",7
"2018-01-21",9
"2018-01-22",9
"2018-01-23",7
"2018-01-24",8
"2018-01-25",8
"2018-01-26",6
"2018-01-27",6
"2018-01-28",7
"2018-01-29",9
"2018-01-30",7
"2018-01-31",7
"2018-02-01",8
"2018-02-02",6
"2018-02-03",9
"2018-02-04",10
"2018-02-05",11
"2018-02-06",9
"2018-02-07",11
"2018-02-08",9
"2018-02-09",9
"2018-02-10",9
"2018-02-11",10
"2018-02-12",10
"2018-02-13",8
"2018-02-14",8
"2018-02-15",9
"2018-02-16",9
"2018-02-17",10
"2018-02-18",11
"2018-02-19",14
"2018-02-20",12
"2018-02-21",11
"2018-02-22",13
"2018-02-23",12
"2018-02-24",15
"2018-02-25",17
"2018-02-26",18
"2018-02-27",18
"2018-02-28",16
"2018-03-01",20
"2018-03-02",19
"2018-03-03",20
"2018-03-04",29
"2018-03-05",23
"2018-03-06",23
"2018-03-07",21
"2018-03-08",18
"2018-03-09",17
"2018-03-10",20
"2018-03-11",23
"2018-03-12",28
"2018-03-13",30
"2018-03-14",41
"2018-03-15",32
"2018-03-16",25
"2018-03-17",26
"2018-03-18",30
"2018-03-19",33
"2018-03-20",26
"2018-03-21",24
"2018-03-22",21
"2018-03-23",21
"2018-03-24",25
"2018-03-25",35
"2018-03-26",44
"2018-03-27",40
"2018-03-28",40
"2018-03-29",37
"2018-03-30",36
"2018-03-31",43
"2018-04-01",50
"2018-04-02",65
"2018-04-03",68
"2018-04-04",50
"2018-04-05",38
"2018-04-06",34
"2018-04-07",35
"2018-04-08",39
"2018-04-09",43
"2018-04-10",40
"2018-04-11",40
"2018-04-12",38
"2018-04-13",32
"2018-04-14",36
"2018-04-15",44
"2018-04-16",49
"2018-04-17",50
"2018-04-18",44
"2018-04-19",49
