네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","미숫가루"
"2017-08-01",4
"2017-08-02",3
"2017-08-03",3
"2017-08-04",3
"2017-08-05",2
"2017-08-06",3
"2017-08-07",4
"2017-08-08",3
"2017-08-09",3
"2017-08-10",3
"2017-08-11",3
"2017-08-12",2
"2017-08-13",4
"2017-08-14",3
"2017-08-15",4
"2017-08-16",3
"2017-08-17",4
"2017-08-18",2
"2017-08-19",2
"2017-08-20",3
"2017-08-21",4
"2017-08-22",4
"2017-08-23",3
"2017-08-24",3
"2017-08-25",2
"2017-08-26",2
"2017-08-27",2
"2017-08-28",2
"2017-08-29",6
"2017-08-30",28
"2017-08-31",29
"2017-09-01",24
"2017-09-02",24
"2017-09-03",38
"2017-09-04",24
"2017-09-05",3
"2017-09-06",2
"2017-09-07",2
"2017-09-08",2
"2017-09-09",1
"2017-09-10",3
"2017-09-11",2
"2017-09-12",3
"2017-09-13",3
"2017-09-14",2
"2017-09-15",2
"2017-09-16",1
"2017-09-17",2
"2017-09-18",2
"2017-09-19",3
"2017-09-20",18
"2017-09-21",50
"2017-09-22",54
"2017-09-23",51
"2017-09-24",62
"2017-09-25",56
"2017-09-26",58
"2017-09-27",24
"2017-09-28",27
"2017-09-29",64
"2017-09-30",84
"2017-10-01",83
"2017-10-02",82
"2017-10-03",73
"2017-10-04",72
"2017-10-05",68
"2017-10-06",65
"2017-10-07",73
"2017-10-08",66
"2017-10-09",73
"2017-10-10",69
"2017-10-11",63
"2017-10-12",69
"2017-10-13",57
"2017-10-14",68
"2017-10-15",65
"2017-10-16",67
"2017-10-17",83
"2017-10-18",49
"2017-10-19",51
"2017-10-20",67
"2017-10-21",80
"2017-10-22",85
"2017-10-23",87
"2017-10-24",67
"2017-10-25",87
"2017-10-26",95
"2017-10-27",88
"2017-10-28",98
"2017-10-29",85
"2017-10-30",92
"2017-10-31",79
"2017-11-01",96
"2017-11-02",78
"2017-11-03",100
"2017-11-04",88
"2017-11-05",98
"2017-11-06",71
"2017-11-07",58
"2017-11-08",49
"2017-11-09",54
"2017-11-10",60
"2017-11-11",69
"2017-11-12",84
"2017-11-13",72
"2017-11-14",65
"2017-11-15",76
"2017-11-16",75
"2017-11-17",63
"2017-11-18",85
"2017-11-19",83
"2017-11-20",70
"2017-11-21",74
"2017-11-22",64
"2017-11-23",75
"2017-11-24",71
"2017-11-25",78
"2017-11-26",71
"2017-11-27",49
"2017-11-28",49
"2017-11-29",51
"2017-11-30",56
"2017-12-01",60
"2017-12-02",85
"2017-12-03",85
"2017-12-04",53
"2017-12-05",8
"2017-12-06",2
"2017-12-07",1
"2017-12-08",1
"2017-12-09",1
"2017-12-10",2
"2017-12-11",2
"2017-12-12",2
"2017-12-13",2
"2017-12-14",1
"2017-12-15",1
"2017-12-16",1
"2017-12-17",1
"2017-12-18",2
"2017-12-19",2
"2017-12-20",1
"2017-12-21",1
"2017-12-22",1
"2017-12-23",1
"2017-12-24",1
"2017-12-25",1
"2017-12-26",2
"2017-12-27",2
"2017-12-28",2
"2017-12-29",1
"2017-12-30",1
"2017-12-31",1
"2018-01-01",2
"2018-01-02",2
"2018-01-03",2
"2018-01-04",2
"2018-01-05",1
"2018-01-06",2
"2018-01-07",1
"2018-01-08",2
"2018-01-09",2
"2018-01-10",2
"2018-01-11",1
"2018-01-12",1
"2018-01-13",1
"2018-01-14",2
"2018-01-15",2
"2018-01-16",2
"2018-01-17",2
"2018-01-18",2
"2018-01-19",2
"2018-01-20",1
"2018-01-21",2
"2018-01-22",2
"2018-01-23",2
"2018-01-24",2
"2018-01-25",2
"2018-01-26",2
"2018-01-27",1
"2018-01-28",2
"2018-01-29",2
"2018-01-30",2
"2018-01-31",2
"2018-02-01",2
"2018-02-02",2
"2018-02-03",1
"2018-02-04",2
"2018-02-05",3
"2018-02-06",2
"2018-02-07",2
"2018-02-08",2
"2018-02-09",1
"2018-02-10",1
"2018-02-11",1
"2018-02-12",1
"2018-02-13",1
"2018-02-14",1
"2018-02-15",1
"2018-02-16",1
"2018-02-17",1
"2018-02-18",2
"2018-02-19",3
"2018-02-20",2
"2018-02-21",2
"2018-02-22",2
"2018-02-23",1
"2018-02-24",1
"2018-02-25",2
"2018-02-26",2
"2018-02-27",2
"2018-02-28",2
"2018-03-01",2
"2018-03-02",2
"2018-03-03",1
"2018-03-04",2
"2018-03-05",3
"2018-03-06",2
"2018-03-07",3
"2018-03-08",2
"2018-03-09",2
"2018-03-10",2
"2018-03-11",2
"2018-03-12",3
"2018-03-13",3
"2018-03-14",3
"2018-03-15",2
"2018-03-16",2
"2018-03-17",2
"2018-03-18",2
"2018-03-19",3
"2018-03-20",3
"2018-03-21",3
"2018-03-22",2
"2018-03-23",2
"2018-03-24",2
"2018-03-25",2
"2018-03-26",3
"2018-03-27",3
"2018-03-28",3
"2018-03-29",3
"2018-03-30",2
"2018-03-31",2
"2018-04-01",3
"2018-04-02",4
"2018-04-03",4
"2018-04-04",3
"2018-04-05",2
"2018-04-06",2
"2018-04-07",2
"2018-04-08",3
"2018-04-09",4
"2018-04-10",3
"2018-04-11",3
"2018-04-12",3
"2018-04-13",2
"2018-04-14",2
"2018-04-15",3
"2018-04-16",3
"2018-04-17",4
"2018-04-18",3
"2018-04-19",3
