네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","깔라만시"
"2017-08-01",53
"2017-08-02",50
"2017-08-03",71
"2017-08-04",56
"2017-08-05",46
"2017-08-06",64
"2017-08-07",71
"2017-08-08",61
"2017-08-09",53
"2017-08-10",55
"2017-08-11",41
"2017-08-12",30
"2017-08-13",70
"2017-08-14",53
"2017-08-15",48
"2017-08-16",59
"2017-08-17",64
"2017-08-18",45
"2017-08-19",37
"2017-08-20",48
"2017-08-21",68
"2017-08-22",68
"2017-08-23",58
"2017-08-24",50
"2017-08-25",74
"2017-08-26",45
"2017-08-27",51
"2017-08-28",50
"2017-08-29",54
"2017-08-30",55
"2017-08-31",44
"2017-09-01",40
"2017-09-02",31
"2017-09-03",39
"2017-09-04",59
"2017-09-05",50
"2017-09-06",47
"2017-09-07",39
"2017-09-08",31
"2017-09-09",30
"2017-09-10",41
"2017-09-11",48
"2017-09-12",42
"2017-09-13",42
"2017-09-14",33
"2017-09-15",29
"2017-09-16",23
"2017-09-17",31
"2017-09-18",42
"2017-09-19",44
"2017-09-20",40
"2017-09-21",39
"2017-09-22",30
"2017-09-23",25
"2017-09-24",35
"2017-09-25",58
"2017-09-26",69
"2017-09-27",55
"2017-09-28",43
"2017-09-29",31
"2017-09-30",25
"2017-10-01",28
"2017-10-02",26
"2017-10-03",26
"2017-10-04",34
"2017-10-05",38
"2017-10-06",42
"2017-10-07",44
"2017-10-08",52
"2017-10-09",64
"2017-10-10",76
"2017-10-11",68
"2017-10-12",61
"2017-10-13",48
"2017-10-14",41
"2017-10-15",49
"2017-10-16",79
"2017-10-17",62
"2017-10-18",51
"2017-10-19",46
"2017-10-20",41
"2017-10-21",33
"2017-10-22",47
"2017-10-23",54
"2017-10-24",50
"2017-10-25",47
"2017-10-26",41
"2017-10-27",37
"2017-10-28",28
"2017-10-29",41
"2017-10-30",45
"2017-10-31",46
"2017-11-01",41
"2017-11-02",41
"2017-11-03",31
"2017-11-04",31
"2017-11-05",37
"2017-11-06",46
"2017-11-07",47
"2017-11-08",40
"2017-11-09",43
"2017-11-10",30
"2017-11-11",35
"2017-11-12",37
"2017-11-13",44
"2017-11-14",40
"2017-11-15",35
"2017-11-16",28
"2017-11-17",27
"2017-11-18",20
"2017-11-19",25
"2017-11-20",32
"2017-11-21",30
"2017-11-22",31
"2017-11-23",28
"2017-11-24",29
"2017-11-25",30
"2017-11-26",41
"2017-11-27",50
"2017-11-28",38
"2017-11-29",37
"2017-11-30",33
"2017-12-01",28
"2017-12-02",24
"2017-12-03",35
"2017-12-04",37
"2017-12-05",39
"2017-12-06",34
"2017-12-07",32
"2017-12-08",30
"2017-12-09",20
"2017-12-10",37
"2017-12-11",37
"2017-12-12",33
"2017-12-13",31
"2017-12-14",32
"2017-12-15",26
"2017-12-16",22
"2017-12-17",26
"2017-12-18",34
"2017-12-19",30
"2017-12-20",32
"2017-12-21",26
"2017-12-22",18
"2017-12-23",18
"2017-12-24",16
"2017-12-25",21
"2017-12-26",29
"2017-12-27",26
"2017-12-28",31
"2017-12-29",23
"2017-12-30",21
"2017-12-31",22
"2018-01-01",28
"2018-01-02",40
"2018-01-03",38
"2018-01-04",39
"2018-01-05",32
"2018-01-06",29
"2018-01-07",40
"2018-01-08",45
"2018-01-09",46
"2018-01-10",37
"2018-01-11",36
"2018-01-12",30
"2018-01-13",28
"2018-01-14",36
"2018-01-15",41
"2018-01-16",36
"2018-01-17",36
"2018-01-18",34
"2018-01-19",26
"2018-01-20",24
"2018-01-21",43
"2018-01-22",46
"2018-01-23",45
"2018-01-24",42
"2018-01-25",49
"2018-01-26",34
"2018-01-27",32
"2018-01-28",39
"2018-01-29",43
"2018-01-30",40
"2018-01-31",39
"2018-02-01",38
"2018-02-02",33
"2018-02-03",30
"2018-02-04",44
"2018-02-05",48
"2018-02-06",42
"2018-02-07",39
"2018-02-08",36
"2018-02-09",27
"2018-02-10",24
"2018-02-11",29
"2018-02-12",31
"2018-02-13",21
"2018-02-14",18
"2018-02-15",20
"2018-02-16",24
"2018-02-17",29
"2018-02-18",39
"2018-02-19",52
"2018-02-20",40
"2018-02-21",38
"2018-02-22",39
"2018-02-23",30
"2018-02-24",28
"2018-02-25",35
"2018-02-26",42
"2018-02-27",39
"2018-02-28",40
"2018-03-01",42
"2018-03-02",34
"2018-03-03",33
"2018-03-04",46
"2018-03-05",45
"2018-03-06",41
"2018-03-07",40
"2018-03-08",43
"2018-03-09",30
"2018-03-10",32
"2018-03-11",40
"2018-03-12",49
"2018-03-13",46
"2018-03-14",41
"2018-03-15",41
"2018-03-16",38
"2018-03-17",77
"2018-03-18",100
"2018-03-19",78
"2018-03-20",64
"2018-03-21",63
"2018-03-22",48
"2018-03-23",43
"2018-03-24",58
"2018-03-25",52
"2018-03-26",56
"2018-03-27",54
"2018-03-28",50
"2018-03-29",51
"2018-03-30",40
"2018-03-31",42
"2018-04-01",59
"2018-04-02",59
"2018-04-03",58
"2018-04-04",54
"2018-04-05",49
"2018-04-06",41
"2018-04-07",38
"2018-04-08",47
"2018-04-09",57
"2018-04-10",59
"2018-04-11",65
"2018-04-12",55
"2018-04-13",44
"2018-04-14",39
"2018-04-15",55
"2018-04-16",57
"2018-04-17",55
"2018-04-18",46
"2018-04-19",46
