네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","양배추즙"
"2017-08-01",46
"2017-08-02",41
"2017-08-03",38
"2017-08-04",32
"2017-08-05",31
"2017-08-06",34
"2017-08-07",46
"2017-08-08",52
"2017-08-09",47
"2017-08-10",40
"2017-08-11",35
"2017-08-12",30
"2017-08-13",38
"2017-08-14",43
"2017-08-15",38
"2017-08-16",50
"2017-08-17",53
"2017-08-18",39
"2017-08-19",35
"2017-08-20",51
"2017-08-21",62
"2017-08-22",59
"2017-08-23",53
"2017-08-24",52
"2017-08-25",46
"2017-08-26",36
"2017-08-27",48
"2017-08-28",45
"2017-08-29",52
"2017-08-30",55
"2017-08-31",53
"2017-09-01",47
"2017-09-02",39
"2017-09-03",52
"2017-09-04",58
"2017-09-05",52
"2017-09-06",49
"2017-09-07",54
"2017-09-08",38
"2017-09-09",37
"2017-09-10",41
"2017-09-11",59
"2017-09-12",50
"2017-09-13",54
"2017-09-14",52
"2017-09-15",45
"2017-09-16",34
"2017-09-17",41
"2017-09-18",62
"2017-09-19",57
"2017-09-20",51
"2017-09-21",50
"2017-09-22",42
"2017-09-23",31
"2017-09-24",37
"2017-09-25",65
"2017-09-26",66
"2017-09-27",62
"2017-09-28",48
"2017-09-29",28
"2017-09-30",27
"2017-10-01",29
"2017-10-02",26
"2017-10-03",24
"2017-10-04",29
"2017-10-05",33
"2017-10-06",36
"2017-10-07",50
"2017-10-08",53
"2017-10-09",72
"2017-10-10",74
"2017-10-11",64
"2017-10-12",63
"2017-10-13",51
"2017-10-14",38
"2017-10-15",48
"2017-10-16",65
"2017-10-17",59
"2017-10-18",61
"2017-10-19",65
"2017-10-20",52
"2017-10-21",36
"2017-10-22",52
"2017-10-23",68
"2017-10-24",64
"2017-10-25",67
"2017-10-26",59
"2017-10-27",53
"2017-10-28",44
"2017-10-29",51
"2017-10-30",69
"2017-10-31",60
"2017-11-01",73
"2017-11-02",61
"2017-11-03",59
"2017-11-04",40
"2017-11-05",57
"2017-11-06",78
"2017-11-07",68
"2017-11-08",71
"2017-11-09",68
"2017-11-10",56
"2017-11-11",46
"2017-11-12",64
"2017-11-13",76
"2017-11-14",73
"2017-11-15",59
"2017-11-16",62
"2017-11-17",50
"2017-11-18",48
"2017-11-19",60
"2017-11-20",73
"2017-11-21",71
"2017-11-22",76
"2017-11-23",61
"2017-11-24",48
"2017-11-25",46
"2017-11-26",51
"2017-11-27",68
"2017-11-28",60
"2017-11-29",61
"2017-11-30",55
"2017-12-01",44
"2017-12-02",39
"2017-12-03",49
"2017-12-04",62
"2017-12-05",61
"2017-12-06",55
"2017-12-07",64
"2017-12-08",49
"2017-12-09",41
"2017-12-10",59
"2017-12-11",77
"2017-12-12",59
"2017-12-13",64
"2017-12-14",60
"2017-12-15",45
"2017-12-16",33
"2017-12-17",54
"2017-12-18",58
"2017-12-19",62
"2017-12-20",54
"2017-12-21",57
"2017-12-22",47
"2017-12-23",38
"2017-12-24",37
"2017-12-25",53
"2017-12-26",69
"2017-12-27",65
"2017-12-28",77
"2017-12-29",64
"2017-12-30",46
"2017-12-31",50
"2018-01-01",63
"2018-01-02",96
"2018-01-03",87
"2018-01-04",77
"2018-01-05",61
"2018-01-06",56
"2018-01-07",68
"2018-01-08",92
"2018-01-09",81
"2018-01-10",67
"2018-01-11",63
"2018-01-12",55
"2018-01-13",51
"2018-01-14",61
"2018-01-15",79
"2018-01-16",69
"2018-01-17",67
"2018-01-18",71
"2018-01-19",55
"2018-01-20",56
"2018-01-21",49
"2018-01-22",75
"2018-01-23",81
"2018-01-24",71
"2018-01-25",67
"2018-01-26",49
"2018-01-27",49
"2018-01-28",74
"2018-01-29",81
"2018-01-30",75
"2018-01-31",77
"2018-02-01",87
"2018-02-02",59
"2018-02-03",57
"2018-02-04",70
"2018-02-05",88
"2018-02-06",79
"2018-02-07",76
"2018-02-08",63
"2018-02-09",59
"2018-02-10",49
"2018-02-11",57
"2018-02-12",61
"2018-02-13",40
"2018-02-14",31
"2018-02-15",32
"2018-02-16",43
"2018-02-17",51
"2018-02-18",68
"2018-02-19",100
"2018-02-20",78
"2018-02-21",76
"2018-02-22",69
"2018-02-23",56
"2018-02-24",42
"2018-02-25",59
"2018-02-26",67
"2018-02-27",77
"2018-02-28",62
"2018-03-01",73
"2018-03-02",61
"2018-03-03",50
"2018-03-04",59
"2018-03-05",87
"2018-03-06",83
"2018-03-07",66
"2018-03-08",72
"2018-03-09",57
"2018-03-10",51
"2018-03-11",84
"2018-03-12",89
"2018-03-13",94
"2018-03-14",80
"2018-03-15",66
"2018-03-16",55
"2018-03-17",49
"2018-03-18",62
"2018-03-19",72
"2018-03-20",65
"2018-03-21",59
"2018-03-22",62
"2018-03-23",46
"2018-03-24",49
"2018-03-25",52
"2018-03-26",72
"2018-03-27",67
"2018-03-28",64
"2018-03-29",57
"2018-03-30",48
"2018-03-31",40
"2018-04-01",54
"2018-04-02",58
"2018-04-03",51
"2018-04-04",60
"2018-04-05",52
"2018-04-06",44
"2018-04-07",44
"2018-04-08",52
"2018-04-09",70
"2018-04-10",63
"2018-04-11",71
"2018-04-12",58
"2018-04-13",49
"2018-04-14",43
"2018-04-15",55
"2018-04-16",71
"2018-04-17",70
"2018-04-18",62
"2018-04-19",52
