네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","곤약젤리"
"2017-08-01",49
"2017-08-02",53
"2017-08-03",41
"2017-08-04",36
"2017-08-05",34
"2017-08-06",38
"2017-08-07",37
"2017-08-08",36
"2017-08-09",35
"2017-08-10",28
"2017-08-11",26
"2017-08-12",22
"2017-08-13",28
"2017-08-14",26
"2017-08-15",29
"2017-08-16",28
"2017-08-17",35
"2017-08-18",42
"2017-08-19",42
"2017-08-20",49
"2017-08-21",48
"2017-08-22",41
"2017-08-23",46
"2017-08-24",43
"2017-08-25",39
"2017-08-26",42
"2017-08-27",46
"2017-08-28",40
"2017-08-29",39
"2017-08-30",37
"2017-08-31",38
"2017-09-01",35
"2017-09-02",39
"2017-09-03",41
"2017-09-04",42
"2017-09-05",40
"2017-09-06",37
"2017-09-07",34
"2017-09-08",33
"2017-09-09",35
"2017-09-10",38
"2017-09-11",38
"2017-09-12",37
"2017-09-13",34
"2017-09-14",34
"2017-09-15",32
"2017-09-16",44
"2017-09-17",42
"2017-09-18",40
"2017-09-19",42
"2017-09-20",39
"2017-09-21",35
"2017-09-22",29
"2017-09-23",32
"2017-09-24",40
"2017-09-25",40
"2017-09-26",42
"2017-09-27",35
"2017-09-28",35
"2017-09-29",33
"2017-09-30",36
"2017-10-01",40
"2017-10-02",35
"2017-10-03",30
"2017-10-04",34
"2017-10-05",39
"2017-10-06",43
"2017-10-07",45
"2017-10-08",50
"2017-10-09",55
"2017-10-10",64
"2017-10-11",60
"2017-10-12",59
"2017-10-13",49
"2017-10-14",54
"2017-10-15",63
"2017-10-16",52
"2017-10-17",54
"2017-10-18",65
"2017-10-19",49
"2017-10-20",38
"2017-10-21",42
"2017-10-22",52
"2017-10-23",50
"2017-10-24",42
"2017-10-25",41
"2017-10-26",38
"2017-10-27",39
"2017-10-28",48
"2017-10-29",56
"2017-10-30",50
"2017-10-31",46
"2017-11-01",70
"2017-11-02",54
"2017-11-03",48
"2017-11-04",44
"2017-11-05",49
"2017-11-06",52
"2017-11-07",48
"2017-11-08",51
"2017-11-09",42
"2017-11-10",37
"2017-11-11",35
"2017-11-12",44
"2017-11-13",40
"2017-11-14",41
"2017-11-15",31
"2017-11-16",33
"2017-11-17",32
"2017-11-18",32
"2017-11-19",36
"2017-11-20",36
"2017-11-21",34
"2017-11-22",34
"2017-11-23",32
"2017-11-24",30
"2017-11-25",33
"2017-11-26",34
"2017-11-27",38
"2017-11-28",37
"2017-11-29",34
"2017-11-30",31
"2017-12-01",34
"2017-12-02",40
"2017-12-03",39
"2017-12-04",41
"2017-12-05",35
"2017-12-06",36
"2017-12-07",32
"2017-12-08",24
"2017-12-09",30
"2017-12-10",35
"2017-12-11",37
"2017-12-12",39
"2017-12-13",47
"2017-12-14",41
"2017-12-15",36
"2017-12-16",35
"2017-12-17",39
"2017-12-18",38
"2017-12-19",35
"2017-12-20",32
"2017-12-21",28
"2017-12-22",25
"2017-12-23",31
"2017-12-24",28
"2017-12-25",34
"2017-12-26",35
"2017-12-27",32
"2017-12-28",32
"2017-12-29",26
"2017-12-30",34
"2017-12-31",31
"2018-01-01",35
"2018-01-02",38
"2018-01-03",34
"2018-01-04",30
"2018-01-05",31
"2018-01-06",32
"2018-01-07",45
"2018-01-08",55
"2018-01-09",65
"2018-01-10",48
"2018-01-11",45
"2018-01-12",46
"2018-01-13",47
"2018-01-14",57
"2018-01-15",60
"2018-01-16",62
"2018-01-17",59
"2018-01-18",51
"2018-01-19",45
"2018-01-20",52
"2018-01-21",60
"2018-01-22",62
"2018-01-23",56
"2018-01-24",59
"2018-01-25",51
"2018-01-26",52
"2018-01-27",54
"2018-01-28",57
"2018-01-29",63
"2018-01-30",59
"2018-01-31",65
"2018-02-01",71
"2018-02-02",57
"2018-02-03",59
"2018-02-04",66
"2018-02-05",65
"2018-02-06",63
"2018-02-07",61
"2018-02-08",49
"2018-02-09",37
"2018-02-10",38
"2018-02-11",43
"2018-02-12",37
"2018-02-13",32
"2018-02-14",30
"2018-02-15",27
"2018-02-16",32
"2018-02-17",32
"2018-02-18",36
"2018-02-19",55
"2018-02-20",55
"2018-02-21",60
"2018-02-22",57
"2018-02-23",57
"2018-02-24",57
"2018-02-25",85
"2018-02-26",85
"2018-02-27",73
"2018-02-28",66
"2018-03-01",71
"2018-03-02",57
"2018-03-03",61
"2018-03-04",72
"2018-03-05",62
"2018-03-06",66
"2018-03-07",56
"2018-03-08",68
"2018-03-09",77
"2018-03-10",70
"2018-03-11",66
"2018-03-12",68
"2018-03-13",67
"2018-03-14",56
"2018-03-15",57
"2018-03-16",53
"2018-03-17",58
"2018-03-18",69
"2018-03-19",75
"2018-03-20",65
"2018-03-21",65
"2018-03-22",68
"2018-03-23",55
"2018-03-24",57
"2018-03-25",66
"2018-03-26",78
"2018-03-27",85
"2018-03-28",74
"2018-03-29",70
"2018-03-30",69
"2018-03-31",67
"2018-04-01",79
"2018-04-02",74
"2018-04-03",69
"2018-04-04",68
"2018-04-05",67
"2018-04-06",77
"2018-04-07",80
"2018-04-08",86
"2018-04-09",99
"2018-04-10",100
"2018-04-11",84
"2018-04-12",67
"2018-04-13",63
"2018-04-14",86
"2018-04-15",95
"2018-04-16",79
"2018-04-17",81
"2018-04-18",76
"2018-04-19",72
