네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","밀크씨슬"
"2017-08-01",27
"2017-08-02",27
"2017-08-03",25
"2017-08-04",17
"2017-08-05",12
"2017-08-06",21
"2017-08-07",23
"2017-08-08",22
"2017-08-09",25
"2017-08-10",24
"2017-08-11",24
"2017-08-12",19
"2017-08-13",25
"2017-08-14",25
"2017-08-15",22
"2017-08-16",28
"2017-08-17",27
"2017-08-18",25
"2017-08-19",18
"2017-08-20",26
"2017-08-21",29
"2017-08-22",29
"2017-08-23",30
"2017-08-24",32
"2017-08-25",22
"2017-08-26",19
"2017-08-27",24
"2017-08-28",21
"2017-08-29",28
"2017-08-30",27
"2017-08-31",28
"2017-09-01",26
"2017-09-02",16
"2017-09-03",18
"2017-09-04",26
"2017-09-05",24
"2017-09-06",29
"2017-09-07",29
"2017-09-08",46
"2017-09-09",30
"2017-09-10",27
"2017-09-11",31
"2017-09-12",31
"2017-09-13",28
"2017-09-14",28
"2017-09-15",24
"2017-09-16",22
"2017-09-17",61
"2017-09-18",41
"2017-09-19",46
"2017-09-20",38
"2017-09-21",29
"2017-09-22",24
"2017-09-23",20
"2017-09-24",24
"2017-09-25",36
"2017-09-26",47
"2017-09-27",40
"2017-09-28",32
"2017-09-29",23
"2017-09-30",22
"2017-10-01",32
"2017-10-02",30
"2017-10-03",27
"2017-10-04",23
"2017-10-05",43
"2017-10-06",42
"2017-10-07",44
"2017-10-08",49
"2017-10-09",63
"2017-10-10",74
"2017-10-11",61
"2017-10-12",57
"2017-10-13",41
"2017-10-14",38
"2017-10-15",47
"2017-10-16",47
"2017-10-17",55
"2017-10-18",54
"2017-10-19",51
"2017-10-20",38
"2017-10-21",33
"2017-10-22",43
"2017-10-23",48
"2017-10-24",50
"2017-10-25",49
"2017-10-26",45
"2017-10-27",40
"2017-10-28",35
"2017-10-29",39
"2017-10-30",36
"2017-10-31",42
"2017-11-01",53
"2017-11-02",53
"2017-11-03",41
"2017-11-04",37
"2017-11-05",42
"2017-11-06",61
"2017-11-07",51
"2017-11-08",57
"2017-11-09",49
"2017-11-10",37
"2017-11-11",37
"2017-11-12",42
"2017-11-13",47
"2017-11-14",60
"2017-11-15",43
"2017-11-16",45
"2017-11-17",41
"2017-11-18",32
"2017-11-19",40
"2017-11-20",51
"2017-11-21",48
"2017-11-22",44
"2017-11-23",44
"2017-11-24",41
"2017-11-25",33
"2017-11-26",43
"2017-11-27",56
"2017-11-28",53
"2017-11-29",55
"2017-11-30",53
"2017-12-01",44
"2017-12-02",42
"2017-12-03",43
"2017-12-04",55
"2017-12-05",56
"2017-12-06",52
"2017-12-07",49
"2017-12-08",39
"2017-12-09",36
"2017-12-10",51
"2017-12-11",58
"2017-12-12",52
"2017-12-13",49
"2017-12-14",52
"2017-12-15",41
"2017-12-16",41
"2017-12-17",56
"2017-12-18",67
"2017-12-19",55
"2017-12-20",54
"2017-12-21",54
"2017-12-22",91
"2017-12-23",38
"2017-12-24",38
"2017-12-25",44
"2017-12-26",57
"2017-12-27",59
"2017-12-28",53
"2017-12-29",56
"2017-12-30",43
"2017-12-31",49
"2018-01-01",57
"2018-01-02",60
"2018-01-03",67
"2018-01-04",66
"2018-01-05",53
"2018-01-06",49
"2018-01-07",59
"2018-01-08",64
"2018-01-09",61
"2018-01-10",57
"2018-01-11",55
"2018-01-12",44
"2018-01-13",54
"2018-01-14",52
"2018-01-15",63
"2018-01-16",60
"2018-01-17",61
"2018-01-18",58
"2018-01-19",50
"2018-01-20",46
"2018-01-21",47
"2018-01-22",60
"2018-01-23",57
"2018-01-24",52
"2018-01-25",56
"2018-01-26",45
"2018-01-27",52
"2018-01-28",54
"2018-01-29",67
"2018-01-30",70
"2018-01-31",100
"2018-02-01",73
"2018-02-02",59
"2018-02-03",57
"2018-02-04",62
"2018-02-05",81
"2018-02-06",72
"2018-02-07",74
"2018-02-08",59
"2018-02-09",58
"2018-02-10",43
"2018-02-11",49
"2018-02-12",62
"2018-02-13",45
"2018-02-14",42
"2018-02-15",37
"2018-02-16",39
"2018-02-17",42
"2018-02-18",65
"2018-02-19",76
"2018-02-20",66
"2018-02-21",72
"2018-02-22",67
"2018-02-23",57
"2018-02-24",46
"2018-02-25",52
"2018-02-26",63
"2018-02-27",65
"2018-02-28",53
"2018-03-01",59
"2018-03-02",56
"2018-03-03",44
"2018-03-04",54
"2018-03-05",53
"2018-03-06",53
"2018-03-07",57
"2018-03-08",65
"2018-03-09",45
"2018-03-10",42
"2018-03-11",58
"2018-03-12",63
"2018-03-13",63
"2018-03-14",58
"2018-03-15",54
"2018-03-16",49
"2018-03-17",35
"2018-03-18",48
"2018-03-19",60
"2018-03-20",69
"2018-03-21",69
"2018-03-22",60
"2018-03-23",53
"2018-03-24",48
"2018-03-25",53
"2018-03-26",71
"2018-03-27",70
"2018-03-28",61
"2018-03-29",57
"2018-03-30",48
"2018-03-31",42
"2018-04-01",54
"2018-04-02",58
"2018-04-03",63
"2018-04-04",64
"2018-04-05",59
"2018-04-06",38
"2018-04-07",42
"2018-04-08",55
"2018-04-09",62
"2018-04-10",66
"2018-04-11",61
"2018-04-12",64
"2018-04-13",44
"2018-04-14",43
"2018-04-15",48
"2018-04-16",59
"2018-04-17",65
"2018-04-18",61
"2018-04-19",56
