네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아보카도오일"
"2017-08-01",7
"2017-08-02",6
"2017-08-03",5
"2017-08-04",5
"2017-08-05",30
"2017-08-06",7
"2017-08-07",6
"2017-08-08",5
"2017-08-09",5
"2017-08-10",38
"2017-08-11",10
"2017-08-12",8
"2017-08-13",6
"2017-08-14",8
"2017-08-15",8
"2017-08-16",7
"2017-08-17",7
"2017-08-18",6
"2017-08-19",4
"2017-08-20",32
"2017-08-21",11
"2017-08-22",9
"2017-08-23",8
"2017-08-24",6
"2017-08-25",5
"2017-08-26",4
"2017-08-27",4
"2017-08-28",5
"2017-08-29",5
"2017-08-30",5
"2017-08-31",4
"2017-09-01",4
"2017-09-02",3
"2017-09-03",3
"2017-09-04",6
"2017-09-05",6
"2017-09-06",5
"2017-09-07",5
"2017-09-08",5
"2017-09-09",4
"2017-09-10",5
"2017-09-11",4
"2017-09-12",6
"2017-09-13",29
"2017-09-14",9
"2017-09-15",6
"2017-09-16",6
"2017-09-17",5
"2017-09-18",19
"2017-09-19",7
"2017-09-20",8
"2017-09-21",80
"2017-09-22",23
"2017-09-23",19
"2017-09-24",13
"2017-09-25",53
"2017-09-26",24
"2017-09-27",17
"2017-09-28",13
"2017-09-29",7
"2017-09-30",5
"2017-10-01",7
"2017-10-02",6
"2017-10-03",6
"2017-10-04",7
"2017-10-05",8
"2017-10-06",8
"2017-10-07",5
"2017-10-08",7
"2017-10-09",11
"2017-10-10",9
"2017-10-11",13
"2017-10-12",10
"2017-10-13",12
"2017-10-14",5
"2017-10-15",7
"2017-10-16",27
"2017-10-17",7
"2017-10-18",8
"2017-10-19",6
"2017-10-20",4
"2017-10-21",5
"2017-10-22",4
"2017-10-23",5
"2017-10-24",8
"2017-10-25",5
"2017-10-26",88
"2017-10-27",21
"2017-10-28",9
"2017-10-29",8
"2017-10-30",8
"2017-10-31",7
"2017-11-01",10
"2017-11-02",10
"2017-11-03",7
"2017-11-04",74
"2017-11-05",13
"2017-11-06",24
"2017-11-07",8
"2017-11-08",9
"2017-11-09",14
"2017-11-10",7
"2017-11-11",9
"2017-11-12",7
"2017-11-13",16
"2017-11-14",9
"2017-11-15",7
"2017-11-16",6
"2017-11-17",6
"2017-11-18",6
"2017-11-19",6
"2017-11-20",5
"2017-11-21",6
"2017-11-22",7
"2017-11-23",5
"2017-11-24",5
"2017-11-25",3
"2017-11-26",4
"2017-11-27",6
"2017-11-28",5
"2017-11-29",5
"2017-11-30",5
"2017-12-01",6
"2017-12-02",4
"2017-12-03",4
"2017-12-04",10
"2017-12-05",5
"2017-12-06",5
"2017-12-07",40
"2017-12-08",81
"2017-12-09",16
"2017-12-10",12
"2017-12-11",12
"2017-12-12",9
"2017-12-13",7
"2017-12-14",8
"2017-12-15",7
"2017-12-16",6
"2017-12-17",47
"2017-12-18",10
"2017-12-19",10
"2017-12-20",10
"2017-12-21",9
"2017-12-22",6
"2017-12-23",5
"2017-12-24",5
"2017-12-25",12
"2017-12-26",10
"2017-12-27",16
"2017-12-28",8
"2017-12-29",5
"2017-12-30",26
"2017-12-31",9
"2018-01-01",9
"2018-01-02",10
"2018-01-03",10
"2018-01-04",8
"2018-01-05",7
"2018-01-06",5
"2018-01-07",7
"2018-01-08",51
"2018-01-09",21
"2018-01-10",14
"2018-01-11",11
"2018-01-12",10
"2018-01-13",6
"2018-01-14",7
"2018-01-15",16
"2018-01-16",11
"2018-01-17",8
"2018-01-18",100
"2018-01-19",33
"2018-01-20",18
"2018-01-21",15
"2018-01-22",18
"2018-01-23",16
"2018-01-24",71
"2018-01-25",18
"2018-01-26",14
"2018-01-27",13
"2018-01-28",49
"2018-01-29",19
"2018-01-30",15
"2018-01-31",14
"2018-02-01",62
"2018-02-02",18
"2018-02-03",17
"2018-02-04",16
"2018-02-05",16
"2018-02-06",10
"2018-02-07",41
"2018-02-08",13
"2018-02-09",9
"2018-02-10",8
"2018-02-11",46
"2018-02-12",12
"2018-02-13",7
"2018-02-14",6
"2018-02-15",5
"2018-02-16",6
"2018-02-17",6
"2018-02-18",7
"2018-02-19",7
"2018-02-20",8
"2018-02-21",6
"2018-02-22",5
"2018-02-23",6
"2018-02-24",5
"2018-02-25",5
"2018-02-26",5
"2018-02-27",35
"2018-02-28",13
"2018-03-01",38
"2018-03-02",9
"2018-03-03",6
"2018-03-04",5
"2018-03-05",5
"2018-03-06",6
"2018-03-07",4
"2018-03-08",5
"2018-03-09",4
"2018-03-10",3
"2018-03-11",21
"2018-03-12",13
"2018-03-13",6
"2018-03-14",5
"2018-03-15",4
"2018-03-16",4
"2018-03-17",3
"2018-03-18",3
"2018-03-19",4
"2018-03-20",5
"2018-03-21",5
"2018-03-22",81
"2018-03-23",18
"2018-03-24",9
"2018-03-25",6
"2018-03-26",8
"2018-03-27",8
"2018-03-28",5
"2018-03-29",5
"2018-03-30",4
"2018-03-31",3
"2018-04-01",3
"2018-04-02",4
"2018-04-03",4
"2018-04-04",5
"2018-04-05",3
"2018-04-06",3
"2018-04-07",9
"2018-04-08",5
"2018-04-09",6
"2018-04-10",17
"2018-04-11",7
"2018-04-12",5
"2018-04-13",4
"2018-04-14",4
"2018-04-15",5
"2018-04-16",4
"2018-04-17",5
"2018-04-18",4
"2018-04-19",59
