네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","카누"
"2017-08-01",45
"2017-08-02",40
"2017-08-03",46
"2017-08-04",34
"2017-08-05",28
"2017-08-06",44
"2017-08-07",51
"2017-08-08",54
"2017-08-09",55
"2017-08-10",39
"2017-08-11",38
"2017-08-12",30
"2017-08-13",31
"2017-08-14",39
"2017-08-15",44
"2017-08-16",44
"2017-08-17",42
"2017-08-18",33
"2017-08-19",25
"2017-08-20",42
"2017-08-21",50
"2017-08-22",45
"2017-08-23",49
"2017-08-24",41
"2017-08-25",31
"2017-08-26",21
"2017-08-27",30
"2017-08-28",43
"2017-08-29",44
"2017-08-30",42
"2017-08-31",33
"2017-09-01",36
"2017-09-02",31
"2017-09-03",44
"2017-09-04",53
"2017-09-05",47
"2017-09-06",50
"2017-09-07",38
"2017-09-08",36
"2017-09-09",30
"2017-09-10",39
"2017-09-11",48
"2017-09-12",46
"2017-09-13",48
"2017-09-14",44
"2017-09-15",42
"2017-09-16",32
"2017-09-17",41
"2017-09-18",37
"2017-09-19",53
"2017-09-20",57
"2017-09-21",46
"2017-09-22",37
"2017-09-23",34
"2017-09-24",44
"2017-09-25",59
"2017-09-26",66
"2017-09-27",63
"2017-09-28",54
"2017-09-29",33
"2017-09-30",33
"2017-10-01",36
"2017-10-02",28
"2017-10-03",35
"2017-10-04",30
"2017-10-05",42
"2017-10-06",42
"2017-10-07",46
"2017-10-08",58
"2017-10-09",77
"2017-10-10",88
"2017-10-11",77
"2017-10-12",67
"2017-10-13",56
"2017-10-14",43
"2017-10-15",57
"2017-10-16",81
"2017-10-17",67
"2017-10-18",68
"2017-10-19",54
"2017-10-20",52
"2017-10-21",37
"2017-10-22",52
"2017-10-23",70
"2017-10-24",57
"2017-10-25",64
"2017-10-26",44
"2017-10-27",40
"2017-10-28",32
"2017-10-29",42
"2017-10-30",58
"2017-10-31",54
"2017-11-01",61
"2017-11-02",48
"2017-11-03",43
"2017-11-04",41
"2017-11-05",47
"2017-11-06",63
"2017-11-07",58
"2017-11-08",54
"2017-11-09",49
"2017-11-10",37
"2017-11-11",37
"2017-11-12",44
"2017-11-13",59
"2017-11-14",59
"2017-11-15",57
"2017-11-16",54
"2017-11-17",46
"2017-11-18",41
"2017-11-19",51
"2017-11-20",58
"2017-11-21",45
"2017-11-22",53
"2017-11-23",41
"2017-11-24",43
"2017-11-25",31
"2017-11-26",41
"2017-11-27",60
"2017-11-28",57
"2017-11-29",60
"2017-11-30",56
"2017-12-01",50
"2017-12-02",33
"2017-12-03",50
"2017-12-04",58
"2017-12-05",66
"2017-12-06",61
"2017-12-07",55
"2017-12-08",50
"2017-12-09",40
"2017-12-10",52
"2017-12-11",73
"2017-12-12",61
"2017-12-13",56
"2017-12-14",53
"2017-12-15",33
"2017-12-16",31
"2017-12-17",49
"2017-12-18",56
"2017-12-19",48
"2017-12-20",49
"2017-12-21",47
"2017-12-22",35
"2017-12-23",29
"2017-12-24",35
"2017-12-25",43
"2017-12-26",61
"2017-12-27",52
"2017-12-28",47
"2017-12-29",32
"2017-12-30",29
"2017-12-31",34
"2018-01-01",45
"2018-01-02",67
"2018-01-03",65
"2018-01-04",66
"2018-01-05",49
"2018-01-06",44
"2018-01-07",47
"2018-01-08",62
"2018-01-09",61
"2018-01-10",62
"2018-01-11",68
"2018-01-12",53
"2018-01-13",40
"2018-01-14",57
"2018-01-15",59
"2018-01-16",59
"2018-01-17",63
"2018-01-18",57
"2018-01-19",41
"2018-01-20",41
"2018-01-21",48
"2018-01-22",69
"2018-01-23",73
"2018-01-24",64
"2018-01-25",64
"2018-01-26",46
"2018-01-27",43
"2018-01-28",52
"2018-01-29",82
"2018-01-30",74
"2018-01-31",76
"2018-02-01",77
"2018-02-02",55
"2018-02-03",48
"2018-02-04",77
"2018-02-05",86
"2018-02-06",90
"2018-02-07",84
"2018-02-08",74
"2018-02-09",60
"2018-02-10",49
"2018-02-11",58
"2018-02-12",64
"2018-02-13",46
"2018-02-14",38
"2018-02-15",26
"2018-02-16",28
"2018-02-17",46
"2018-02-18",66
"2018-02-19",77
"2018-02-20",83
"2018-02-21",81
"2018-02-22",59
"2018-02-23",47
"2018-02-24",49
"2018-02-25",44
"2018-02-26",67
"2018-02-27",86
"2018-02-28",64
"2018-03-01",55
"2018-03-02",53
"2018-03-03",37
"2018-03-04",67
"2018-03-05",85
"2018-03-06",68
"2018-03-07",68
"2018-03-08",62
"2018-03-09",50
"2018-03-10",43
"2018-03-11",57
"2018-03-12",80
"2018-03-13",65
"2018-03-14",54
"2018-03-15",57
"2018-03-16",52
"2018-03-17",41
"2018-03-18",54
"2018-03-19",82
"2018-03-20",72
"2018-03-21",77
"2018-03-22",67
"2018-03-23",54
"2018-03-24",37
"2018-03-25",56
"2018-03-26",88
"2018-03-27",75
"2018-03-28",82
"2018-03-29",76
"2018-03-30",75
"2018-03-31",53
"2018-04-01",71
"2018-04-02",91
"2018-04-03",87
"2018-04-04",86
"2018-04-05",100
"2018-04-06",62
"2018-04-07",48
"2018-04-08",67
"2018-04-09",76
"2018-04-10",75
"2018-04-11",69
"2018-04-12",68
"2018-04-13",51
"2018-04-14",44
"2018-04-15",57
"2018-04-16",79
"2018-04-17",63
"2018-04-18",72
"2018-04-19",54
