네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아몬드브리즈"
"2017-08-01",46
"2017-08-02",50
"2017-08-03",44
"2017-08-04",33
"2017-08-05",28
"2017-08-06",41
"2017-08-07",68
"2017-08-08",53
"2017-08-09",48
"2017-08-10",47
"2017-08-11",35
"2017-08-12",29
"2017-08-13",38
"2017-08-14",44
"2017-08-15",44
"2017-08-16",49
"2017-08-17",49
"2017-08-18",33
"2017-08-19",30
"2017-08-20",41
"2017-08-21",56
"2017-08-22",47
"2017-08-23",47
"2017-08-24",40
"2017-08-25",36
"2017-08-26",28
"2017-08-27",34
"2017-08-28",44
"2017-08-29",42
"2017-08-30",41
"2017-08-31",34
"2017-09-01",43
"2017-09-02",28
"2017-09-03",43
"2017-09-04",57
"2017-09-05",46
"2017-09-06",50
"2017-09-07",40
"2017-09-08",33
"2017-09-09",24
"2017-09-10",38
"2017-09-11",42
"2017-09-12",40
"2017-09-13",36
"2017-09-14",36
"2017-09-15",28
"2017-09-16",20
"2017-09-17",31
"2017-09-18",36
"2017-09-19",37
"2017-09-20",31
"2017-09-21",34
"2017-09-22",26
"2017-09-23",17
"2017-09-24",21
"2017-09-25",37
"2017-09-26",35
"2017-09-27",29
"2017-09-28",25
"2017-09-29",14
"2017-09-30",13
"2017-10-01",10
"2017-10-02",16
"2017-10-03",11
"2017-10-04",15
"2017-10-05",18
"2017-10-06",20
"2017-10-07",28
"2017-10-08",35
"2017-10-09",52
"2017-10-10",54
"2017-10-11",54
"2017-10-12",55
"2017-10-13",43
"2017-10-14",26
"2017-10-15",41
"2017-10-16",56
"2017-10-17",50
"2017-10-18",43
"2017-10-19",41
"2017-10-20",28
"2017-10-21",23
"2017-10-22",36
"2017-10-23",46
"2017-10-24",50
"2017-10-25",39
"2017-10-26",36
"2017-10-27",29
"2017-10-28",22
"2017-10-29",34
"2017-10-30",35
"2017-10-31",33
"2017-11-01",43
"2017-11-02",34
"2017-11-03",27
"2017-11-04",23
"2017-11-05",30
"2017-11-06",46
"2017-11-07",41
"2017-11-08",35
"2017-11-09",37
"2017-11-10",28
"2017-11-11",24
"2017-11-12",30
"2017-11-13",48
"2017-11-14",43
"2017-11-15",32
"2017-11-16",30
"2017-11-17",29
"2017-11-18",27
"2017-11-19",36
"2017-11-20",42
"2017-11-21",44
"2017-11-22",39
"2017-11-23",31
"2017-11-24",27
"2017-11-25",27
"2017-11-26",35
"2017-11-27",42
"2017-11-28",35
"2017-11-29",43
"2017-11-30",33
"2017-12-01",28
"2017-12-02",27
"2017-12-03",34
"2017-12-04",48
"2017-12-05",44
"2017-12-06",36
"2017-12-07",38
"2017-12-08",26
"2017-12-09",27
"2017-12-10",38
"2017-12-11",41
"2017-12-12",32
"2017-12-13",36
"2017-12-14",28
"2017-12-15",25
"2017-12-16",25
"2017-12-17",42
"2017-12-18",47
"2017-12-19",39
"2017-12-20",40
"2017-12-21",43
"2017-12-22",24
"2017-12-23",23
"2017-12-24",23
"2017-12-25",31
"2017-12-26",44
"2017-12-27",47
"2017-12-28",45
"2017-12-29",35
"2017-12-30",32
"2017-12-31",36
"2018-01-01",63
"2018-01-02",86
"2018-01-03",100
"2018-01-04",82
"2018-01-05",65
"2018-01-06",54
"2018-01-07",74
"2018-01-08",86
"2018-01-09",72
"2018-01-10",67
"2018-01-11",70
"2018-01-12",55
"2018-01-13",50
"2018-01-14",72
"2018-01-15",100
"2018-01-16",88
"2018-01-17",67
"2018-01-18",57
"2018-01-19",64
"2018-01-20",50
"2018-01-21",62
"2018-01-22",76
"2018-01-23",79
"2018-01-24",79
"2018-01-25",66
"2018-01-26",58
"2018-01-27",50
"2018-01-28",69
"2018-01-29",79
"2018-01-30",76
"2018-01-31",74
"2018-02-01",75
"2018-02-02",54
"2018-02-03",48
"2018-02-04",60
"2018-02-05",81
"2018-02-06",76
"2018-02-07",62
"2018-02-08",46
"2018-02-09",33
"2018-02-10",28
"2018-02-11",34
"2018-02-12",36
"2018-02-13",28
"2018-02-14",24
"2018-02-15",19
"2018-02-16",24
"2018-02-17",28
"2018-02-18",55
"2018-02-19",78
"2018-02-20",79
"2018-02-21",73
"2018-02-22",57
"2018-02-23",41
"2018-02-24",39
"2018-02-25",60
"2018-02-26",67
"2018-02-27",62
"2018-02-28",55
"2018-03-01",61
"2018-03-02",52
"2018-03-03",51
"2018-03-04",73
"2018-03-05",71
"2018-03-06",73
"2018-03-07",67
"2018-03-08",65
"2018-03-09",49
"2018-03-10",34
"2018-03-11",53
"2018-03-12",71
"2018-03-13",60
"2018-03-14",55
"2018-03-15",50
"2018-03-16",42
"2018-03-17",36
"2018-03-18",51
"2018-03-19",62
"2018-03-20",76
"2018-03-21",67
"2018-03-22",59
"2018-03-23",45
"2018-03-24",47
"2018-03-25",52
"2018-03-26",74
"2018-03-27",65
"2018-03-28",58
"2018-03-29",44
"2018-03-30",36
"2018-03-31",31
"2018-04-01",53
"2018-04-02",63
"2018-04-03",56
"2018-04-04",51
"2018-04-05",57
"2018-04-06",44
"2018-04-07",36
"2018-04-08",61
"2018-04-09",70
"2018-04-10",68
"2018-04-11",67
"2018-04-12",53
"2018-04-13",44
"2018-04-14",43
"2018-04-15",63
"2018-04-16",78
"2018-04-17",65
"2018-04-18",64
"2018-04-19",60
