네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","귤"
"2017-08-01",4
"2017-08-02",5
"2017-08-03",4
"2017-08-04",4
"2017-08-05",3
"2017-08-06",4
"2017-08-07",5
"2017-08-08",7
"2017-08-09",5
"2017-08-10",6
"2017-08-11",3
"2017-08-12",3
"2017-08-13",3
"2017-08-14",3
"2017-08-15",6
"2017-08-16",6
"2017-08-17",6
"2017-08-18",5
"2017-08-19",6
"2017-08-20",6
"2017-08-21",7
"2017-08-22",7
"2017-08-23",8
"2017-08-24",7
"2017-08-25",5
"2017-08-26",6
"2017-08-27",8
"2017-08-28",8
"2017-08-29",9
"2017-08-30",11
"2017-08-31",9
"2017-09-01",7
"2017-09-02",7
"2017-09-03",8
"2017-09-04",12
"2017-09-05",10
"2017-09-06",10
"2017-09-07",10
"2017-09-08",8
"2017-09-09",6
"2017-09-10",7
"2017-09-11",13
"2017-09-12",12
"2017-09-13",10
"2017-09-14",12
"2017-09-15",7
"2017-09-16",9
"2017-09-17",14
"2017-09-18",16
"2017-09-19",19
"2017-09-20",17
"2017-09-21",17
"2017-09-22",12
"2017-09-23",13
"2017-09-24",14
"2017-09-25",17
"2017-09-26",18
"2017-09-27",16
"2017-09-28",11
"2017-09-29",6
"2017-09-30",4
"2017-10-01",4
"2017-10-02",3
"2017-10-03",3
"2017-10-04",4
"2017-10-05",4
"2017-10-06",7
"2017-10-07",6
"2017-10-08",12
"2017-10-09",18
"2017-10-10",29
"2017-10-11",28
"2017-10-12",30
"2017-10-13",28
"2017-10-14",19
"2017-10-15",32
"2017-10-16",41
"2017-10-17",37
"2017-10-18",38
"2017-10-19",30
"2017-10-20",23
"2017-10-21",22
"2017-10-22",38
"2017-10-23",52
"2017-10-24",46
"2017-10-25",41
"2017-10-26",26
"2017-10-27",19
"2017-10-28",22
"2017-10-29",30
"2017-10-30",40
"2017-10-31",38
"2017-11-01",35
"2017-11-02",34
"2017-11-03",28
"2017-11-04",28
"2017-11-05",36
"2017-11-06",43
"2017-11-07",42
"2017-11-08",43
"2017-11-09",42
"2017-11-10",35
"2017-11-11",29
"2017-11-12",46
"2017-11-13",53
"2017-11-14",53
"2017-11-15",42
"2017-11-16",43
"2017-11-17",41
"2017-11-18",37
"2017-11-19",51
"2017-11-20",60
"2017-11-21",56
"2017-11-22",49
"2017-11-23",44
"2017-11-24",41
"2017-11-25",39
"2017-11-26",56
"2017-11-27",55
"2017-11-28",58
"2017-11-29",50
"2017-11-30",55
"2017-12-01",49
"2017-12-02",45
"2017-12-03",57
"2017-12-04",66
"2017-12-05",59
"2017-12-06",58
"2017-12-07",57
"2017-12-08",45
"2017-12-09",48
"2017-12-10",52
"2017-12-11",69
"2017-12-12",63
"2017-12-13",50
"2017-12-14",53
"2017-12-15",36
"2017-12-16",44
"2017-12-17",57
"2017-12-18",54
"2017-12-19",44
"2017-12-20",54
"2017-12-21",47
"2017-12-22",28
"2017-12-23",25
"2017-12-24",29
"2017-12-25",38
"2017-12-26",46
"2017-12-27",54
"2017-12-28",49
"2017-12-29",38
"2017-12-30",38
"2017-12-31",31
"2018-01-01",54
"2018-01-02",69
"2018-01-03",80
"2018-01-04",67
"2018-01-05",53
"2018-01-06",49
"2018-01-07",73
"2018-01-08",100
"2018-01-09",86
"2018-01-10",73
"2018-01-11",77
"2018-01-12",53
"2018-01-13",56
"2018-01-14",77
"2018-01-15",90
"2018-01-16",80
"2018-01-17",68
"2018-01-18",68
"2018-01-19",44
"2018-01-20",40
"2018-01-21",65
"2018-01-22",71
"2018-01-23",68
"2018-01-24",66
"2018-01-25",56
"2018-01-26",44
"2018-01-27",41
"2018-01-28",62
"2018-01-29",67
"2018-01-30",70
"2018-01-31",59
"2018-02-01",52
"2018-02-02",35
"2018-02-03",35
"2018-02-04",61
"2018-02-05",54
"2018-02-06",47
"2018-02-07",36
"2018-02-08",26
"2018-02-09",20
"2018-02-10",16
"2018-02-11",22
"2018-02-12",14
"2018-02-13",9
"2018-02-14",4
"2018-02-15",7
"2018-02-16",6
"2018-02-17",9
"2018-02-18",16
"2018-02-19",20
"2018-02-20",19
"2018-02-21",19
"2018-02-22",16
"2018-02-23",13
"2018-02-24",9
"2018-02-25",13
"2018-02-26",16
"2018-02-27",12
"2018-02-28",10
"2018-03-01",12
"2018-03-02",11
"2018-03-03",7
"2018-03-04",14
"2018-03-05",12
"2018-03-06",11
"2018-03-07",10
"2018-03-08",9
"2018-03-09",5
"2018-03-10",6
"2018-03-11",8
"2018-03-12",8
"2018-03-13",7
"2018-03-14",8
"2018-03-15",7
"2018-03-16",4
"2018-03-17",3
"2018-03-18",6
"2018-03-19",6
"2018-03-20",6
"2018-03-21",5
"2018-03-22",4
"2018-03-23",4
"2018-03-24",3
"2018-03-25",5
"2018-03-26",6
"2018-03-27",5
"2018-03-28",3
"2018-03-29",4
"2018-03-30",3
"2018-03-31",2
"2018-04-01",4
"2018-04-02",3
"2018-04-03",3
"2018-04-04",3
"2018-04-05",2
"2018-04-06",2
"2018-04-07",3
"2018-04-08",3
"2018-04-09",4
"2018-04-10",4
"2018-04-11",4
"2018-04-12",3
"2018-04-13",2
"2018-04-14",3
"2018-04-15",4
"2018-04-16",4
"2018-04-17",3
"2018-04-18",2
"2018-04-19",3
