네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아보카도"
"2017-08-01",42
"2017-08-02",37
"2017-08-03",37
"2017-08-04",30
"2017-08-05",33
"2017-08-06",37
"2017-08-07",49
"2017-08-08",39
"2017-08-09",46
"2017-08-10",36
"2017-08-11",24
"2017-08-12",28
"2017-08-13",29
"2017-08-14",40
"2017-08-15",39
"2017-08-16",48
"2017-08-17",36
"2017-08-18",30
"2017-08-19",24
"2017-08-20",37
"2017-08-21",49
"2017-08-22",40
"2017-08-23",37
"2017-08-24",42
"2017-08-25",24
"2017-08-26",28
"2017-08-27",34
"2017-08-28",27
"2017-08-29",29
"2017-08-30",30
"2017-08-31",31
"2017-09-01",23
"2017-09-02",24
"2017-09-03",38
"2017-09-04",49
"2017-09-05",49
"2017-09-06",38
"2017-09-07",37
"2017-09-08",35
"2017-09-09",27
"2017-09-10",37
"2017-09-11",43
"2017-09-12",50
"2017-09-13",42
"2017-09-14",36
"2017-09-15",31
"2017-09-16",21
"2017-09-17",34
"2017-09-18",42
"2017-09-19",48
"2017-09-20",37
"2017-09-21",45
"2017-09-22",33
"2017-09-23",26
"2017-09-24",32
"2017-09-25",42
"2017-09-26",36
"2017-09-27",31
"2017-09-28",26
"2017-09-29",16
"2017-09-30",13
"2017-10-01",15
"2017-10-02",13
"2017-10-03",13
"2017-10-04",10
"2017-10-05",14
"2017-10-06",15
"2017-10-07",19
"2017-10-08",27
"2017-10-09",34
"2017-10-10",42
"2017-10-11",32
"2017-10-12",37
"2017-10-13",22
"2017-10-14",19
"2017-10-15",24
"2017-10-16",30
"2017-10-17",25
"2017-10-18",30
"2017-10-19",21
"2017-10-20",19
"2017-10-21",20
"2017-10-22",20
"2017-10-23",31
"2017-10-24",18
"2017-10-25",23
"2017-10-26",36
"2017-10-27",19
"2017-10-28",18
"2017-10-29",21
"2017-10-30",27
"2017-10-31",21
"2017-11-01",29
"2017-11-02",28
"2017-11-03",25
"2017-11-04",25
"2017-11-05",26
"2017-11-06",39
"2017-11-07",30
"2017-11-08",30
"2017-11-09",25
"2017-11-10",16
"2017-11-11",13
"2017-11-12",26
"2017-11-13",28
"2017-11-14",28
"2017-11-15",20
"2017-11-16",20
"2017-11-17",22
"2017-11-18",17
"2017-11-19",23
"2017-11-20",24
"2017-11-21",22
"2017-11-22",21
"2017-11-23",19
"2017-11-24",15
"2017-11-25",18
"2017-11-26",20
"2017-11-27",25
"2017-11-28",23
"2017-11-29",27
"2017-11-30",24
"2017-12-01",23
"2017-12-02",18
"2017-12-03",21
"2017-12-04",25
"2017-12-05",26
"2017-12-06",24
"2017-12-07",24
"2017-12-08",23
"2017-12-09",19
"2017-12-10",27
"2017-12-11",33
"2017-12-12",30
"2017-12-13",29
"2017-12-14",32
"2017-12-15",18
"2017-12-16",19
"2017-12-17",37
"2017-12-18",36
"2017-12-19",29
"2017-12-20",28
"2017-12-21",29
"2017-12-22",24
"2017-12-23",20
"2017-12-24",21
"2017-12-25",32
"2017-12-26",34
"2017-12-27",46
"2017-12-28",37
"2017-12-29",21
"2017-12-30",28
"2017-12-31",28
"2018-01-01",27
"2018-01-02",38
"2018-01-03",43
"2018-01-04",32
"2018-01-05",24
"2018-01-06",27
"2018-01-07",33
"2018-01-08",45
"2018-01-09",36
"2018-01-10",43
"2018-01-11",39
"2018-01-12",27
"2018-01-13",28
"2018-01-14",47
"2018-01-15",40
"2018-01-16",47
"2018-01-17",44
"2018-01-18",53
"2018-01-19",42
"2018-01-20",46
"2018-01-21",50
"2018-01-22",65
"2018-01-23",68
"2018-01-24",83
"2018-01-25",51
"2018-01-26",41
"2018-01-27",75
"2018-01-28",62
"2018-01-29",70
"2018-01-30",61
"2018-01-31",70
"2018-02-01",61
"2018-02-02",69
"2018-02-03",51
"2018-02-04",57
"2018-02-05",48
"2018-02-06",49
"2018-02-07",49
"2018-02-08",41
"2018-02-09",32
"2018-02-10",32
"2018-02-11",36
"2018-02-12",32
"2018-02-13",22
"2018-02-14",16
"2018-02-15",16
"2018-02-16",19
"2018-02-17",21
"2018-02-18",31
"2018-02-19",39
"2018-02-20",34
"2018-02-21",43
"2018-02-22",34
"2018-02-23",48
"2018-02-24",33
"2018-02-25",40
"2018-02-26",75
"2018-02-27",62
"2018-02-28",55
"2018-03-01",52
"2018-03-02",58
"2018-03-03",45
"2018-03-04",50
"2018-03-05",50
"2018-03-06",50
"2018-03-07",54
"2018-03-08",42
"2018-03-09",43
"2018-03-10",48
"2018-03-11",40
"2018-03-12",73
"2018-03-13",65
"2018-03-14",41
"2018-03-15",52
"2018-03-16",39
"2018-03-17",42
"2018-03-18",51
"2018-03-19",100
"2018-03-20",66
"2018-03-21",75
"2018-03-22",72
"2018-03-23",55
"2018-03-24",48
"2018-03-25",52
"2018-03-26",72
"2018-03-27",94
"2018-03-28",67
"2018-03-29",69
"2018-03-30",52
"2018-03-31",46
"2018-04-01",45
"2018-04-02",65
"2018-04-03",61
"2018-04-04",71
"2018-04-05",62
"2018-04-06",58
"2018-04-07",73
"2018-04-08",57
"2018-04-09",77
"2018-04-10",79
"2018-04-11",79
"2018-04-12",66
"2018-04-13",49
"2018-04-14",53
"2018-04-15",81
"2018-04-16",80
"2018-04-17",67
"2018-04-18",76
"2018-04-19",73
