네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","멸균우유"
"2017-08-01",33
"2017-08-02",29
"2017-08-03",29
"2017-08-04",27
"2017-08-05",23
"2017-08-06",29
"2017-08-07",44
"2017-08-08",46
"2017-08-09",37
"2017-08-10",31
"2017-08-11",28
"2017-08-12",19
"2017-08-13",26
"2017-08-14",44
"2017-08-15",40
"2017-08-16",40
"2017-08-17",41
"2017-08-18",32
"2017-08-19",24
"2017-08-20",34
"2017-08-21",42
"2017-08-22",35
"2017-08-23",34
"2017-08-24",33
"2017-08-25",27
"2017-08-26",24
"2017-08-27",28
"2017-08-28",37
"2017-08-29",44
"2017-08-30",35
"2017-08-31",40
"2017-09-01",30
"2017-09-02",23
"2017-09-03",36
"2017-09-04",44
"2017-09-05",50
"2017-09-06",40
"2017-09-07",34
"2017-09-08",23
"2017-09-09",25
"2017-09-10",34
"2017-09-11",50
"2017-09-12",38
"2017-09-13",44
"2017-09-14",35
"2017-09-15",29
"2017-09-16",26
"2017-09-17",33
"2017-09-18",48
"2017-09-19",40
"2017-09-20",43
"2017-09-21",31
"2017-09-22",23
"2017-09-23",17
"2017-09-24",28
"2017-09-25",48
"2017-09-26",42
"2017-09-27",31
"2017-09-28",24
"2017-09-29",13
"2017-09-30",12
"2017-10-01",18
"2017-10-02",11
"2017-10-03",11
"2017-10-04",10
"2017-10-05",17
"2017-10-06",27
"2017-10-07",30
"2017-10-08",37
"2017-10-09",63
"2017-10-10",73
"2017-10-11",58
"2017-10-12",43
"2017-10-13",32
"2017-10-14",27
"2017-10-15",40
"2017-10-16",61
"2017-10-17",45
"2017-10-18",41
"2017-10-19",39
"2017-10-20",36
"2017-10-21",21
"2017-10-22",35
"2017-10-23",47
"2017-10-24",44
"2017-10-25",50
"2017-10-26",40
"2017-10-27",41
"2017-10-28",26
"2017-10-29",36
"2017-10-30",45
"2017-10-31",43
"2017-11-01",44
"2017-11-02",42
"2017-11-03",35
"2017-11-04",28
"2017-11-05",36
"2017-11-06",48
"2017-11-07",56
"2017-11-08",48
"2017-11-09",40
"2017-11-10",29
"2017-11-11",28
"2017-11-12",39
"2017-11-13",64
"2017-11-14",58
"2017-11-15",42
"2017-11-16",37
"2017-11-17",36
"2017-11-18",27
"2017-11-19",40
"2017-11-20",54
"2017-11-21",43
"2017-11-22",42
"2017-11-23",38
"2017-11-24",31
"2017-11-25",23
"2017-11-26",46
"2017-11-27",55
"2017-11-28",51
"2017-11-29",47
"2017-11-30",42
"2017-12-01",32
"2017-12-02",23
"2017-12-03",46
"2017-12-04",55
"2017-12-05",47
"2017-12-06",45
"2017-12-07",42
"2017-12-08",35
"2017-12-09",26
"2017-12-10",35
"2017-12-11",54
"2017-12-12",49
"2017-12-13",38
"2017-12-14",31
"2017-12-15",29
"2017-12-16",32
"2017-12-17",47
"2017-12-18",53
"2017-12-19",43
"2017-12-20",45
"2017-12-21",41
"2017-12-22",28
"2017-12-23",23
"2017-12-24",30
"2017-12-25",40
"2017-12-26",52
"2017-12-27",55
"2017-12-28",47
"2017-12-29",29
"2017-12-30",27
"2017-12-31",31
"2018-01-01",55
"2018-01-02",69
"2018-01-03",67
"2018-01-04",58
"2018-01-05",40
"2018-01-06",48
"2018-01-07",61
"2018-01-08",72
"2018-01-09",55
"2018-01-10",62
"2018-01-11",59
"2018-01-12",53
"2018-01-13",43
"2018-01-14",55
"2018-01-15",67
"2018-01-16",69
"2018-01-17",67
"2018-01-18",51
"2018-01-19",39
"2018-01-20",31
"2018-01-21",56
"2018-01-22",66
"2018-01-23",65
"2018-01-24",55
"2018-01-25",51
"2018-01-26",45
"2018-01-27",42
"2018-01-28",56
"2018-01-29",64
"2018-01-30",58
"2018-01-31",52
"2018-02-01",62
"2018-02-02",46
"2018-02-03",43
"2018-02-04",61
"2018-02-05",75
"2018-02-06",67
"2018-02-07",57
"2018-02-08",52
"2018-02-09",35
"2018-02-10",31
"2018-02-11",40
"2018-02-12",34
"2018-02-13",24
"2018-02-14",17
"2018-02-15",19
"2018-02-16",15
"2018-02-17",32
"2018-02-18",61
"2018-02-19",78
"2018-02-20",80
"2018-02-21",65
"2018-02-22",59
"2018-02-23",45
"2018-02-24",47
"2018-02-25",59
"2018-02-26",72
"2018-02-27",69
"2018-02-28",59
"2018-03-01",68
"2018-03-02",49
"2018-03-03",50
"2018-03-04",87
"2018-03-05",100
"2018-03-06",85
"2018-03-07",66
"2018-03-08",80
"2018-03-09",54
"2018-03-10",45
"2018-03-11",77
"2018-03-12",73
"2018-03-13",72
"2018-03-14",57
"2018-03-15",45
"2018-03-16",49
"2018-03-17",40
"2018-03-18",67
"2018-03-19",92
"2018-03-20",68
"2018-03-21",74
"2018-03-22",63
"2018-03-23",42
"2018-03-24",35
"2018-03-25",52
"2018-03-26",77
"2018-03-27",64
"2018-03-28",59
"2018-03-29",58
"2018-03-30",37
"2018-03-31",36
"2018-04-01",60
"2018-04-02",71
"2018-04-03",62
"2018-04-04",59
"2018-04-05",54
"2018-04-06",48
"2018-04-07",37
"2018-04-08",46
"2018-04-09",65
"2018-04-10",65
"2018-04-11",68
"2018-04-12",53
"2018-04-13",44
"2018-04-14",43
"2018-04-15",55
"2018-04-16",74
"2018-04-17",66
"2018-04-18",64
"2018-04-19",45
