네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","탄산수"
"2017-08-01",58
"2017-08-02",65
"2017-08-03",49
"2017-08-04",41
"2017-08-05",44
"2017-08-06",58
"2017-08-07",71
"2017-08-08",57
"2017-08-09",54
"2017-08-10",48
"2017-08-11",38
"2017-08-12",36
"2017-08-13",60
"2017-08-14",50
"2017-08-15",51
"2017-08-16",48
"2017-08-17",45
"2017-08-18",44
"2017-08-19",34
"2017-08-20",46
"2017-08-21",50
"2017-08-22",47
"2017-08-23",41
"2017-08-24",48
"2017-08-25",39
"2017-08-26",34
"2017-08-27",51
"2017-08-28",45
"2017-08-29",46
"2017-08-30",42
"2017-08-31",40
"2017-09-01",34
"2017-09-02",32
"2017-09-03",57
"2017-09-04",57
"2017-09-05",42
"2017-09-06",37
"2017-09-07",38
"2017-09-08",37
"2017-09-09",34
"2017-09-10",53
"2017-09-11",47
"2017-09-12",47
"2017-09-13",41
"2017-09-14",37
"2017-09-15",27
"2017-09-16",28
"2017-09-17",51
"2017-09-18",50
"2017-09-19",45
"2017-09-20",38
"2017-09-21",39
"2017-09-22",34
"2017-09-23",33
"2017-09-24",39
"2017-09-25",49
"2017-09-26",49
"2017-09-27",42
"2017-09-28",32
"2017-09-29",18
"2017-09-30",23
"2017-10-01",28
"2017-10-02",21
"2017-10-03",22
"2017-10-04",20
"2017-10-05",24
"2017-10-06",37
"2017-10-07",41
"2017-10-08",48
"2017-10-09",62
"2017-10-10",77
"2017-10-11",59
"2017-10-12",42
"2017-10-13",32
"2017-10-14",28
"2017-10-15",51
"2017-10-16",57
"2017-10-17",45
"2017-10-18",54
"2017-10-19",50
"2017-10-20",47
"2017-10-21",36
"2017-10-22",48
"2017-10-23",55
"2017-10-24",45
"2017-10-25",26
"2017-10-26",38
"2017-10-27",33
"2017-10-28",33
"2017-10-29",47
"2017-10-30",43
"2017-10-31",38
"2017-11-01",36
"2017-11-02",39
"2017-11-03",27
"2017-11-04",27
"2017-11-05",41
"2017-11-06",47
"2017-11-07",39
"2017-11-08",42
"2017-11-09",38
"2017-11-10",29
"2017-11-11",27
"2017-11-12",48
"2017-11-13",46
"2017-11-14",42
"2017-11-15",43
"2017-11-16",30
"2017-11-17",27
"2017-11-18",23
"2017-11-19",37
"2017-11-20",34
"2017-11-21",35
"2017-11-22",33
"2017-11-23",32
"2017-11-24",26
"2017-11-25",31
"2017-11-26",40
"2017-11-27",45
"2017-11-28",44
"2017-11-29",43
"2017-11-30",39
"2017-12-01",28
"2017-12-02",42
"2017-12-03",58
"2017-12-04",57
"2017-12-05",42
"2017-12-06",37
"2017-12-07",46
"2017-12-08",32
"2017-12-09",42
"2017-12-10",49
"2017-12-11",57
"2017-12-12",47
"2017-12-13",43
"2017-12-14",38
"2017-12-15",34
"2017-12-16",44
"2017-12-17",67
"2017-12-18",57
"2017-12-19",50
"2017-12-20",49
"2017-12-21",34
"2017-12-22",33
"2017-12-23",28
"2017-12-24",34
"2017-12-25",62
"2017-12-26",53
"2017-12-27",44
"2017-12-28",43
"2017-12-29",38
"2017-12-30",33
"2017-12-31",41
"2018-01-01",61
"2018-01-02",64
"2018-01-03",63
"2018-01-04",67
"2018-01-05",43
"2018-01-06",47
"2018-01-07",78
"2018-01-08",61
"2018-01-09",52
"2018-01-10",55
"2018-01-11",50
"2018-01-12",42
"2018-01-13",53
"2018-01-14",73
"2018-01-15",77
"2018-01-16",71
"2018-01-17",67
"2018-01-18",60
"2018-01-19",49
"2018-01-20",59
"2018-01-21",62
"2018-01-22",59
"2018-01-23",60
"2018-01-24",49
"2018-01-25",42
"2018-01-26",40
"2018-01-27",46
"2018-01-28",66
"2018-01-29",61
"2018-01-30",54
"2018-01-31",52
"2018-02-01",45
"2018-02-02",44
"2018-02-03",58
"2018-02-04",83
"2018-02-05",78
"2018-02-06",76
"2018-02-07",65
"2018-02-08",57
"2018-02-09",45
"2018-02-10",62
"2018-02-11",71
"2018-02-12",59
"2018-02-13",42
"2018-02-14",37
"2018-02-15",34
"2018-02-16",32
"2018-02-17",56
"2018-02-18",85
"2018-02-19",86
"2018-02-20",84
"2018-02-21",76
"2018-02-22",59
"2018-02-23",48
"2018-02-24",55
"2018-02-25",68
"2018-02-26",77
"2018-02-27",81
"2018-02-28",56
"2018-03-01",72
"2018-03-02",57
"2018-03-03",60
"2018-03-04",83
"2018-03-05",76
"2018-03-06",73
"2018-03-07",74
"2018-03-08",76
"2018-03-09",48
"2018-03-10",55
"2018-03-11",82
"2018-03-12",90
"2018-03-13",74
"2018-03-14",74
"2018-03-15",83
"2018-03-16",56
"2018-03-17",62
"2018-03-18",92
"2018-03-19",76
"2018-03-20",72
"2018-03-21",74
"2018-03-22",63
"2018-03-23",45
"2018-03-24",56
"2018-03-25",87
"2018-03-26",94
"2018-03-27",78
"2018-03-28",73
"2018-03-29",79
"2018-03-30",60
"2018-03-31",57
"2018-04-01",97
"2018-04-02",100
"2018-04-03",93
"2018-04-04",76
"2018-04-05",74
"2018-04-06",53
"2018-04-07",60
"2018-04-08",81
"2018-04-09",79
"2018-04-10",73
"2018-04-11",94
"2018-04-12",78
"2018-04-13",61
"2018-04-14",69
"2018-04-15",82
"2018-04-16",83
"2018-04-17",91
"2018-04-18",79
"2018-04-19",72
