네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","호박고구마"
"2017-08-01",15
"2017-08-02",14
"2017-08-03",12
"2017-08-04",13
"2017-08-05",9
"2017-08-06",16
"2017-08-07",18
"2017-08-08",19
"2017-08-09",22
"2017-08-10",24
"2017-08-11",18
"2017-08-12",17
"2017-08-13",22
"2017-08-14",27
"2017-08-15",39
"2017-08-16",35
"2017-08-17",38
"2017-08-18",32
"2017-08-19",22
"2017-08-20",45
"2017-08-21",44
"2017-08-22",38
"2017-08-23",40
"2017-08-24",33
"2017-08-25",23
"2017-08-26",30
"2017-08-27",39
"2017-08-28",64
"2017-08-29",60
"2017-08-30",51
"2017-08-31",34
"2017-09-01",38
"2017-09-02",26
"2017-09-03",48
"2017-09-04",52
"2017-09-05",54
"2017-09-06",45
"2017-09-07",55
"2017-09-08",36
"2017-09-09",39
"2017-09-10",46
"2017-09-11",64
"2017-09-12",54
"2017-09-13",62
"2017-09-14",45
"2017-09-15",31
"2017-09-16",32
"2017-09-17",57
"2017-09-18",61
"2017-09-19",51
"2017-09-20",44
"2017-09-21",45
"2017-09-22",31
"2017-09-23",37
"2017-09-24",40
"2017-09-25",40
"2017-09-26",32
"2017-09-27",30
"2017-09-28",25
"2017-09-29",14
"2017-09-30",18
"2017-10-01",19
"2017-10-02",12
"2017-10-03",11
"2017-10-04",14
"2017-10-05",36
"2017-10-06",36
"2017-10-07",45
"2017-10-08",59
"2017-10-09",68
"2017-10-10",68
"2017-10-11",83
"2017-10-12",77
"2017-10-13",54
"2017-10-14",52
"2017-10-15",64
"2017-10-16",69
"2017-10-17",68
"2017-10-18",79
"2017-10-19",66
"2017-10-20",48
"2017-10-21",37
"2017-10-22",74
"2017-10-23",68
"2017-10-24",70
"2017-10-25",73
"2017-10-26",69
"2017-10-27",48
"2017-10-28",39
"2017-10-29",63
"2017-10-30",67
"2017-10-31",67
"2017-11-01",67
"2017-11-02",50
"2017-11-03",39
"2017-11-04",39
"2017-11-05",64
"2017-11-06",68
"2017-11-07",64
"2017-11-08",50
"2017-11-09",47
"2017-11-10",40
"2017-11-11",39
"2017-11-12",51
"2017-11-13",69
"2017-11-14",60
"2017-11-15",60
"2017-11-16",58
"2017-11-17",43
"2017-11-18",38
"2017-11-19",74
"2017-11-20",72
"2017-11-21",66
"2017-11-22",53
"2017-11-23",47
"2017-11-24",41
"2017-11-25",43
"2017-11-26",65
"2017-11-27",72
"2017-11-28",65
"2017-11-29",70
"2017-11-30",58
"2017-12-01",53
"2017-12-02",51
"2017-12-03",69
"2017-12-04",92
"2017-12-05",78
"2017-12-06",71
"2017-12-07",72
"2017-12-08",60
"2017-12-09",50
"2017-12-10",74
"2017-12-11",86
"2017-12-12",81
"2017-12-13",74
"2017-12-14",70
"2017-12-15",47
"2017-12-16",55
"2017-12-17",69
"2017-12-18",76
"2017-12-19",66
"2017-12-20",78
"2017-12-21",58
"2017-12-22",46
"2017-12-23",39
"2017-12-24",42
"2017-12-25",56
"2017-12-26",71
"2017-12-27",60
"2017-12-28",53
"2017-12-29",32
"2017-12-30",43
"2017-12-31",28
"2018-01-01",51
"2018-01-02",89
"2018-01-03",85
"2018-01-04",75
"2018-01-05",49
"2018-01-06",42
"2018-01-07",62
"2018-01-08",68
"2018-01-09",76
"2018-01-10",73
"2018-01-11",72
"2018-01-12",55
"2018-01-13",63
"2018-01-14",72
"2018-01-15",100
"2018-01-16",84
"2018-01-17",76
"2018-01-18",59
"2018-01-19",47
"2018-01-20",57
"2018-01-21",76
"2018-01-22",83
"2018-01-23",76
"2018-01-24",74
"2018-01-25",66
"2018-01-26",56
"2018-01-27",65
"2018-01-28",87
"2018-01-29",92
"2018-01-30",91
"2018-01-31",78
"2018-02-01",69
"2018-02-02",54
"2018-02-03",50
"2018-02-04",75
"2018-02-05",88
"2018-02-06",96
"2018-02-07",73
"2018-02-08",56
"2018-02-09",43
"2018-02-10",32
"2018-02-11",40
"2018-02-12",34
"2018-02-13",21
"2018-02-14",14
"2018-02-15",13
"2018-02-16",20
"2018-02-17",22
"2018-02-18",48
"2018-02-19",62
"2018-02-20",53
"2018-02-21",48
"2018-02-22",40
"2018-02-23",28
"2018-02-24",29
"2018-02-25",37
"2018-02-26",52
"2018-02-27",49
"2018-02-28",40
"2018-03-01",34
"2018-03-02",29
"2018-03-03",32
"2018-03-04",41
"2018-03-05",47
"2018-03-06",49
"2018-03-07",60
"2018-03-08",41
"2018-03-09",28
"2018-03-10",24
"2018-03-11",26
"2018-03-12",38
"2018-03-13",32
"2018-03-14",25
"2018-03-15",23
"2018-03-16",21
"2018-03-17",26
"2018-03-18",30
"2018-03-19",52
"2018-03-20",38
"2018-03-21",35
"2018-03-22",29
"2018-03-23",20
"2018-03-24",21
"2018-03-25",25
"2018-03-26",36
"2018-03-27",41
"2018-03-28",27
"2018-03-29",25
"2018-03-30",13
"2018-03-31",16
"2018-04-01",29
"2018-04-02",32
"2018-04-03",31
"2018-04-04",28
"2018-04-05",22
"2018-04-06",18
"2018-04-07",19
"2018-04-08",24
"2018-04-09",34
"2018-04-10",27
"2018-04-11",28
"2018-04-12",27
"2018-04-13",20
"2018-04-14",20
"2018-04-15",22
"2018-04-16",29
"2018-04-17",19
"2018-04-18",21
"2018-04-19",20
