네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","레몬밤분말"
"2017-09-19",
"2017-12-04",
"2017-12-11",
"2017-12-20",
"2017-12-26",1
"2017-12-27",
"2017-12-28",
"2017-12-29",
"2017-12-31",
"2018-01-01",
"2018-01-02",
"2018-01-03",
"2018-01-04",
"2018-01-05",
"2018-01-06",
"2018-01-07",
"2018-01-09",
"2018-01-10",
"2018-01-11",
"2018-01-12",
"2018-01-13",
"2018-01-14",
"2018-01-15",28
"2018-01-16",3
"2018-01-17",2
"2018-01-18",1
"2018-01-19",4
"2018-01-20",1
"2018-01-21",1
"2018-01-22",1
"2018-01-23",53
"2018-01-24",19
"2018-01-25",7
"2018-01-26",3
"2018-01-27",2
"2018-01-28",1
"2018-01-29",3
"2018-01-30",3
"2018-01-31",2
"2018-02-01",2
"2018-02-02",1
"2018-02-03",1
"2018-02-04",2
"2018-02-05",2
"2018-02-06",3
"2018-02-07",44
"2018-02-08",10
"2018-02-09",5
"2018-02-10",15
"2018-02-11",55
"2018-02-12",16
"2018-02-13",6
"2018-02-14",4
"2018-02-15",3
"2018-02-16",3
"2018-02-17",2
"2018-02-18",3
"2018-02-19",54
"2018-02-20",22
"2018-02-21",9
"2018-02-22",6
"2018-02-23",98
"2018-02-24",12
"2018-02-25",100
"2018-02-26",73
"2018-02-27",24
"2018-02-28",18
"2018-03-01",14
"2018-03-02",66
"2018-03-03",29
"2018-03-04",20
"2018-03-05",21
"2018-03-06",72
"2018-03-07",25
"2018-03-08",25
"2018-03-09",14
"2018-03-10",19
"2018-03-11",9
"2018-03-12",10
"2018-03-13",13
"2018-03-14",8
"2018-03-15",43
"2018-03-16",15
"2018-03-17",8
"2018-03-18",12
"2018-03-19",16
"2018-03-20",7
"2018-03-21",9
"2018-03-22",5
"2018-03-23",5
"2018-03-24",9
"2018-03-25",5
"2018-03-26",6
"2018-03-27",17
"2018-03-28",6
"2018-03-29",5
"2018-03-30",11
"2018-03-31",4
"2018-04-01",5
"2018-04-02",5
"2018-04-03",4
"2018-04-04",63
"2018-04-05",51
"2018-04-06",15
"2018-04-07",29
"2018-04-08",12
"2018-04-09",52
"2018-04-10",15
"2018-04-11",10
"2018-04-12",17
"2018-04-13",6
"2018-04-14",6
"2018-04-15",6
"2018-04-16",5
"2018-04-17",29
"2018-04-18",9
"2018-04-19",7
