네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","게"
"2017-08-01",17
"2017-08-02",6
"2017-08-03",11
"2017-08-04",10
"2017-08-05",7
"2017-08-06",7
"2017-08-07",12
"2017-08-08",15
"2017-08-09",6
"2017-08-10",7
"2017-08-11",26
"2017-08-12",11
"2017-08-13",15
"2017-08-14",20
"2017-08-15",27
"2017-08-16",6
"2017-08-17",2
"2017-08-18",13
"2017-08-19",29
"2017-08-20",25
"2017-08-21",30
"2017-08-22",12
"2017-08-23",24
"2017-08-24",49
"2017-08-25",13
"2017-08-26",24
"2017-08-27",27
"2017-08-28",26
"2017-08-29",25
"2017-08-30",44
"2017-08-31",29
"2017-09-01",20
"2017-09-02",35
"2017-09-03",31
"2017-09-04",46
"2017-09-05",39
"2017-09-06",25
"2017-09-07",52
"2017-09-08",45
"2017-09-09",36
"2017-09-10",31
"2017-09-11",45
"2017-09-12",65
"2017-09-13",37
"2017-09-14",26
"2017-09-15",42
"2017-09-16",18
"2017-09-17",40
"2017-09-18",37
"2017-09-19",33
"2017-09-20",32
"2017-09-21",31
"2017-09-22",25
"2017-09-23",38
"2017-09-24",31
"2017-09-25",43
"2017-09-26",44
"2017-09-27",55
"2017-09-28",46
"2017-09-29",14
"2017-09-30",14
"2017-10-01",6
"2017-10-02",6
"2017-10-03",15
"2017-10-04",5
"2017-10-05",14
"2017-10-06",23
"2017-10-07",39
"2017-10-08",56
"2017-10-09",46
"2017-10-10",39
"2017-10-11",26
"2017-10-12",43
"2017-10-13",19
"2017-10-14",8
"2017-10-15",23
"2017-10-16",31
"2017-10-17",37
"2017-10-18",23
"2017-10-19",31
"2017-10-20",27
"2017-10-21",17
"2017-10-22",24
"2017-10-23",18
"2017-10-24",40
"2017-10-25",40
"2017-10-26",30
"2017-10-27",17
"2017-10-28",23
"2017-10-29",26
"2017-10-30",44
"2017-10-31",26
"2017-11-01",38
"2017-11-02",26
"2017-11-03",26
"2017-11-04",30
"2017-11-05",33
"2017-11-06",27
"2017-11-07",21
"2017-11-08",18
"2017-11-09",49
"2017-11-10",18
"2017-11-11",15
"2017-11-12",40
"2017-11-13",27
"2017-11-14",29
"2017-11-15",42
"2017-11-16",6
"2017-11-17",15
"2017-11-18",31
"2017-11-19",27
"2017-11-20",31
"2017-11-21",11
"2017-11-22",27
"2017-11-23",10
"2017-11-24",12
"2017-11-25",19
"2017-11-26",37
"2017-11-27",24
"2017-11-28",33
"2017-11-29",31
"2017-11-30",45
"2017-12-01",26
"2017-12-02",43
"2017-12-03",43
"2017-12-04",57
"2017-12-05",64
"2017-12-06",32
"2017-12-07",32
"2017-12-08",21
"2017-12-09",32
"2017-12-10",54
"2017-12-11",30
"2017-12-12",31
"2017-12-13",26
"2017-12-14",48
"2017-12-15",19
"2017-12-16",45
"2017-12-17",44
"2017-12-18",51
"2017-12-19",36
"2017-12-20",39
"2017-12-21",48
"2017-12-22",18
"2017-12-23",29
"2017-12-24",49
"2017-12-25",29
"2017-12-26",38
"2017-12-27",49
"2017-12-28",24
"2017-12-29",56
"2017-12-30",31
"2017-12-31",42
"2018-01-01",36
"2018-01-02",26
"2018-01-03",70
"2018-01-04",48
"2018-01-05",37
"2018-01-06",19
"2018-01-07",23
"2018-01-08",67
"2018-01-09",36
"2018-01-10",61
"2018-01-11",58
"2018-01-12",33
"2018-01-13",42
"2018-01-14",37
"2018-01-15",32
"2018-01-16",55
"2018-01-17",19
"2018-01-18",11
"2018-01-19",37
"2018-01-20",24
"2018-01-21",25
"2018-01-22",13
"2018-01-23",32
"2018-01-24",26
"2018-01-25",46
"2018-01-26",42
"2018-01-27",15
"2018-01-28",30
"2018-01-29",20
"2018-01-30",24
"2018-01-31",30
"2018-02-01",18
"2018-02-02",13
"2018-02-03",8
"2018-02-04",20
"2018-02-05",26
"2018-02-06",13
"2018-02-07",23
"2018-02-08",15
"2018-02-09",20
"2018-02-10",8
"2018-02-11",23
"2018-02-12",23
"2018-02-13",19
"2018-02-14",23
"2018-02-15",10
"2018-02-16",12
"2018-02-17",15
"2018-02-18",25
"2018-02-19",21
"2018-02-20",18
"2018-02-21",27
"2018-02-22",26
"2018-02-23",15
"2018-02-24",31
"2018-02-25",27
"2018-02-26",37
"2018-02-27",30
"2018-02-28",25
"2018-03-01",27
"2018-03-02",15
"2018-03-03",13
"2018-03-04",19
"2018-03-05",23
"2018-03-06",32
"2018-03-07",14
"2018-03-08",29
"2018-03-09",19
"2018-03-10",13
"2018-03-11",12
"2018-03-12",27
"2018-03-13",17
"2018-03-14",11
"2018-03-15",25
"2018-03-16",21
"2018-03-17",26
"2018-03-18",27
"2018-03-19",20
"2018-03-20",6
"2018-03-21",25
"2018-03-22",15
"2018-03-23",11
"2018-03-24",21
"2018-03-25",100
"2018-03-26",44
"2018-03-27",30
"2018-03-28",23
"2018-03-29",18
"2018-03-30",25
"2018-03-31",50
"2018-04-01",40
"2018-04-02",57
"2018-04-03",42
"2018-04-04",42
"2018-04-05",19
"2018-04-06",35
"2018-04-07",51
"2018-04-08",23
"2018-04-09",29
"2018-04-10",13
"2018-04-11",21
"2018-04-12",45
"2018-04-13",15
"2018-04-14",14
"2018-04-15",27
"2018-04-16",20
"2018-04-17",33
"2018-04-18",25
"2018-04-19",18
