네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","까르보불닭볶음면"
"2017-12-18",21
"2017-12-19",33
"2017-12-20",27
"2017-12-21",23
"2017-12-22",28
"2017-12-23",40
"2017-12-24",36
"2017-12-25",52
"2017-12-26",100
"2017-12-27",71
"2017-12-28",78
"2017-12-29",50
"2017-12-30",49
"2017-12-31",48
"2018-01-01",48
"2018-01-02",67
"2018-01-03",82
"2018-01-04",84
"2018-01-05",75
"2018-01-06",73
"2018-01-07",75
"2018-01-08",77
"2018-01-09",82
"2018-01-10",66
"2018-01-11",70
"2018-01-12",57
"2018-01-13",41
"2018-01-14",74
"2018-01-15",75
"2018-01-16",71
"2018-01-17",58
"2018-01-18",57
"2018-01-19",38
"2018-01-20",30
"2018-01-21",31
"2018-01-22",34
"2018-01-23",32
"2018-01-24",28
"2018-01-25",25
"2018-01-26",28
"2018-01-27",24
"2018-01-28",26
"2018-01-29",31
"2018-01-30",32
"2018-01-31",26
"2018-02-01",25
"2018-02-02",20
"2018-02-03",17
"2018-02-04",18
"2018-02-05",18
"2018-02-06",20
"2018-02-07",16
"2018-02-08",13
"2018-02-09",11
"2018-02-10",10
"2018-02-11",11
"2018-02-12",11
"2018-02-13",10
"2018-02-14",8
"2018-02-15",4
"2018-02-16",5
"2018-02-17",7
"2018-02-18",8
"2018-02-19",10
"2018-02-20",11
"2018-02-21",9
"2018-02-22",9
"2018-02-23",7
"2018-02-24",6
"2018-02-25",8
"2018-02-26",8
"2018-02-27",8
"2018-02-28",8
"2018-03-01",6
"2018-03-02",7
"2018-03-03",5
"2018-03-04",15
"2018-03-05",30
"2018-03-06",32
"2018-03-07",29
"2018-03-08",29
"2018-03-09",19
"2018-03-10",18
"2018-03-11",18
"2018-03-12",30
"2018-03-13",30
"2018-03-14",24
"2018-03-15",30
"2018-03-16",29
"2018-03-17",28
"2018-03-18",31
"2018-03-19",29
"2018-03-20",28
"2018-03-21",34
"2018-03-22",32
"2018-03-23",23
"2018-03-24",23
"2018-03-25",23
"2018-03-26",24
"2018-03-27",28
"2018-03-28",21
"2018-03-29",16
"2018-03-30",10
"2018-03-31",8
"2018-04-01",7
"2018-04-02",6
"2018-04-03",7
"2018-04-04",6
"2018-04-05",6
"2018-04-06",7
"2018-04-07",5
"2018-04-08",6
"2018-04-09",9
"2018-04-10",7
"2018-04-11",7
"2018-04-12",6
"2018-04-13",6
"2018-04-14",8
"2018-04-15",7
"2018-04-16",11
"2018-04-17",8
"2018-04-18",5
"2018-04-19",6
