네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","머랭쿠키"
"2017-08-01",49
"2017-08-02",47
"2017-08-03",47
"2017-08-04",45
"2017-08-05",44
"2017-08-06",56
"2017-08-07",71
"2017-08-08",67
"2017-08-09",63
"2017-08-10",58
"2017-08-11",40
"2017-08-12",33
"2017-08-13",58
"2017-08-14",75
"2017-08-15",92
"2017-08-16",82
"2017-08-17",74
"2017-08-18",58
"2017-08-19",65
"2017-08-20",75
"2017-08-21",59
"2017-08-22",56
"2017-08-23",44
"2017-08-24",46
"2017-08-25",44
"2017-08-26",57
"2017-08-27",72
"2017-08-28",51
"2017-08-29",47
"2017-08-30",51
"2017-08-31",47
"2017-09-01",42
"2017-09-02",57
"2017-09-03",66
"2017-09-04",46
"2017-09-05",45
"2017-09-06",39
"2017-09-07",37
"2017-09-08",42
"2017-09-09",53
"2017-09-10",70
"2017-09-11",49
"2017-09-12",46
"2017-09-13",41
"2017-09-14",36
"2017-09-15",35
"2017-09-16",50
"2017-09-17",65
"2017-09-18",46
"2017-09-19",53
"2017-09-20",51
"2017-09-21",52
"2017-09-22",50
"2017-09-23",69
"2017-09-24",75
"2017-09-25",62
"2017-09-26",49
"2017-09-27",45
"2017-09-28",36
"2017-09-29",31
"2017-09-30",38
"2017-10-01",50
"2017-10-02",48
"2017-10-03",47
"2017-10-04",56
"2017-10-05",56
"2017-10-06",74
"2017-10-07",66
"2017-10-08",58
"2017-10-09",72
"2017-10-10",62
"2017-10-11",64
"2017-10-12",65
"2017-10-13",58
"2017-10-14",67
"2017-10-15",76
"2017-10-16",58
"2017-10-17",59
"2017-10-18",63
"2017-10-19",67
"2017-10-20",54
"2017-10-21",65
"2017-10-22",83
"2017-10-23",76
"2017-10-24",78
"2017-10-25",71
"2017-10-26",68
"2017-10-27",48
"2017-10-28",69
"2017-10-29",70
"2017-10-30",67
"2017-10-31",65
"2017-11-01",70
"2017-11-02",72
"2017-11-03",59
"2017-11-04",82
"2017-11-05",100
"2017-11-06",85
"2017-11-07",80
"2017-11-08",78
"2017-11-09",65
"2017-11-10",59
"2017-11-11",64
"2017-11-12",72
"2017-11-13",64
"2017-11-14",55
"2017-11-15",48
"2017-11-16",52
"2017-11-17",48
"2017-11-18",55
"2017-11-19",67
"2017-11-20",56
"2017-11-21",53
"2017-11-22",55
"2017-11-23",54
"2017-11-24",40
"2017-11-25",54
"2017-11-26",67
"2017-11-27",55
"2017-11-28",50
"2017-11-29",73
"2017-11-30",54
"2017-12-01",50
"2017-12-02",72
"2017-12-03",83
"2017-12-04",63
"2017-12-05",51
"2017-12-06",53
"2017-12-07",45
"2017-12-08",47
"2017-12-09",65
"2017-12-10",79
"2017-12-11",52
"2017-12-12",50
"2017-12-13",57
"2017-12-14",53
"2017-12-15",46
"2017-12-16",58
"2017-12-17",89
"2017-12-18",66
"2017-12-19",69
"2017-12-20",67
"2017-12-21",58
"2017-12-22",45
"2017-12-23",54
"2017-12-24",54
"2017-12-25",64
"2017-12-26",58
"2017-12-27",59
"2017-12-28",52
"2017-12-29",42
"2017-12-30",45
"2017-12-31",39
"2018-01-01",53
"2018-01-02",50
"2018-01-03",54
"2018-01-04",50
"2018-01-05",51
"2018-01-06",51
"2018-01-07",56
"2018-01-08",55
"2018-01-09",58
"2018-01-10",55
"2018-01-11",53
"2018-01-12",51
"2018-01-13",52
"2018-01-14",57
"2018-01-15",60
"2018-01-16",69
"2018-01-17",69
"2018-01-18",68
"2018-01-19",62
"2018-01-20",70
"2018-01-21",71
"2018-01-22",97
"2018-01-23",78
"2018-01-24",81
"2018-01-25",69
"2018-01-26",62
"2018-01-27",53
"2018-01-28",67
"2018-01-29",64
"2018-01-30",64
"2018-01-31",61
"2018-02-01",70
"2018-02-02",60
"2018-02-03",66
"2018-02-04",80
"2018-02-05",74
"2018-02-06",81
"2018-02-07",74
"2018-02-08",64
"2018-02-09",59
"2018-02-10",69
"2018-02-11",75
"2018-02-12",62
"2018-02-13",49
"2018-02-14",45
"2018-02-15",51
"2018-02-16",61
"2018-02-17",54
"2018-02-18",63
"2018-02-19",64
"2018-02-20",57
"2018-02-21",60
"2018-02-22",59
"2018-02-23",64
"2018-02-24",64
"2018-02-25",68
"2018-02-26",62
"2018-02-27",63
"2018-02-28",57
"2018-03-01",51
"2018-03-02",35
"2018-03-03",48
"2018-03-04",57
"2018-03-05",54
"2018-03-06",49
"2018-03-07",54
"2018-03-08",51
"2018-03-09",50
"2018-03-10",70
"2018-03-11",72
"2018-03-12",61
"2018-03-13",58
"2018-03-14",56
"2018-03-15",53
"2018-03-16",47
"2018-03-17",61
"2018-03-18",62
"2018-03-19",46
"2018-03-20",44
"2018-03-21",50
"2018-03-22",46
"2018-03-23",35
"2018-03-24",57
"2018-03-25",51
"2018-03-26",41
"2018-03-27",45
"2018-03-28",41
"2018-03-29",38
"2018-03-30",36
"2018-03-31",42
"2018-04-01",54
"2018-04-02",36
"2018-04-03",43
"2018-04-04",34
"2018-04-05",40
"2018-04-06",31
"2018-04-07",40
"2018-04-08",49
"2018-04-09",37
"2018-04-10",34
"2018-04-11",31
"2018-04-12",31
"2018-04-13",25
"2018-04-14",36
"2018-04-15",42
"2018-04-16",33
"2018-04-17",31
"2018-04-18",29
"2018-04-19",34
