네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","프로폴리스"
"2017-08-01",21
"2017-08-02",30
"2017-08-03",27
"2017-08-04",27
"2017-08-05",23
"2017-08-06",20
"2017-08-07",27
"2017-08-08",29
"2017-08-09",30
"2017-08-10",28
"2017-08-11",23
"2017-08-12",19
"2017-08-13",26
"2017-08-14",33
"2017-08-15",30
"2017-08-16",37
"2017-08-17",29
"2017-08-18",26
"2017-08-19",26
"2017-08-20",22
"2017-08-21",28
"2017-08-22",32
"2017-08-23",27
"2017-08-24",24
"2017-08-25",24
"2017-08-26",25
"2017-08-27",31
"2017-08-28",41
"2017-08-29",42
"2017-08-30",40
"2017-08-31",29
"2017-09-01",32
"2017-09-02",33
"2017-09-03",30
"2017-09-04",37
"2017-09-05",37
"2017-09-06",38
"2017-09-07",35
"2017-09-08",37
"2017-09-09",26
"2017-09-10",32
"2017-09-11",39
"2017-09-12",42
"2017-09-13",44
"2017-09-14",40
"2017-09-15",36
"2017-09-16",33
"2017-09-17",34
"2017-09-18",43
"2017-09-19",42
"2017-09-20",42
"2017-09-21",36
"2017-09-22",26
"2017-09-23",26
"2017-09-24",44
"2017-09-25",48
"2017-09-26",46
"2017-09-27",45
"2017-09-28",33
"2017-09-29",32
"2017-09-30",29
"2017-10-01",32
"2017-10-02",31
"2017-10-03",28
"2017-10-04",33
"2017-10-05",35
"2017-10-06",35
"2017-10-07",36
"2017-10-08",50
"2017-10-09",45
"2017-10-10",56
"2017-10-11",44
"2017-10-12",49
"2017-10-13",37
"2017-10-14",38
"2017-10-15",40
"2017-10-16",56
"2017-10-17",44
"2017-10-18",54
"2017-10-19",43
"2017-10-20",43
"2017-10-21",34
"2017-10-22",41
"2017-10-23",51
"2017-10-24",42
"2017-10-25",41
"2017-10-26",53
"2017-10-27",43
"2017-10-28",36
"2017-10-29",43
"2017-10-30",45
"2017-10-31",46
"2017-11-01",42
"2017-11-02",39
"2017-11-03",37
"2017-11-04",34
"2017-11-05",39
"2017-11-06",47
"2017-11-07",61
"2017-11-08",52
"2017-11-09",50
"2017-11-10",37
"2017-11-11",38
"2017-11-12",46
"2017-11-13",48
"2017-11-14",53
"2017-11-15",43
"2017-11-16",37
"2017-11-17",33
"2017-11-18",31
"2017-11-19",36
"2017-11-20",60
"2017-11-21",47
"2017-11-22",46
"2017-11-23",33
"2017-11-24",39
"2017-11-25",39
"2017-11-26",36
"2017-11-27",49
"2017-11-28",40
"2017-11-29",47
"2017-11-30",43
"2017-12-01",46
"2017-12-02",49
"2017-12-03",40
"2017-12-04",49
"2017-12-05",57
"2017-12-06",50
"2017-12-07",55
"2017-12-08",43
"2017-12-09",39
"2017-12-10",49
"2017-12-11",45
"2017-12-12",55
"2017-12-13",57
"2017-12-14",50
"2017-12-15",49
"2017-12-16",40
"2017-12-17",45
"2017-12-18",61
"2017-12-19",62
"2017-12-20",46
"2017-12-21",46
"2017-12-22",43
"2017-12-23",51
"2017-12-24",39
"2017-12-25",48
"2017-12-26",83
"2017-12-27",70
"2017-12-28",43
"2017-12-29",45
"2017-12-30",57
"2017-12-31",45
"2018-01-01",48
"2018-01-02",56
"2018-01-03",70
"2018-01-04",56
"2018-01-05",49
"2018-01-06",61
"2018-01-07",59
"2018-01-08",69
"2018-01-09",70
"2018-01-10",64
"2018-01-11",64
"2018-01-12",52
"2018-01-13",50
"2018-01-14",54
"2018-01-15",64
"2018-01-16",66
"2018-01-17",61
"2018-01-18",56
"2018-01-19",50
"2018-01-20",47
"2018-01-21",50
"2018-01-22",62
"2018-01-23",55
"2018-01-24",55
"2018-01-25",57
"2018-01-26",49
"2018-01-27",53
"2018-01-28",49
"2018-01-29",58
"2018-01-30",60
"2018-01-31",56
"2018-02-01",46
"2018-02-02",49
"2018-02-03",100
"2018-02-04",91
"2018-02-05",84
"2018-02-06",69
"2018-02-07",68
"2018-02-08",61
"2018-02-09",56
"2018-02-10",42
"2018-02-11",59
"2018-02-12",48
"2018-02-13",40
"2018-02-14",33
"2018-02-15",42
"2018-02-16",39
"2018-02-17",56
"2018-02-18",72
"2018-02-19",74
"2018-02-20",63
"2018-02-21",54
"2018-02-22",51
"2018-02-23",42
"2018-02-24",47
"2018-02-25",46
"2018-02-26",58
"2018-02-27",48
"2018-02-28",59
"2018-03-01",47
"2018-03-02",50
"2018-03-03",46
"2018-03-04",53
"2018-03-05",63
"2018-03-06",54
"2018-03-07",47
"2018-03-08",60
"2018-03-09",53
"2018-03-10",42
"2018-03-11",44
"2018-03-12",53
"2018-03-13",53
"2018-03-14",55
"2018-03-15",55
"2018-03-16",46
"2018-03-17",43
"2018-03-18",44
"2018-03-19",59
"2018-03-20",57
"2018-03-21",65
"2018-03-22",38
"2018-03-23",35
"2018-03-24",43
"2018-03-25",53
"2018-03-26",49
"2018-03-27",47
"2018-03-28",50
"2018-03-29",42
"2018-03-30",39
"2018-03-31",37
"2018-04-01",53
"2018-04-02",53
"2018-04-03",53
"2018-04-04",58
"2018-04-05",48
"2018-04-06",47
"2018-04-07",45
"2018-04-08",43
"2018-04-09",54
"2018-04-10",48
"2018-04-11",50
"2018-04-12",54
"2018-04-13",41
"2018-04-14",37
"2018-04-15",45
"2018-04-16",57
"2018-04-17",50
"2018-04-18",52
"2018-04-19",53
