네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","귀리"
"2017-08-01",3
"2017-08-02",3
"2017-08-03",2
"2017-08-04",2
"2017-08-05",2
"2017-08-06",3
"2017-08-07",3
"2017-08-08",3
"2017-08-09",2
"2017-08-10",2
"2017-08-11",2
"2017-08-12",2
"2017-08-13",2
"2017-08-14",3
"2017-08-15",2
"2017-08-16",2
"2017-08-17",2
"2017-08-18",2
"2017-08-19",2
"2017-08-20",2
"2017-08-21",2
"2017-08-22",3
"2017-08-23",3
"2017-08-24",4
"2017-08-25",2
"2017-08-26",2
"2017-08-27",3
"2017-08-28",3
"2017-08-29",3
"2017-08-30",3
"2017-08-31",3
"2017-09-01",2
"2017-09-02",2
"2017-09-03",2
"2017-09-04",2
"2017-09-05",2
"2017-09-06",3
"2017-09-07",2
"2017-09-08",2
"2017-09-09",2
"2017-09-10",2
"2017-09-11",2
"2017-09-12",2
"2017-09-13",2
"2017-09-14",2
"2017-09-15",2
"2017-09-16",2
"2017-09-17",5
"2017-09-18",3
"2017-09-19",3
"2017-09-20",2
"2017-09-21",2
"2017-09-22",2
"2017-09-23",2
"2017-09-24",2
"2017-09-25",2
"2017-09-26",2
"2017-09-27",1
"2017-09-28",1
"2017-09-29",1
"2017-09-30",1
"2017-10-01",1
"2017-10-02",1
"2017-10-03",
"2017-10-04",1
"2017-10-05",1
"2017-10-06",2
"2017-10-07",2
"2017-10-08",2
"2017-10-09",2
"2017-10-10",4
"2017-10-11",3
"2017-10-12",2
"2017-10-13",1
"2017-10-14",2
"2017-10-15",2
"2017-10-16",2
"2017-10-17",2
"2017-10-18",2
"2017-10-19",2
"2017-10-20",2
"2017-10-21",2
"2017-10-22",2
"2017-10-23",2
"2017-10-24",2
"2017-10-25",2
"2017-10-26",2
"2017-10-27",2
"2017-10-28",1
"2017-10-29",2
"2017-10-30",2
"2017-10-31",2
"2017-11-01",2
"2017-11-02",2
"2017-11-03",2
"2017-11-04",1
"2017-11-05",2
"2017-11-06",2
"2017-11-07",3
"2017-11-08",2
"2017-11-09",2
"2017-11-10",2
"2017-11-11",2
"2017-11-12",2
"2017-11-13",2
"2017-11-14",3
"2017-11-15",2
"2017-11-16",2
"2017-11-17",1
"2017-11-18",1
"2017-11-19",2
"2017-11-20",2
"2017-11-21",2
"2017-11-22",2
"2017-11-23",2
"2017-11-24",1
"2017-11-25",1
"2017-11-26",2
"2017-11-27",2
"2017-11-28",2
"2017-11-29",2
"2017-11-30",2
"2017-12-01",2
"2017-12-02",2
"2017-12-03",2
"2017-12-04",2
"2017-12-05",2
"2017-12-06",1
"2017-12-07",2
"2017-12-08",2
"2017-12-09",1
"2017-12-10",3
"2017-12-11",3
"2017-12-12",2
"2017-12-13",2
"2017-12-14",3
"2017-12-15",1
"2017-12-16",1
"2017-12-17",1
"2017-12-18",2
"2017-12-19",2
"2017-12-20",2
"2017-12-21",2
"2017-12-22",1
"2017-12-23",4
"2017-12-24",2
"2017-12-25",4
"2017-12-26",2
"2017-12-27",2
"2017-12-28",2
"2017-12-29",2
"2017-12-30",1
"2017-12-31",1
"2018-01-01",2
"2018-01-02",3
"2018-01-03",3
"2018-01-04",2
"2018-01-05",1
"2018-01-06",2
"2018-01-07",3
"2018-01-08",2
"2018-01-09",2
"2018-01-10",2
"2018-01-11",37
"2018-01-12",53
"2018-01-13",77
"2018-01-14",100
"2018-01-15",80
"2018-01-16",42
"2018-01-17",82
"2018-01-18",42
"2018-01-19",21
"2018-01-20",23
"2018-01-21",21
"2018-01-22",29
"2018-01-23",25
"2018-01-24",24
"2018-01-25",26
"2018-01-26",21
"2018-01-27",19
"2018-01-28",30
"2018-01-29",38
"2018-01-30",29
"2018-01-31",33
"2018-02-01",28
"2018-02-02",20
"2018-02-03",17
"2018-02-04",24
"2018-02-05",27
"2018-02-06",23
"2018-02-07",19
"2018-02-08",23
"2018-02-09",13
"2018-02-10",14
"2018-02-11",16
"2018-02-12",15
"2018-02-13",12
"2018-02-14",10
"2018-02-15",8
"2018-02-16",13
"2018-02-17",17
"2018-02-18",25
"2018-02-19",27
"2018-02-20",26
"2018-02-21",28
"2018-02-22",23
"2018-02-23",22
"2018-02-24",16
"2018-02-25",20
"2018-02-26",34
"2018-02-27",28
"2018-02-28",21
"2018-03-01",22
"2018-03-02",19
"2018-03-03",16
"2018-03-04",23
"2018-03-05",24
"2018-03-06",25
"2018-03-07",23
"2018-03-08",20
"2018-03-09",17
"2018-03-10",15
"2018-03-11",21
"2018-03-12",24
"2018-03-13",19
"2018-03-14",20
"2018-03-15",23
"2018-03-16",18
"2018-03-17",18
"2018-03-18",23
"2018-03-19",27
"2018-03-20",27
"2018-03-21",29
"2018-03-22",25
"2018-03-23",20
"2018-03-24",17
"2018-03-25",30
"2018-03-26",28
"2018-03-27",28
"2018-03-28",24
"2018-03-29",21
"2018-03-30",15
"2018-03-31",16
"2018-04-01",21
"2018-04-02",30
"2018-04-03",27
"2018-04-04",37
"2018-04-05",30
"2018-04-06",25
"2018-04-07",20
"2018-04-08",23
"2018-04-09",27
"2018-04-10",24
"2018-04-11",22
"2018-04-12",21
"2018-04-13",19
"2018-04-14",21
"2018-04-15",25
"2018-04-16",25
"2018-04-17",22
"2018-04-18",22
"2018-04-19",21
