네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","삼다수"
"2017-08-01",61
"2017-08-02",66
"2017-08-03",65
"2017-08-04",55
"2017-08-05",55
"2017-08-06",72
"2017-08-07",90
"2017-08-08",74
"2017-08-09",72
"2017-08-10",67
"2017-08-11",49
"2017-08-12",47
"2017-08-13",63
"2017-08-14",63
"2017-08-15",68
"2017-08-16",76
"2017-08-17",62
"2017-08-18",51
"2017-08-19",42
"2017-08-20",57
"2017-08-21",77
"2017-08-22",70
"2017-08-23",60
"2017-08-24",62
"2017-08-25",43
"2017-08-26",40
"2017-08-27",62
"2017-08-28",56
"2017-08-29",60
"2017-08-30",60
"2017-08-31",50
"2017-09-01",42
"2017-09-02",41
"2017-09-03",67
"2017-09-04",76
"2017-09-05",68
"2017-09-06",57
"2017-09-07",56
"2017-09-08",43
"2017-09-09",42
"2017-09-10",68
"2017-09-11",64
"2017-09-12",57
"2017-09-13",54
"2017-09-14",53
"2017-09-15",37
"2017-09-16",33
"2017-09-17",49
"2017-09-18",36
"2017-09-19",58
"2017-09-20",43
"2017-09-21",60
"2017-09-22",42
"2017-09-23",31
"2017-09-24",45
"2017-09-25",65
"2017-09-26",60
"2017-09-27",41
"2017-09-28",35
"2017-09-29",16
"2017-09-30",24
"2017-10-01",26
"2017-10-02",18
"2017-10-03",17
"2017-10-04",26
"2017-10-05",30
"2017-10-06",30
"2017-10-07",39
"2017-10-08",56
"2017-10-09",80
"2017-10-10",100
"2017-10-11",65
"2017-10-12",58
"2017-10-13",49
"2017-10-14",41
"2017-10-15",60
"2017-10-16",68
"2017-10-17",63
"2017-10-18",55
"2017-10-19",53
"2017-10-20",42
"2017-10-21",35
"2017-10-22",57
"2017-10-23",68
"2017-10-24",56
"2017-10-25",48
"2017-10-26",49
"2017-10-27",37
"2017-10-28",32
"2017-10-29",46
"2017-10-30",57
"2017-10-31",53
"2017-11-01",55
"2017-11-02",45
"2017-11-03",36
"2017-11-04",32
"2017-11-05",50
"2017-11-06",59
"2017-11-07",46
"2017-11-08",50
"2017-11-09",50
"2017-11-10",37
"2017-11-11",32
"2017-11-12",49
"2017-11-13",54
"2017-11-14",59
"2017-11-15",40
"2017-11-16",43
"2017-11-17",34
"2017-11-18",26
"2017-11-19",42
"2017-11-20",56
"2017-11-21",50
"2017-11-22",51
"2017-11-23",45
"2017-11-24",39
"2017-11-25",32
"2017-11-26",47
"2017-11-27",62
"2017-11-28",54
"2017-11-29",53
"2017-11-30",39
"2017-12-01",48
"2017-12-02",30
"2017-12-03",55
"2017-12-04",65
"2017-12-05",57
"2017-12-06",51
"2017-12-07",41
"2017-12-08",32
"2017-12-09",30
"2017-12-10",45
"2017-12-11",60
"2017-12-12",62
"2017-12-13",48
"2017-12-14",44
"2017-12-15",31
"2017-12-16",28
"2017-12-17",50
"2017-12-18",63
"2017-12-19",56
"2017-12-20",44
"2017-12-21",39
"2017-12-22",31
"2017-12-23",27
"2017-12-24",29
"2017-12-25",43
"2017-12-26",59
"2017-12-27",63
"2017-12-28",47
"2017-12-29",34
"2017-12-30",34
"2017-12-31",33
"2018-01-01",59
"2018-01-02",76
"2018-01-03",60
"2018-01-04",60
"2018-01-05",42
"2018-01-06",37
"2018-01-07",52
"2018-01-08",57
"2018-01-09",56
"2018-01-10",51
"2018-01-11",51
"2018-01-12",41
"2018-01-13",41
"2018-01-14",58
"2018-01-15",56
"2018-01-16",55
"2018-01-17",56
"2018-01-18",45
"2018-01-19",40
"2018-01-20",34
"2018-01-21",61
"2018-01-22",60
"2018-01-23",57
"2018-01-24",53
"2018-01-25",55
"2018-01-26",45
"2018-01-27",47
"2018-01-28",58
"2018-01-29",76
"2018-01-30",58
"2018-01-31",60
"2018-02-01",51
"2018-02-02",47
"2018-02-03",40
"2018-02-04",62
"2018-02-05",82
"2018-02-06",70
"2018-02-07",58
"2018-02-08",50
"2018-02-09",42
"2018-02-10",35
"2018-02-11",47
"2018-02-12",45
"2018-02-13",29
"2018-02-14",19
"2018-02-15",26
"2018-02-16",25
"2018-02-17",36
"2018-02-18",67
"2018-02-19",90
"2018-02-20",73
"2018-02-21",58
"2018-02-22",57
"2018-02-23",39
"2018-02-24",41
"2018-02-25",53
"2018-02-26",71
"2018-02-27",64
"2018-02-28",56
"2018-03-01",58
"2018-03-02",49
"2018-03-03",50
"2018-03-04",78
"2018-03-05",71
"2018-03-06",65
"2018-03-07",63
"2018-03-08",58
"2018-03-09",33
"2018-03-10",38
"2018-03-11",72
"2018-03-12",76
"2018-03-13",73
"2018-03-14",82
"2018-03-15",52
"2018-03-16",43
"2018-03-17",41
"2018-03-18",65
"2018-03-19",70
"2018-03-20",52
"2018-03-21",49
"2018-03-22",52
"2018-03-23",39
"2018-03-24",31
"2018-03-25",67
"2018-03-26",57
"2018-03-27",62
"2018-03-28",63
"2018-03-29",57
"2018-03-30",54
"2018-03-31",59
"2018-04-01",82
"2018-04-02",97
"2018-04-03",77
"2018-04-04",69
"2018-04-05",55
"2018-04-06",39
"2018-04-07",40
"2018-04-08",67
"2018-04-09",70
"2018-04-10",64
"2018-04-11",55
"2018-04-12",53
"2018-04-13",39
"2018-04-14",47
"2018-04-15",56
"2018-04-16",76
"2018-04-17",59
"2018-04-18",57
"2018-04-19",55
