네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","grn"
"2017-08-01",31
"2017-08-02",29
"2017-08-03",30
"2017-08-04",21
"2017-08-05",17
"2017-08-06",23
"2017-08-07",29
"2017-08-08",29
"2017-08-09",25
"2017-08-10",26
"2017-08-11",23
"2017-08-12",17
"2017-08-13",23
"2017-08-14",28
"2017-08-15",24
"2017-08-16",33
"2017-08-17",19
"2017-08-18",17
"2017-08-19",17
"2017-08-20",24
"2017-08-21",28
"2017-08-22",29
"2017-08-23",23
"2017-08-24",21
"2017-08-25",17
"2017-08-26",20
"2017-08-27",21
"2017-08-28",19
"2017-08-29",23
"2017-08-30",20
"2017-08-31",27
"2017-09-01",27
"2017-09-02",15
"2017-09-03",20
"2017-09-04",30
"2017-09-05",19
"2017-09-06",20
"2017-09-07",16
"2017-09-08",13
"2017-09-09",11
"2017-09-10",14
"2017-09-11",23
"2017-09-12",14
"2017-09-13",12
"2017-09-14",14
"2017-09-15",12
"2017-09-16",12
"2017-09-17",14
"2017-09-18",9
"2017-09-19",21
"2017-09-20",18
"2017-09-21",15
"2017-09-22",12
"2017-09-23",12
"2017-09-24",14
"2017-09-25",24
"2017-09-26",20
"2017-09-27",7
"2017-09-28",3
"2017-09-29",2
"2017-09-30",5
"2017-10-01",9
"2017-10-02",7
"2017-10-03",7
"2017-10-04",9
"2017-10-05",12
"2017-10-06",13
"2017-10-07",14
"2017-10-08",14
"2017-10-09",19
"2017-10-10",34
"2017-10-11",26
"2017-10-12",22
"2017-10-13",17
"2017-10-14",13
"2017-10-15",17
"2017-10-16",17
"2017-10-17",19
"2017-10-18",24
"2017-10-19",18
"2017-10-20",13
"2017-10-21",12
"2017-10-22",22
"2017-10-23",19
"2017-10-24",15
"2017-10-25",17
"2017-10-26",14
"2017-10-27",12
"2017-10-28",10
"2017-10-29",12
"2017-10-30",16
"2017-10-31",17
"2017-11-01",16
"2017-11-02",18
"2017-11-03",11
"2017-11-04",8
"2017-11-05",13
"2017-11-06",17
"2017-11-07",22
"2017-11-08",17
"2017-11-09",13
"2017-11-10",13
"2017-11-11",11
"2017-11-12",14
"2017-11-13",20
"2017-11-14",22
"2017-11-15",13
"2017-11-16",13
"2017-11-17",14
"2017-11-18",10
"2017-11-19",13
"2017-11-20",13
"2017-11-21",14
"2017-11-22",12
"2017-11-23",11
"2017-11-24",10
"2017-11-25",10
"2017-11-26",11
"2017-11-27",15
"2017-11-28",14
"2017-11-29",19
"2017-11-30",15
"2017-12-01",15
"2017-12-02",12
"2017-12-03",16
"2017-12-04",20
"2017-12-05",15
"2017-12-06",14
"2017-12-07",16
"2017-12-08",13
"2017-12-09",18
"2017-12-10",28
"2017-12-11",44
"2017-12-12",19
"2017-12-13",18
"2017-12-14",17
"2017-12-15",13
"2017-12-16",14
"2017-12-17",19
"2017-12-18",27
"2017-12-19",24
"2017-12-20",26
"2017-12-21",32
"2017-12-22",33
"2017-12-23",21
"2017-12-24",20
"2017-12-25",30
"2017-12-26",44
"2017-12-27",42
"2017-12-28",34
"2017-12-29",32
"2017-12-30",30
"2017-12-31",29
"2018-01-01",69
"2018-01-02",100
"2018-01-03",47
"2018-01-04",30
"2018-01-05",44
"2018-01-06",35
"2018-01-07",53
"2018-01-08",51
"2018-01-09",52
"2018-01-10",69
"2018-01-11",54
"2018-01-12",30
"2018-01-13",24
"2018-01-14",21
"2018-01-15",22
"2018-01-16",27
"2018-01-17",23
"2018-01-18",20
"2018-01-19",18
"2018-01-20",15
"2018-01-21",19
"2018-01-22",33
"2018-01-23",23
"2018-01-24",21
"2018-01-25",26
"2018-01-26",15
"2018-01-27",15
"2018-01-28",19
"2018-01-29",22
"2018-01-30",25
"2018-01-31",29
"2018-02-01",25
"2018-02-02",19
"2018-02-03",21
"2018-02-04",20
"2018-02-05",25
"2018-02-06",21
"2018-02-07",22
"2018-02-08",21
"2018-02-09",23
"2018-02-10",30
"2018-02-11",20
"2018-02-12",21
"2018-02-13",17
"2018-02-14",12
"2018-02-15",14
"2018-02-16",15
"2018-02-17",26
"2018-02-18",36
"2018-02-19",56
"2018-02-20",47
"2018-02-21",57
"2018-02-22",51
"2018-02-23",58
"2018-02-24",41
"2018-02-25",36
"2018-02-26",45
"2018-02-27",36
"2018-02-28",26
"2018-03-01",47
"2018-03-02",30
"2018-03-03",26
"2018-03-04",45
"2018-03-05",58
"2018-03-06",42
"2018-03-07",37
"2018-03-08",43
"2018-03-09",35
"2018-03-10",41
"2018-03-11",33
"2018-03-12",45
"2018-03-13",45
"2018-03-14",49
"2018-03-15",49
"2018-03-16",33
"2018-03-17",26
"2018-03-18",33
"2018-03-19",40
"2018-03-20",32
"2018-03-21",31
"2018-03-22",29
"2018-03-23",26
"2018-03-24",29
"2018-03-25",27
"2018-03-26",38
"2018-03-27",27
"2018-03-28",28
"2018-03-29",38
"2018-03-30",20
"2018-03-31",20
"2018-04-01",24
"2018-04-02",30
"2018-04-03",29
"2018-04-04",29
"2018-04-05",33
"2018-04-06",21
"2018-04-07",23
"2018-04-08",23
"2018-04-09",29
"2018-04-10",29
"2018-04-11",35
"2018-04-12",31
"2018-04-13",25
"2018-04-14",25
"2018-04-15",39
"2018-04-16",54
"2018-04-17",34
"2018-04-18",33
"2018-04-19",32
