네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","버터"
"2017-08-01",27
"2017-08-02",24
"2017-08-03",27
"2017-08-04",27
"2017-08-05",27
"2017-08-06",32
"2017-08-07",30
"2017-08-08",30
"2017-08-09",33
"2017-08-10",33
"2017-08-11",32
"2017-08-12",18
"2017-08-13",32
"2017-08-14",37
"2017-08-15",47
"2017-08-16",38
"2017-08-17",29
"2017-08-18",26
"2017-08-19",28
"2017-08-20",32
"2017-08-21",35
"2017-08-22",33
"2017-08-23",31
"2017-08-24",31
"2017-08-25",25
"2017-08-26",23
"2017-08-27",25
"2017-08-28",31
"2017-08-29",30
"2017-08-30",31
"2017-08-31",26
"2017-09-01",24
"2017-09-02",28
"2017-09-03",34
"2017-09-04",42
"2017-09-05",38
"2017-09-06",43
"2017-09-07",36
"2017-09-08",30
"2017-09-09",25
"2017-09-10",28
"2017-09-11",43
"2017-09-12",32
"2017-09-13",39
"2017-09-14",31
"2017-09-15",21
"2017-09-16",32
"2017-09-17",38
"2017-09-18",42
"2017-09-19",40
"2017-09-20",41
"2017-09-21",30
"2017-09-22",23
"2017-09-23",25
"2017-09-24",33
"2017-09-25",37
"2017-09-26",50
"2017-09-27",54
"2017-09-28",37
"2017-09-29",30
"2017-09-30",33
"2017-10-01",38
"2017-10-02",43
"2017-10-03",22
"2017-10-04",24
"2017-10-05",31
"2017-10-06",50
"2017-10-07",47
"2017-10-08",56
"2017-10-09",73
"2017-10-10",71
"2017-10-11",60
"2017-10-12",48
"2017-10-13",53
"2017-10-14",53
"2017-10-15",52
"2017-10-16",71
"2017-10-17",59
"2017-10-18",49
"2017-10-19",42
"2017-10-20",41
"2017-10-21",42
"2017-10-22",51
"2017-10-23",53
"2017-10-24",54
"2017-10-25",75
"2017-10-26",63
"2017-10-27",46
"2017-10-28",51
"2017-10-29",58
"2017-10-30",58
"2017-10-31",55
"2017-11-01",71
"2017-11-02",63
"2017-11-03",48
"2017-11-04",49
"2017-11-05",53
"2017-11-06",64
"2017-11-07",66
"2017-11-08",63
"2017-11-09",55
"2017-11-10",40
"2017-11-11",44
"2017-11-12",52
"2017-11-13",54
"2017-11-14",58
"2017-11-15",44
"2017-11-16",45
"2017-11-17",45
"2017-11-18",40
"2017-11-19",44
"2017-11-20",60
"2017-11-21",72
"2017-11-22",50
"2017-11-23",42
"2017-11-24",40
"2017-11-25",32
"2017-11-26",62
"2017-11-27",57
"2017-11-28",55
"2017-11-29",57
"2017-11-30",43
"2017-12-01",48
"2017-12-02",43
"2017-12-03",60
"2017-12-04",60
"2017-12-05",53
"2017-12-06",51
"2017-12-07",53
"2017-12-08",49
"2017-12-09",43
"2017-12-10",51
"2017-12-11",70
"2017-12-12",64
"2017-12-13",66
"2017-12-14",60
"2017-12-15",47
"2017-12-16",45
"2017-12-17",59
"2017-12-18",66
"2017-12-19",52
"2017-12-20",53
"2017-12-21",48
"2017-12-22",39
"2017-12-23",34
"2017-12-24",34
"2017-12-25",46
"2017-12-26",62
"2017-12-27",59
"2017-12-28",41
"2017-12-29",35
"2017-12-30",39
"2017-12-31",44
"2018-01-01",52
"2018-01-02",65
"2018-01-03",58
"2018-01-04",58
"2018-01-05",53
"2018-01-06",48
"2018-01-07",72
"2018-01-08",58
"2018-01-09",80
"2018-01-10",63
"2018-01-11",65
"2018-01-12",55
"2018-01-13",53
"2018-01-14",67
"2018-01-15",74
"2018-01-16",66
"2018-01-17",65
"2018-01-18",54
"2018-01-19",54
"2018-01-20",49
"2018-01-21",69
"2018-01-22",100
"2018-01-23",81
"2018-01-24",69
"2018-01-25",67
"2018-01-26",57
"2018-01-27",64
"2018-01-28",70
"2018-01-29",72
"2018-01-30",73
"2018-01-31",58
"2018-02-01",59
"2018-02-02",43
"2018-02-03",83
"2018-02-04",76
"2018-02-05",92
"2018-02-06",97
"2018-02-07",82
"2018-02-08",56
"2018-02-09",44
"2018-02-10",36
"2018-02-11",56
"2018-02-12",54
"2018-02-13",52
"2018-02-14",35
"2018-02-15",32
"2018-02-16",25
"2018-02-17",40
"2018-02-18",61
"2018-02-19",67
"2018-02-20",49
"2018-02-21",67
"2018-02-22",51
"2018-02-23",37
"2018-02-24",48
"2018-02-25",44
"2018-02-26",67
"2018-02-27",62
"2018-02-28",53
"2018-03-01",60
"2018-03-02",41
"2018-03-03",45
"2018-03-04",83
"2018-03-05",54
"2018-03-06",57
"2018-03-07",51
"2018-03-08",58
"2018-03-09",50
"2018-03-10",51
"2018-03-11",50
"2018-03-12",59
"2018-03-13",49
"2018-03-14",49
"2018-03-15",50
"2018-03-16",42
"2018-03-17",47
"2018-03-18",56
"2018-03-19",58
"2018-03-20",44
"2018-03-21",56
"2018-03-22",53
"2018-03-23",46
"2018-03-24",43
"2018-03-25",59
"2018-03-26",59
"2018-03-27",48
"2018-03-28",46
"2018-03-29",50
"2018-03-30",42
"2018-03-31",38
"2018-04-01",45
"2018-04-02",48
"2018-04-03",61
"2018-04-04",49
"2018-04-05",55
"2018-04-06",53
"2018-04-07",45
"2018-04-08",45
"2018-04-09",54
"2018-04-10",49
"2018-04-11",46
"2018-04-12",44
"2018-04-13",46
"2018-04-14",39
"2018-04-15",57
"2018-04-16",52
"2018-04-17",41
"2018-04-18",52
"2018-04-19",48
