네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","식용색소"
"2017-08-01",12
"2017-08-02",14
"2017-08-03",12
"2017-08-04",13
"2017-08-05",12
"2017-08-06",12
"2017-08-07",16
"2017-08-08",15
"2017-08-09",16
"2017-08-10",19
"2017-08-11",14
"2017-08-12",9
"2017-08-13",13
"2017-08-14",17
"2017-08-15",17
"2017-08-16",14
"2017-08-17",13
"2017-08-18",12
"2017-08-19",12
"2017-08-20",16
"2017-08-21",13
"2017-08-22",9
"2017-08-23",11
"2017-08-24",15
"2017-08-25",12
"2017-08-26",8
"2017-08-27",16
"2017-08-28",15
"2017-08-29",13
"2017-08-30",12
"2017-08-31",12
"2017-09-01",12
"2017-09-02",11
"2017-09-03",18
"2017-09-04",14
"2017-09-05",14
"2017-09-06",10
"2017-09-07",11
"2017-09-08",10
"2017-09-09",10
"2017-09-10",14
"2017-09-11",15
"2017-09-12",14
"2017-09-13",12
"2017-09-14",12
"2017-09-15",13
"2017-09-16",14
"2017-09-17",13
"2017-09-18",14
"2017-09-19",15
"2017-09-20",12
"2017-09-21",11
"2017-09-22",11
"2017-09-23",11
"2017-09-24",17
"2017-09-25",20
"2017-09-26",22
"2017-09-27",12
"2017-09-28",14
"2017-09-29",12
"2017-09-30",12
"2017-10-01",16
"2017-10-02",16
"2017-10-03",16
"2017-10-04",19
"2017-10-05",19
"2017-10-06",25
"2017-10-07",20
"2017-10-08",34
"2017-10-09",32
"2017-10-10",27
"2017-10-11",35
"2017-10-12",28
"2017-10-13",31
"2017-10-14",26
"2017-10-15",34
"2017-10-16",36
"2017-10-17",31
"2017-10-18",32
"2017-10-19",42
"2017-10-20",34
"2017-10-21",39
"2017-10-22",49
"2017-10-23",50
"2017-10-24",53
"2017-10-25",51
"2017-10-26",43
"2017-10-27",45
"2017-10-28",53
"2017-10-29",56
"2017-10-30",53
"2017-10-31",44
"2017-11-01",51
"2017-11-02",49
"2017-11-03",35
"2017-11-04",52
"2017-11-05",89
"2017-11-06",73
"2017-11-07",71
"2017-11-08",73
"2017-11-09",45
"2017-11-10",42
"2017-11-11",72
"2017-11-12",100
"2017-11-13",87
"2017-11-14",68
"2017-11-15",53
"2017-11-16",54
"2017-11-17",34
"2017-11-18",55
"2017-11-19",67
"2017-11-20",63
"2017-11-21",53
"2017-11-22",59
"2017-11-23",69
"2017-11-24",48
"2017-11-25",55
"2017-11-26",66
"2017-11-27",56
"2017-11-28",76
"2017-11-29",68
"2017-11-30",70
"2017-12-01",53
"2017-12-02",67
"2017-12-03",83
"2017-12-04",69
"2017-12-05",66
"2017-12-06",60
"2017-12-07",57
"2017-12-08",57
"2017-12-09",81
"2017-12-10",84
"2017-12-11",68
"2017-12-12",68
"2017-12-13",68
"2017-12-14",70
"2017-12-15",55
"2017-12-16",71
"2017-12-17",89
"2017-12-18",83
"2017-12-19",69
"2017-12-20",67
"2017-12-21",58
"2017-12-22",43
"2017-12-23",44
"2017-12-24",49
"2017-12-25",60
"2017-12-26",59
"2017-12-27",58
"2017-12-28",53
"2017-12-29",48
"2017-12-30",44
"2017-12-31",34
"2018-01-01",44
"2018-01-02",55
"2018-01-03",53
"2018-01-04",50
"2018-01-05",45
"2018-01-06",50
"2018-01-07",56
"2018-01-08",66
"2018-01-09",64
"2018-01-10",58
"2018-01-11",55
"2018-01-12",45
"2018-01-13",43
"2018-01-14",55
"2018-01-15",54
"2018-01-16",57
"2018-01-17",62
"2018-01-18",59
"2018-01-19",53
"2018-01-20",50
"2018-01-21",56
"2018-01-22",63
"2018-01-23",64
"2018-01-24",65
"2018-01-25",53
"2018-01-26",42
"2018-01-27",35
"2018-01-28",46
"2018-01-29",52
"2018-01-30",52
"2018-01-31",51
"2018-02-01",61
"2018-02-02",49
"2018-02-03",50
"2018-02-04",61
"2018-02-05",61
"2018-02-06",56
"2018-02-07",50
"2018-02-08",42
"2018-02-09",45
"2018-02-10",51
"2018-02-11",51
"2018-02-12",40
"2018-02-13",40
"2018-02-14",35
"2018-02-15",33
"2018-02-16",41
"2018-02-17",43
"2018-02-18",44
"2018-02-19",50
"2018-02-20",52
"2018-02-21",42
"2018-02-22",44
"2018-02-23",42
"2018-02-24",41
"2018-02-25",43
"2018-02-26",41
"2018-02-27",42
"2018-02-28",49
"2018-03-01",41
"2018-03-02",31
"2018-03-03",37
"2018-03-04",46
"2018-03-05",34
"2018-03-06",33
"2018-03-07",29
"2018-03-08",38
"2018-03-09",29
"2018-03-10",48
"2018-03-11",49
"2018-03-12",51
"2018-03-13",48
"2018-03-14",45
"2018-03-15",41
"2018-03-16",36
"2018-03-17",46
"2018-03-18",53
"2018-03-19",44
"2018-03-20",38
"2018-03-21",46
"2018-03-22",37
"2018-03-23",31
"2018-03-24",42
"2018-03-25",38
"2018-03-26",35
"2018-03-27",33
"2018-03-28",38
"2018-03-29",26
"2018-03-30",20
"2018-03-31",33
"2018-04-01",39
"2018-04-02",25
"2018-04-03",32
"2018-04-04",32
"2018-04-05",33
"2018-04-06",32
"2018-04-07",28
"2018-04-08",28
"2018-04-09",26
"2018-04-10",26
"2018-04-11",22
"2018-04-12",26
"2018-04-13",23
"2018-04-14",28
"2018-04-15",37
"2018-04-16",30
"2018-04-17",36
"2018-04-18",33
"2018-04-19",31
