네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","홍삼정에브리타임"
"2017-08-01",11
"2017-08-02",8
"2017-08-03",10
"2017-08-04",7
"2017-08-05",6
"2017-08-06",6
"2017-08-07",8
"2017-08-08",8
"2017-08-09",9
"2017-08-10",8
"2017-08-11",7
"2017-08-12",6
"2017-08-13",6
"2017-08-14",7
"2017-08-15",8
"2017-08-16",8
"2017-08-17",7
"2017-08-18",7
"2017-08-19",5
"2017-08-20",8
"2017-08-21",10
"2017-08-22",10
"2017-08-23",7
"2017-08-24",7
"2017-08-25",7
"2017-08-26",5
"2017-08-27",6
"2017-08-28",9
"2017-08-29",11
"2017-08-30",10
"2017-08-31",10
"2017-09-01",9
"2017-09-02",7
"2017-09-03",10
"2017-09-04",10
"2017-09-05",27
"2017-09-06",19
"2017-09-07",11
"2017-09-08",19
"2017-09-09",14
"2017-09-10",16
"2017-09-11",36
"2017-09-12",43
"2017-09-13",37
"2017-09-14",31
"2017-09-15",24
"2017-09-16",20
"2017-09-17",21
"2017-09-18",36
"2017-09-19",45
"2017-09-20",68
"2017-09-21",43
"2017-09-22",31
"2017-09-23",23
"2017-09-24",32
"2017-09-25",63
"2017-09-26",66
"2017-09-27",69
"2017-09-28",55
"2017-09-29",36
"2017-09-30",30
"2017-10-01",25
"2017-10-02",26
"2017-10-03",23
"2017-10-04",17
"2017-10-05",22
"2017-10-06",18
"2017-10-07",12
"2017-10-08",13
"2017-10-09",18
"2017-10-10",19
"2017-10-11",20
"2017-10-12",18
"2017-10-13",18
"2017-10-14",17
"2017-10-15",19
"2017-10-16",20
"2017-10-17",23
"2017-10-18",19
"2017-10-19",23
"2017-10-20",14
"2017-10-21",23
"2017-10-22",22
"2017-10-23",18
"2017-10-24",23
"2017-10-25",21
"2017-10-26",19
"2017-10-27",15
"2017-10-28",13
"2017-10-29",20
"2017-10-30",14
"2017-10-31",18
"2017-11-01",21
"2017-11-02",20
"2017-11-03",16
"2017-11-04",13
"2017-11-05",16
"2017-11-06",17
"2017-11-07",17
"2017-11-08",26
"2017-11-09",20
"2017-11-10",19
"2017-11-11",14
"2017-11-12",22
"2017-11-13",18
"2017-11-14",21
"2017-11-15",18
"2017-11-16",18
"2017-11-17",13
"2017-11-18",12
"2017-11-19",17
"2017-11-20",21
"2017-11-21",19
"2017-11-22",17
"2017-11-23",12
"2017-11-24",12
"2017-11-25",16
"2017-11-26",18
"2017-11-27",19
"2017-11-28",22
"2017-11-29",30
"2017-11-30",19
"2017-12-01",18
"2017-12-02",16
"2017-12-03",20
"2017-12-04",28
"2017-12-05",24
"2017-12-06",28
"2017-12-07",22
"2017-12-08",14
"2017-12-09",18
"2017-12-10",26
"2017-12-11",23
"2017-12-12",22
"2017-12-13",16
"2017-12-14",17
"2017-12-15",14
"2017-12-16",16
"2017-12-17",15
"2017-12-18",18
"2017-12-19",21
"2017-12-20",19
"2017-12-21",19
"2017-12-22",16
"2017-12-23",15
"2017-12-24",12
"2017-12-25",19
"2017-12-26",21
"2017-12-27",25
"2017-12-28",21
"2017-12-29",16
"2017-12-30",20
"2017-12-31",19
"2018-01-01",27
"2018-01-02",25
"2018-01-03",26
"2018-01-04",32
"2018-01-05",25
"2018-01-06",23
"2018-01-07",28
"2018-01-08",26
"2018-01-09",22
"2018-01-10",20
"2018-01-11",47
"2018-01-12",20
"2018-01-13",18
"2018-01-14",32
"2018-01-15",25
"2018-01-16",25
"2018-01-17",24
"2018-01-18",23
"2018-01-19",20
"2018-01-20",20
"2018-01-21",18
"2018-01-22",28
"2018-01-23",34
"2018-01-24",32
"2018-01-25",41
"2018-01-26",33
"2018-01-27",31
"2018-01-28",30
"2018-01-29",41
"2018-01-30",46
"2018-01-31",46
"2018-02-01",47
"2018-02-02",51
"2018-02-03",66
"2018-02-04",68
"2018-02-05",100
"2018-02-06",90
"2018-02-07",95
"2018-02-08",82
"2018-02-09",63
"2018-02-10",54
"2018-02-11",66
"2018-02-12",56
"2018-02-13",42
"2018-02-14",34
"2018-02-15",28
"2018-02-16",21
"2018-02-17",27
"2018-02-18",32
"2018-02-19",30
"2018-02-20",29
"2018-02-21",23
"2018-02-22",25
"2018-02-23",19
"2018-02-24",21
"2018-02-25",20
"2018-02-26",20
"2018-02-27",24
"2018-02-28",19
"2018-03-01",24
"2018-03-02",18
"2018-03-03",17
"2018-03-04",20
"2018-03-05",21
"2018-03-06",21
"2018-03-07",23
"2018-03-08",19
"2018-03-09",17
"2018-03-10",18
"2018-03-11",19
"2018-03-12",23
"2018-03-13",20
"2018-03-14",20
"2018-03-15",20
"2018-03-16",17
"2018-03-17",16
"2018-03-18",25
"2018-03-19",26
"2018-03-20",22
"2018-03-21",23
"2018-03-22",21
"2018-03-23",17
"2018-03-24",19
"2018-03-25",13
"2018-03-26",17
"2018-03-27",18
"2018-03-28",24
"2018-03-29",20
"2018-03-30",19
"2018-03-31",14
"2018-04-01",16
"2018-04-02",20
"2018-04-03",22
"2018-04-04",21
"2018-04-05",20
"2018-04-06",15
"2018-04-07",16
"2018-04-08",23
"2018-04-09",23
"2018-04-10",20
"2018-04-11",21
"2018-04-12",19
"2018-04-13",18
"2018-04-14",20
"2018-04-15",34
"2018-04-16",26
"2018-04-17",25
"2018-04-18",23
"2018-04-19",31
