네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","누룽지"
"2017-08-01",10
"2017-08-02",12
"2017-08-03",10
"2017-08-04",10
"2017-08-05",10
"2017-08-06",18
"2017-08-07",13
"2017-08-08",17
"2017-08-09",14
"2017-08-10",13
"2017-08-11",11
"2017-08-12",16
"2017-08-13",19
"2017-08-14",20
"2017-08-15",23
"2017-08-16",21
"2017-08-17",22
"2017-08-18",14
"2017-08-19",17
"2017-08-20",16
"2017-08-21",26
"2017-08-22",21
"2017-08-23",24
"2017-08-24",22
"2017-08-25",13
"2017-08-26",11
"2017-08-27",18
"2017-08-28",20
"2017-08-29",25
"2017-08-30",21
"2017-08-31",19
"2017-09-01",12
"2017-09-02",15
"2017-09-03",19
"2017-09-04",24
"2017-09-05",22
"2017-09-06",24
"2017-09-07",18
"2017-09-08",17
"2017-09-09",12
"2017-09-10",19
"2017-09-11",24
"2017-09-12",21
"2017-09-13",20
"2017-09-14",17
"2017-09-15",17
"2017-09-16",11
"2017-09-17",19
"2017-09-18",24
"2017-09-19",22
"2017-09-20",17
"2017-09-21",22
"2017-09-22",12
"2017-09-23",12
"2017-09-24",15
"2017-09-25",22
"2017-09-26",17
"2017-09-27",18
"2017-09-28",14
"2017-09-29",10
"2017-09-30",13
"2017-10-01",12
"2017-10-02",16
"2017-10-03",11
"2017-10-04",13
"2017-10-05",13
"2017-10-06",15
"2017-10-07",19
"2017-10-08",18
"2017-10-09",29
"2017-10-10",29
"2017-10-11",36
"2017-10-12",33
"2017-10-13",28
"2017-10-14",21
"2017-10-15",24
"2017-10-16",35
"2017-10-17",27
"2017-10-18",33
"2017-10-19",30
"2017-10-20",22
"2017-10-21",21
"2017-10-22",26
"2017-10-23",39
"2017-10-24",30
"2017-10-25",27
"2017-10-26",32
"2017-10-27",20
"2017-10-28",21
"2017-10-29",23
"2017-10-30",30
"2017-10-31",32
"2017-11-01",31
"2017-11-02",29
"2017-11-03",21
"2017-11-04",24
"2017-11-05",28
"2017-11-06",42
"2017-11-07",29
"2017-11-08",26
"2017-11-09",30
"2017-11-10",26
"2017-11-11",23
"2017-11-12",37
"2017-11-13",41
"2017-11-14",31
"2017-11-15",33
"2017-11-16",33
"2017-11-17",34
"2017-11-18",22
"2017-11-19",37
"2017-11-20",44
"2017-11-21",43
"2017-11-22",37
"2017-11-23",45
"2017-11-24",27
"2017-11-25",23
"2017-11-26",35
"2017-11-27",42
"2017-11-28",35
"2017-11-29",38
"2017-11-30",36
"2017-12-01",28
"2017-12-02",27
"2017-12-03",38
"2017-12-04",44
"2017-12-05",41
"2017-12-06",41
"2017-12-07",38
"2017-12-08",30
"2017-12-09",27
"2017-12-10",32
"2017-12-11",41
"2017-12-12",40
"2017-12-13",35
"2017-12-14",30
"2017-12-15",23
"2017-12-16",20
"2017-12-17",34
"2017-12-18",41
"2017-12-19",39
"2017-12-20",34
"2017-12-21",29
"2017-12-22",24
"2017-12-23",21
"2017-12-24",23
"2017-12-25",38
"2017-12-26",51
"2017-12-27",35
"2017-12-28",39
"2017-12-29",27
"2017-12-30",26
"2017-12-31",33
"2018-01-01",44
"2018-01-02",51
"2018-01-03",51
"2018-01-04",39
"2018-01-05",37
"2018-01-06",39
"2018-01-07",100
"2018-01-08",74
"2018-01-09",59
"2018-01-10",64
"2018-01-11",62
"2018-01-12",72
"2018-01-13",58
"2018-01-14",61
"2018-01-15",70
"2018-01-16",58
"2018-01-17",61
"2018-01-18",62
"2018-01-19",48
"2018-01-20",44
"2018-01-21",48
"2018-01-22",57
"2018-01-23",54
"2018-01-24",55
"2018-01-25",58
"2018-01-26",39
"2018-01-27",45
"2018-01-28",75
"2018-01-29",68
"2018-01-30",62
"2018-01-31",54
"2018-02-01",58
"2018-02-02",37
"2018-02-03",48
"2018-02-04",59
"2018-02-05",60
"2018-02-06",71
"2018-02-07",46
"2018-02-08",52
"2018-02-09",30
"2018-02-10",38
"2018-02-11",49
"2018-02-12",36
"2018-02-13",27
"2018-02-14",26
"2018-02-15",21
"2018-02-16",14
"2018-02-17",32
"2018-02-18",45
"2018-02-19",53
"2018-02-20",59
"2018-02-21",55
"2018-02-22",46
"2018-02-23",41
"2018-02-24",37
"2018-02-25",42
"2018-02-26",52
"2018-02-27",52
"2018-02-28",44
"2018-03-01",56
"2018-03-02",40
"2018-03-03",34
"2018-03-04",77
"2018-03-05",71
"2018-03-06",61
"2018-03-07",49
"2018-03-08",47
"2018-03-09",45
"2018-03-10",38
"2018-03-11",56
"2018-03-12",58
"2018-03-13",56
"2018-03-14",46
"2018-03-15",55
"2018-03-16",43
"2018-03-17",42
"2018-03-18",55
"2018-03-19",52
"2018-03-20",49
"2018-03-21",49
"2018-03-22",46
"2018-03-23",30
"2018-03-24",41
"2018-03-25",50
"2018-03-26",47
"2018-03-27",55
"2018-03-28",44
"2018-03-29",39
"2018-03-30",28
"2018-03-31",27
"2018-04-01",44
"2018-04-02",54
"2018-04-03",45
"2018-04-04",44
"2018-04-05",49
"2018-04-06",40
"2018-04-07",40
"2018-04-08",57
"2018-04-09",55
"2018-04-10",50
"2018-04-11",44
"2018-04-12",36
"2018-04-13",37
"2018-04-14",40
"2018-04-15",60
"2018-04-16",52
"2018-04-17",50
"2018-04-18",47
"2018-04-19",44
