네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","페레로로쉐"
"2017-08-01",1
"2017-08-02",1
"2017-08-03",1
"2017-08-04",1
"2017-08-05",1
"2017-08-06",1
"2017-08-07",2
"2017-08-08",2
"2017-08-09",1
"2017-08-10",2
"2017-08-11",1
"2017-08-12",1
"2017-08-13",1
"2017-08-14",2
"2017-08-15",2
"2017-08-16",1
"2017-08-17",1
"2017-08-18",1
"2017-08-19",1
"2017-08-20",2
"2017-08-21",1
"2017-08-22",1
"2017-08-23",1
"2017-08-24",1
"2017-08-25",1
"2017-08-26",1
"2017-08-27",2
"2017-08-28",1
"2017-08-29",1
"2017-08-30",1
"2017-08-31",1
"2017-09-01",1
"2017-09-02",1
"2017-09-03",1
"2017-09-04",2
"2017-09-05",2
"2017-09-06",2
"2017-09-07",1
"2017-09-08",2
"2017-09-09",1
"2017-09-10",2
"2017-09-11",2
"2017-09-12",2
"2017-09-13",2
"2017-09-14",2
"2017-09-15",1
"2017-09-16",1
"2017-09-17",2
"2017-09-18",2
"2017-09-19",2
"2017-09-20",2
"2017-09-21",2
"2017-09-22",3
"2017-09-23",2
"2017-09-24",2
"2017-09-25",3
"2017-09-26",3
"2017-09-27",2
"2017-09-28",1
"2017-09-29",2
"2017-09-30",2
"2017-10-01",1
"2017-10-02",1
"2017-10-03",1
"2017-10-04",1
"2017-10-05",1
"2017-10-06",1
"2017-10-07",2
"2017-10-08",2
"2017-10-09",4
"2017-10-10",3
"2017-10-11",7
"2017-10-12",5
"2017-10-13",4
"2017-10-14",3
"2017-10-15",5
"2017-10-16",7
"2017-10-17",6
"2017-10-18",6
"2017-10-19",7
"2017-10-20",4
"2017-10-21",3
"2017-10-22",5
"2017-10-23",7
"2017-10-24",9
"2017-10-25",9
"2017-10-26",9
"2017-10-27",8
"2017-10-28",8
"2017-10-29",10
"2017-10-30",15
"2017-10-31",15
"2017-11-01",20
"2017-11-02",25
"2017-11-03",25
"2017-11-04",22
"2017-11-05",28
"2017-11-06",45
"2017-11-07",46
"2017-11-08",41
"2017-11-09",36
"2017-11-10",30
"2017-11-11",25
"2017-11-12",23
"2017-11-13",21
"2017-11-14",18
"2017-11-15",13
"2017-11-16",10
"2017-11-17",7
"2017-11-18",6
"2017-11-19",7
"2017-11-20",6
"2017-11-21",6
"2017-11-22",6
"2017-11-23",5
"2017-11-24",3
"2017-11-25",4
"2017-11-26",3
"2017-11-27",3
"2017-11-28",4
"2017-11-29",4
"2017-11-30",3
"2017-12-01",4
"2017-12-02",3
"2017-12-03",4
"2017-12-04",4
"2017-12-05",6
"2017-12-06",5
"2017-12-07",4
"2017-12-08",4
"2017-12-09",4
"2017-12-10",5
"2017-12-11",6
"2017-12-12",5
"2017-12-13",5
"2017-12-14",5
"2017-12-15",5
"2017-12-16",5
"2017-12-17",7
"2017-12-18",7
"2017-12-19",6
"2017-12-20",7
"2017-12-21",5
"2017-12-22",3
"2017-12-23",4
"2017-12-24",3
"2017-12-25",4
"2017-12-26",5
"2017-12-27",5
"2017-12-28",4
"2017-12-29",3
"2017-12-30",3
"2017-12-31",3
"2018-01-01",3
"2018-01-02",4
"2018-01-03",6
"2018-01-04",4
"2018-01-05",3
"2018-01-06",3
"2018-01-07",5
"2018-01-08",5
"2018-01-09",5
"2018-01-10",5
"2018-01-11",5
"2018-01-12",5
"2018-01-13",4
"2018-01-14",5
"2018-01-15",6
"2018-01-16",5
"2018-01-17",6
"2018-01-18",7
"2018-01-19",4
"2018-01-20",5
"2018-01-21",6
"2018-01-22",8
"2018-01-23",10
"2018-01-24",10
"2018-01-25",12
"2018-01-26",9
"2018-01-27",9
"2018-01-28",11
"2018-01-29",18
"2018-01-30",23
"2018-01-31",27
"2018-02-01",38
"2018-02-02",39
"2018-02-03",38
"2018-02-04",54
"2018-02-05",99
"2018-02-06",100
"2018-02-07",99
"2018-02-08",92
"2018-02-09",82
"2018-02-10",57
"2018-02-11",56
"2018-02-12",61
"2018-02-13",56
"2018-02-14",55
"2018-02-15",17
"2018-02-16",9
"2018-02-17",7
"2018-02-18",11
"2018-02-19",12
"2018-02-20",9
"2018-02-21",9
"2018-02-22",8
"2018-02-23",6
"2018-02-24",5
"2018-02-25",5
"2018-02-26",8
"2018-02-27",5
"2018-02-28",6
"2018-03-01",7
"2018-03-02",10
"2018-03-03",9
"2018-03-04",9
"2018-03-05",14
"2018-03-06",14
"2018-03-07",18
"2018-03-08",18
"2018-03-09",20
"2018-03-10",15
"2018-03-11",17
"2018-03-12",28
"2018-03-13",25
"2018-03-14",35
"2018-03-15",16
"2018-03-16",8
"2018-03-17",6
"2018-03-18",8
"2018-03-19",6
"2018-03-20",7
"2018-03-21",6
"2018-03-22",4
"2018-03-23",4
"2018-03-24",4
"2018-03-25",4
"2018-03-26",4
"2018-03-27",3
"2018-03-28",3
"2018-03-29",3
"2018-03-30",3
"2018-03-31",3
"2018-04-01",3
"2018-04-02",3
"2018-04-03",4
"2018-04-04",2
"2018-04-05",2
"2018-04-06",3
"2018-04-07",3
"2018-04-08",3
"2018-04-09",4
"2018-04-10",2
"2018-04-11",3
"2018-04-12",3
"2018-04-13",2
"2018-04-14",2
"2018-04-15",3
"2018-04-16",3
"2018-04-17",3
"2018-04-18",3
"2018-04-19",2
