네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","생수"
"2017-08-01",45
"2017-08-02",48
"2017-08-03",49
"2017-08-04",43
"2017-08-05",41
"2017-08-06",53
"2017-08-07",69
"2017-08-08",55
"2017-08-09",43
"2017-08-10",49
"2017-08-11",38
"2017-08-12",33
"2017-08-13",40
"2017-08-14",48
"2017-08-15",49
"2017-08-16",51
"2017-08-17",42
"2017-08-18",33
"2017-08-19",29
"2017-08-20",39
"2017-08-21",54
"2017-08-22",52
"2017-08-23",51
"2017-08-24",42
"2017-08-25",32
"2017-08-26",28
"2017-08-27",42
"2017-08-28",49
"2017-08-29",46
"2017-08-30",44
"2017-08-31",36
"2017-09-01",28
"2017-09-02",29
"2017-09-03",45
"2017-09-04",60
"2017-09-05",51
"2017-09-06",41
"2017-09-07",36
"2017-09-08",27
"2017-09-09",25
"2017-09-10",42
"2017-09-11",48
"2017-09-12",48
"2017-09-13",42
"2017-09-14",38
"2017-09-15",24
"2017-09-16",22
"2017-09-17",38
"2017-09-18",47
"2017-09-19",40
"2017-09-20",42
"2017-09-21",78
"2017-09-22",37
"2017-09-23",23
"2017-09-24",32
"2017-09-25",52
"2017-09-26",42
"2017-09-27",33
"2017-09-28",26
"2017-09-29",14
"2017-09-30",17
"2017-10-01",20
"2017-10-02",14
"2017-10-03",16
"2017-10-04",14
"2017-10-05",20
"2017-10-06",30
"2017-10-07",37
"2017-10-08",47
"2017-10-09",80
"2017-10-10",97
"2017-10-11",71
"2017-10-12",55
"2017-10-13",39
"2017-10-14",36
"2017-10-15",53
"2017-10-16",75
"2017-10-17",67
"2017-10-18",55
"2017-10-19",53
"2017-10-20",39
"2017-10-21",35
"2017-10-22",53
"2017-10-23",65
"2017-10-24",59
"2017-10-25",47
"2017-10-26",46
"2017-10-27",32
"2017-10-28",33
"2017-10-29",54
"2017-10-30",59
"2017-10-31",51
"2017-11-01",50
"2017-11-02",46
"2017-11-03",37
"2017-11-04",34
"2017-11-05",46
"2017-11-06",59
"2017-11-07",53
"2017-11-08",47
"2017-11-09",45
"2017-11-10",33
"2017-11-11",33
"2017-11-12",50
"2017-11-13",54
"2017-11-14",64
"2017-11-15",49
"2017-11-16",40
"2017-11-17",33
"2017-11-18",29
"2017-11-19",45
"2017-11-20",49
"2017-11-21",44
"2017-11-22",38
"2017-11-23",39
"2017-11-24",30
"2017-11-25",29
"2017-11-26",43
"2017-11-27",50
"2017-11-28",50
"2017-11-29",45
"2017-11-30",43
"2017-12-01",31
"2017-12-02",33
"2017-12-03",47
"2017-12-04",53
"2017-12-05",48
"2017-12-06",43
"2017-12-07",40
"2017-12-08",31
"2017-12-09",29
"2017-12-10",46
"2017-12-11",55
"2017-12-12",50
"2017-12-13",40
"2017-12-14",38
"2017-12-15",30
"2017-12-16",27
"2017-12-17",44
"2017-12-18",50
"2017-12-19",46
"2017-12-20",44
"2017-12-21",33
"2017-12-22",24
"2017-12-23",25
"2017-12-24",26
"2017-12-25",41
"2017-12-26",53
"2017-12-27",49
"2017-12-28",40
"2017-12-29",31
"2017-12-30",29
"2017-12-31",28
"2018-01-01",56
"2018-01-02",66
"2018-01-03",65
"2018-01-04",60
"2018-01-05",45
"2018-01-06",41
"2018-01-07",56
"2018-01-08",69
"2018-01-09",61
"2018-01-10",58
"2018-01-11",52
"2018-01-12",44
"2018-01-13",44
"2018-01-14",62
"2018-01-15",67
"2018-01-16",67
"2018-01-17",53
"2018-01-18",56
"2018-01-19",42
"2018-01-20",38
"2018-01-21",56
"2018-01-22",62
"2018-01-23",51
"2018-01-24",60
"2018-01-25",60
"2018-01-26",49
"2018-01-27",46
"2018-01-28",60
"2018-01-29",75
"2018-01-30",65
"2018-01-31",64
"2018-02-01",59
"2018-02-02",55
"2018-02-03",54
"2018-02-04",82
"2018-02-05",78
"2018-02-06",73
"2018-02-07",63
"2018-02-08",56
"2018-02-09",40
"2018-02-10",38
"2018-02-11",50
"2018-02-12",47
"2018-02-13",31
"2018-02-14",22
"2018-02-15",22
"2018-02-16",22
"2018-02-17",33
"2018-02-18",69
"2018-02-19",97
"2018-02-20",74
"2018-02-21",76
"2018-02-22",70
"2018-02-23",52
"2018-02-24",51
"2018-02-25",76
"2018-02-26",83
"2018-02-27",78
"2018-02-28",62
"2018-03-01",79
"2018-03-02",72
"2018-03-03",64
"2018-03-04",93
"2018-03-05",100
"2018-03-06",81
"2018-03-07",73
"2018-03-08",67
"2018-03-09",51
"2018-03-10",54
"2018-03-11",74
"2018-03-12",85
"2018-03-13",86
"2018-03-14",90
"2018-03-15",65
"2018-03-16",49
"2018-03-17",40
"2018-03-18",60
"2018-03-19",72
"2018-03-20",65
"2018-03-21",56
"2018-03-22",53
"2018-03-23",37
"2018-03-24",35
"2018-03-25",58
"2018-03-26",71
"2018-03-27",69
"2018-03-28",55
"2018-03-29",52
"2018-03-30",43
"2018-03-31",44
"2018-04-01",67
"2018-04-02",69
"2018-04-03",66
"2018-04-04",56
"2018-04-05",47
"2018-04-06",40
"2018-04-07",39
"2018-04-08",57
"2018-04-09",64
"2018-04-10",62
"2018-04-11",63
"2018-04-12",55
"2018-04-13",41
"2018-04-14",37
"2018-04-15",52
"2018-04-16",69
"2018-04-17",64
"2018-04-18",53
"2018-04-19",49
