네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","가르시니아"
"2017-08-01",49
"2017-08-02",45
"2017-08-03",48
"2017-08-04",37
"2017-08-05",35
"2017-08-06",36
"2017-08-07",49
"2017-08-08",52
"2017-08-09",47
"2017-08-10",42
"2017-08-11",37
"2017-08-12",30
"2017-08-13",35
"2017-08-14",53
"2017-08-15",47
"2017-08-16",58
"2017-08-17",55
"2017-08-18",41
"2017-08-19",46
"2017-08-20",41
"2017-08-21",59
"2017-08-22",52
"2017-08-23",48
"2017-08-24",57
"2017-08-25",43
"2017-08-26",31
"2017-08-27",42
"2017-08-28",41
"2017-08-29",49
"2017-08-30",38
"2017-08-31",38
"2017-09-01",49
"2017-09-02",34
"2017-09-03",44
"2017-09-04",49
"2017-09-05",47
"2017-09-06",44
"2017-09-07",48
"2017-09-08",33
"2017-09-09",24
"2017-09-10",41
"2017-09-11",44
"2017-09-12",51
"2017-09-13",42
"2017-09-14",45
"2017-09-15",39
"2017-09-16",31
"2017-09-17",30
"2017-09-18",42
"2017-09-19",47
"2017-09-20",45
"2017-09-21",39
"2017-09-22",31
"2017-09-23",26
"2017-09-24",39
"2017-09-25",63
"2017-09-26",45
"2017-09-27",48
"2017-09-28",35
"2017-09-29",24
"2017-09-30",17
"2017-10-01",23
"2017-10-02",25
"2017-10-03",17
"2017-10-04",28
"2017-10-05",29
"2017-10-06",51
"2017-10-07",45
"2017-10-08",52
"2017-10-09",63
"2017-10-10",69
"2017-10-11",80
"2017-10-12",64
"2017-10-13",55
"2017-10-14",38
"2017-10-15",38
"2017-10-16",48
"2017-10-17",48
"2017-10-18",57
"2017-10-19",49
"2017-10-20",40
"2017-10-21",36
"2017-10-22",38
"2017-10-23",59
"2017-10-24",52
"2017-10-25",44
"2017-10-26",44
"2017-10-27",37
"2017-10-28",31
"2017-10-29",41
"2017-10-30",44
"2017-10-31",48
"2017-11-01",44
"2017-11-02",53
"2017-11-03",32
"2017-11-04",36
"2017-11-05",34
"2017-11-06",52
"2017-11-07",54
"2017-11-08",38
"2017-11-09",42
"2017-11-10",37
"2017-11-11",26
"2017-11-12",41
"2017-11-13",40
"2017-11-14",48
"2017-11-15",43
"2017-11-16",38
"2017-11-17",25
"2017-11-18",28
"2017-11-19",40
"2017-11-20",42
"2017-11-21",45
"2017-11-22",40
"2017-11-23",48
"2017-11-24",35
"2017-11-25",35
"2017-11-26",53
"2017-11-27",53
"2017-11-28",51
"2017-11-29",54
"2017-11-30",50
"2017-12-01",49
"2017-12-02",32
"2017-12-03",50
"2017-12-04",55
"2017-12-05",52
"2017-12-06",54
"2017-12-07",51
"2017-12-08",40
"2017-12-09",40
"2017-12-10",54
"2017-12-11",55
"2017-12-12",44
"2017-12-13",52
"2017-12-14",42
"2017-12-15",35
"2017-12-16",26
"2017-12-17",42
"2017-12-18",49
"2017-12-19",49
"2017-12-20",41
"2017-12-21",48
"2017-12-22",45
"2017-12-23",25
"2017-12-24",24
"2017-12-25",40
"2017-12-26",50
"2017-12-27",47
"2017-12-28",43
"2017-12-29",32
"2017-12-30",30
"2017-12-31",35
"2018-01-01",78
"2018-01-02",91
"2018-01-03",80
"2018-01-04",62
"2018-01-05",52
"2018-01-06",46
"2018-01-07",55
"2018-01-08",72
"2018-01-09",73
"2018-01-10",71
"2018-01-11",65
"2018-01-12",51
"2018-01-13",37
"2018-01-14",54
"2018-01-15",72
"2018-01-16",70
"2018-01-17",54
"2018-01-18",60
"2018-01-19",37
"2018-01-20",46
"2018-01-21",57
"2018-01-22",79
"2018-01-23",69
"2018-01-24",68
"2018-01-25",57
"2018-01-26",55
"2018-01-27",34
"2018-01-28",58
"2018-01-29",64
"2018-01-30",61
"2018-01-31",61
"2018-02-01",54
"2018-02-02",60
"2018-02-03",47
"2018-02-04",59
"2018-02-05",73
"2018-02-06",61
"2018-02-07",62
"2018-02-08",53
"2018-02-09",43
"2018-02-10",47
"2018-02-11",49
"2018-02-12",56
"2018-02-13",50
"2018-02-14",31
"2018-02-15",40
"2018-02-16",51
"2018-02-17",50
"2018-02-18",87
"2018-02-19",100
"2018-02-20",82
"2018-02-21",70
"2018-02-22",64
"2018-02-23",60
"2018-02-24",49
"2018-02-25",59
"2018-02-26",68
"2018-02-27",70
"2018-02-28",66
"2018-03-01",66
"2018-03-02",54
"2018-03-03",50
"2018-03-04",82
"2018-03-05",78
"2018-03-06",71
"2018-03-07",69
"2018-03-08",76
"2018-03-09",53
"2018-03-10",58
"2018-03-11",69
"2018-03-12",77
"2018-03-13",79
"2018-03-14",63
"2018-03-15",71
"2018-03-16",69
"2018-03-17",45
"2018-03-18",75
"2018-03-19",77
"2018-03-20",75
"2018-03-21",71
"2018-03-22",62
"2018-03-23",48
"2018-03-24",53
"2018-03-25",58
"2018-03-26",68
"2018-03-27",77
"2018-03-28",53
"2018-03-29",63
"2018-03-30",48
"2018-03-31",66
"2018-04-01",65
"2018-04-02",68
"2018-04-03",85
"2018-04-04",74
"2018-04-05",60
"2018-04-06",51
"2018-04-07",47
"2018-04-08",59
"2018-04-09",66
"2018-04-10",85
"2018-04-11",66
"2018-04-12",63
"2018-04-13",50
"2018-04-14",53
"2018-04-15",67
"2018-04-16",67
"2018-04-17",65
"2018-04-18",54
"2018-04-19",63
