네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","호박즙"
"2017-08-01",11
"2017-08-02",12
"2017-08-03",9
"2017-08-04",9
"2017-08-05",9
"2017-08-06",10
"2017-08-07",11
"2017-08-08",12
"2017-08-09",9
"2017-08-10",9
"2017-08-11",7
"2017-08-12",6
"2017-08-13",8
"2017-08-14",10
"2017-08-15",10
"2017-08-16",11
"2017-08-17",8
"2017-08-18",9
"2017-08-19",5
"2017-08-20",8
"2017-08-21",13
"2017-08-22",11
"2017-08-23",11
"2017-08-24",9
"2017-08-25",8
"2017-08-26",7
"2017-08-27",9
"2017-08-28",10
"2017-08-29",11
"2017-08-30",10
"2017-08-31",7
"2017-09-01",9
"2017-09-02",5
"2017-09-03",7
"2017-09-04",11
"2017-09-05",8
"2017-09-06",9
"2017-09-07",11
"2017-09-08",8
"2017-09-09",6
"2017-09-10",8
"2017-09-11",10
"2017-09-12",8
"2017-09-13",8
"2017-09-14",10
"2017-09-15",9
"2017-09-16",9
"2017-09-17",13
"2017-09-18",11
"2017-09-19",16
"2017-09-20",16
"2017-09-21",14
"2017-09-22",12
"2017-09-23",10
"2017-09-24",16
"2017-09-25",23
"2017-09-26",26
"2017-09-27",21
"2017-09-28",17
"2017-09-29",7
"2017-09-30",7
"2017-10-01",5
"2017-10-02",7
"2017-10-03",7
"2017-10-04",7
"2017-10-05",9
"2017-10-06",12
"2017-10-07",12
"2017-10-08",11
"2017-10-09",15
"2017-10-10",20
"2017-10-11",18
"2017-10-12",15
"2017-10-13",12
"2017-10-14",9
"2017-10-15",12
"2017-10-16",16
"2017-10-17",15
"2017-10-18",15
"2017-10-19",12
"2017-10-20",15
"2017-10-21",10
"2017-10-22",16
"2017-10-23",15
"2017-10-24",15
"2017-10-25",11
"2017-10-26",13
"2017-10-27",11
"2017-10-28",10
"2017-10-29",12
"2017-10-30",18
"2017-10-31",15
"2017-11-01",13
"2017-11-02",15
"2017-11-03",11
"2017-11-04",8
"2017-11-05",14
"2017-11-06",14
"2017-11-07",14
"2017-11-08",13
"2017-11-09",15
"2017-11-10",11
"2017-11-11",10
"2017-11-12",14
"2017-11-13",16
"2017-11-14",16
"2017-11-15",13
"2017-11-16",13
"2017-11-17",9
"2017-11-18",9
"2017-11-19",14
"2017-11-20",16
"2017-11-21",15
"2017-11-22",14
"2017-11-23",12
"2017-11-24",12
"2017-11-25",12
"2017-11-26",13
"2017-11-27",18
"2017-11-28",14
"2017-11-29",17
"2017-11-30",15
"2017-12-01",15
"2017-12-02",13
"2017-12-03",14
"2017-12-04",17
"2017-12-05",16
"2017-12-06",17
"2017-12-07",14
"2017-12-08",11
"2017-12-09",11
"2017-12-10",16
"2017-12-11",15
"2017-12-12",12
"2017-12-13",16
"2017-12-14",18
"2017-12-15",15
"2017-12-16",12
"2017-12-17",12
"2017-12-18",15
"2017-12-19",13
"2017-12-20",15
"2017-12-21",11
"2017-12-22",10
"2017-12-23",10
"2017-12-24",11
"2017-12-25",22
"2017-12-26",38
"2017-12-27",38
"2017-12-28",30
"2017-12-29",22
"2017-12-30",19
"2017-12-31",18
"2018-01-01",23
"2018-01-02",28
"2018-01-03",27
"2018-01-04",28
"2018-01-05",26
"2018-01-06",21
"2018-01-07",30
"2018-01-08",34
"2018-01-09",35
"2018-01-10",29
"2018-01-11",26
"2018-01-12",26
"2018-01-13",18
"2018-01-14",23
"2018-01-15",22
"2018-01-16",27
"2018-01-17",24
"2018-01-18",22
"2018-01-19",22
"2018-01-20",18
"2018-01-21",21
"2018-01-22",28
"2018-01-23",28
"2018-01-24",22
"2018-01-25",17
"2018-01-26",26
"2018-01-27",20
"2018-01-28",24
"2018-01-29",25
"2018-01-30",26
"2018-01-31",28
"2018-02-01",26
"2018-02-02",21
"2018-02-03",21
"2018-02-04",22
"2018-02-05",33
"2018-02-06",29
"2018-02-07",35
"2018-02-08",27
"2018-02-09",18
"2018-02-10",19
"2018-02-11",22
"2018-02-12",22
"2018-02-13",16
"2018-02-14",12
"2018-02-15",12
"2018-02-16",12
"2018-02-17",17
"2018-02-18",23
"2018-02-19",34
"2018-02-20",30
"2018-02-21",31
"2018-02-22",26
"2018-02-23",24
"2018-02-24",15
"2018-02-25",23
"2018-02-26",30
"2018-02-27",35
"2018-02-28",26
"2018-03-01",26
"2018-03-02",24
"2018-03-03",20
"2018-03-04",28
"2018-03-05",31
"2018-03-06",30
"2018-03-07",23
"2018-03-08",25
"2018-03-09",20
"2018-03-10",18
"2018-03-11",20
"2018-03-12",21
"2018-03-13",26
"2018-03-14",21
"2018-03-15",20
"2018-03-16",16
"2018-03-17",14
"2018-03-18",22
"2018-03-19",27
"2018-03-20",22
"2018-03-21",21
"2018-03-22",20
"2018-03-23",16
"2018-03-24",14
"2018-03-25",17
"2018-03-26",23
"2018-03-27",21
"2018-03-28",21
"2018-03-29",21
"2018-03-30",16
"2018-03-31",20
"2018-04-01",26
"2018-04-02",26
"2018-04-03",24
"2018-04-04",32
"2018-04-05",33
"2018-04-06",100
"2018-04-07",55
"2018-04-08",39
"2018-04-09",36
"2018-04-10",46
"2018-04-11",51
"2018-04-12",44
"2018-04-13",38
"2018-04-14",34
"2018-04-15",49
"2018-04-16",51
"2018-04-17",51
"2018-04-18",46
"2018-04-19",39
