네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","샐러드"
"2017-08-01",42
"2017-08-02",30
"2017-08-03",33
"2017-08-04",32
"2017-08-05",22
"2017-08-06",34
"2017-08-07",41
"2017-08-08",41
"2017-08-09",32
"2017-08-10",34
"2017-08-11",22
"2017-08-12",21
"2017-08-13",32
"2017-08-14",34
"2017-08-15",35
"2017-08-16",38
"2017-08-17",37
"2017-08-18",32
"2017-08-19",31
"2017-08-20",31
"2017-08-21",47
"2017-08-22",43
"2017-08-23",40
"2017-08-24",40
"2017-08-25",26
"2017-08-26",29
"2017-08-27",35
"2017-08-28",44
"2017-08-29",46
"2017-08-30",39
"2017-08-31",44
"2017-09-01",29
"2017-09-02",25
"2017-09-03",44
"2017-09-04",45
"2017-09-05",38
"2017-09-06",40
"2017-09-07",36
"2017-09-08",29
"2017-09-09",24
"2017-09-10",40
"2017-09-11",49
"2017-09-12",35
"2017-09-13",34
"2017-09-14",36
"2017-09-15",27
"2017-09-16",23
"2017-09-17",32
"2017-09-18",38
"2017-09-19",42
"2017-09-20",25
"2017-09-21",34
"2017-09-22",18
"2017-09-23",19
"2017-09-24",23
"2017-09-25",31
"2017-09-26",31
"2017-09-27",24
"2017-09-28",17
"2017-09-29",13
"2017-09-30",9
"2017-10-01",11
"2017-10-02",14
"2017-10-03",11
"2017-10-04",7
"2017-10-05",14
"2017-10-06",21
"2017-10-07",23
"2017-10-08",32
"2017-10-09",47
"2017-10-10",49
"2017-10-11",48
"2017-10-12",38
"2017-10-13",24
"2017-10-14",19
"2017-10-15",40
"2017-10-16",44
"2017-10-17",40
"2017-10-18",41
"2017-10-19",29
"2017-10-20",20
"2017-10-21",18
"2017-10-22",30
"2017-10-23",34
"2017-10-24",25
"2017-10-25",28
"2017-10-26",27
"2017-10-27",27
"2017-10-28",23
"2017-10-29",27
"2017-10-30",35
"2017-10-31",34
"2017-11-01",36
"2017-11-02",36
"2017-11-03",28
"2017-11-04",28
"2017-11-05",33
"2017-11-06",43
"2017-11-07",35
"2017-11-08",44
"2017-11-09",42
"2017-11-10",27
"2017-11-11",22
"2017-11-12",37
"2017-11-13",43
"2017-11-14",46
"2017-11-15",39
"2017-11-16",28
"2017-11-17",28
"2017-11-18",24
"2017-11-19",36
"2017-11-20",42
"2017-11-21",36
"2017-11-22",27
"2017-11-23",30
"2017-11-24",25
"2017-11-25",22
"2017-11-26",39
"2017-11-27",41
"2017-11-28",39
"2017-11-29",39
"2017-11-30",29
"2017-12-01",20
"2017-12-02",23
"2017-12-03",40
"2017-12-04",46
"2017-12-05",35
"2017-12-06",35
"2017-12-07",29
"2017-12-08",18
"2017-12-09",19
"2017-12-10",32
"2017-12-11",46
"2017-12-12",33
"2017-12-13",31
"2017-12-14",38
"2017-12-15",29
"2017-12-16",25
"2017-12-17",44
"2017-12-18",40
"2017-12-19",35
"2017-12-20",42
"2017-12-21",34
"2017-12-22",22
"2017-12-23",19
"2017-12-24",24
"2017-12-25",21
"2017-12-26",34
"2017-12-27",35
"2017-12-28",37
"2017-12-29",29
"2017-12-30",25
"2017-12-31",33
"2018-01-01",48
"2018-01-02",70
"2018-01-03",64
"2018-01-04",56
"2018-01-05",42
"2018-01-06",40
"2018-01-07",48
"2018-01-08",65
"2018-01-09",58
"2018-01-10",60
"2018-01-11",52
"2018-01-12",32
"2018-01-13",38
"2018-01-14",49
"2018-01-15",79
"2018-01-16",74
"2018-01-17",65
"2018-01-18",63
"2018-01-19",48
"2018-01-20",36
"2018-01-21",50
"2018-01-22",84
"2018-01-23",64
"2018-01-24",64
"2018-01-25",53
"2018-01-26",47
"2018-01-27",43
"2018-01-28",62
"2018-01-29",95
"2018-01-30",68
"2018-01-31",57
"2018-02-01",73
"2018-02-02",44
"2018-02-03",51
"2018-02-04",67
"2018-02-05",59
"2018-02-06",56
"2018-02-07",49
"2018-02-08",42
"2018-02-09",35
"2018-02-10",28
"2018-02-11",33
"2018-02-12",35
"2018-02-13",31
"2018-02-14",22
"2018-02-15",20
"2018-02-16",22
"2018-02-17",27
"2018-02-18",46
"2018-02-19",67
"2018-02-20",48
"2018-02-21",53
"2018-02-22",52
"2018-02-23",42
"2018-02-24",35
"2018-02-25",44
"2018-02-26",50
"2018-02-27",53
"2018-02-28",42
"2018-03-01",44
"2018-03-02",36
"2018-03-03",37
"2018-03-04",53
"2018-03-05",60
"2018-03-06",52
"2018-03-07",53
"2018-03-08",50
"2018-03-09",38
"2018-03-10",32
"2018-03-11",54
"2018-03-12",66
"2018-03-13",55
"2018-03-14",48
"2018-03-15",48
"2018-03-16",31
"2018-03-17",29
"2018-03-18",43
"2018-03-19",62
"2018-03-20",66
"2018-03-21",57
"2018-03-22",53
"2018-03-23",37
"2018-03-24",38
"2018-03-25",57
"2018-03-26",62
"2018-03-27",62
"2018-03-28",57
"2018-03-29",57
"2018-03-30",37
"2018-03-31",35
"2018-04-01",55
"2018-04-02",60
"2018-04-03",62
"2018-04-04",55
"2018-04-05",49
"2018-04-06",40
"2018-04-07",36
"2018-04-08",51
"2018-04-09",65
"2018-04-10",56
"2018-04-11",64
"2018-04-12",59
"2018-04-13",46
"2018-04-14",43
"2018-04-15",60
"2018-04-16",80
"2018-04-17",100
"2018-04-18",85
"2018-04-19",74
