네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
식품
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","명란젓"
"2017-08-01",28
"2017-08-02",25
"2017-08-03",20
"2017-08-04",28
"2017-08-05",19
"2017-08-06",43
"2017-08-07",47
"2017-08-08",41
"2017-08-09",39
"2017-08-10",28
"2017-08-11",29
"2017-08-12",29
"2017-08-13",29
"2017-08-14",79
"2017-08-15",63
"2017-08-16",47
"2017-08-17",39
"2017-08-18",44
"2017-08-19",26
"2017-08-20",33
"2017-08-21",40
"2017-08-22",35
"2017-08-23",35
"2017-08-24",32
"2017-08-25",22
"2017-08-26",25
"2017-08-27",27
"2017-08-28",30
"2017-08-29",30
"2017-08-30",35
"2017-08-31",29
"2017-09-01",22
"2017-09-02",47
"2017-09-03",44
"2017-09-04",41
"2017-09-05",39
"2017-09-06",38
"2017-09-07",38
"2017-09-08",60
"2017-09-09",49
"2017-09-10",49
"2017-09-11",100
"2017-09-12",63
"2017-09-13",52
"2017-09-14",40
"2017-09-15",31
"2017-09-16",32
"2017-09-17",42
"2017-09-18",45
"2017-09-19",47
"2017-09-20",42
"2017-09-21",56
"2017-09-22",38
"2017-09-23",34
"2017-09-24",48
"2017-09-25",48
"2017-09-26",49
"2017-09-27",49
"2017-09-28",30
"2017-09-29",19
"2017-09-30",14
"2017-10-01",18
"2017-10-02",17
"2017-10-03",15
"2017-10-04",17
"2017-10-05",21
"2017-10-06",23
"2017-10-07",24
"2017-10-08",28
"2017-10-09",41
"2017-10-10",34
"2017-10-11",39
"2017-10-12",36
"2017-10-13",25
"2017-10-14",27
"2017-10-15",45
"2017-10-16",62
"2017-10-17",47
"2017-10-18",45
"2017-10-19",33
"2017-10-20",23
"2017-10-21",21
"2017-10-22",24
"2017-10-23",36
"2017-10-24",28
"2017-10-25",27
"2017-10-26",24
"2017-10-27",25
"2017-10-28",19
"2017-10-29",30
"2017-10-30",38
"2017-10-31",27
"2017-11-01",24
"2017-11-02",63
"2017-11-03",31
"2017-11-04",24
"2017-11-05",31
"2017-11-06",34
"2017-11-07",36
"2017-11-08",31
"2017-11-09",27
"2017-11-10",23
"2017-11-11",22
"2017-11-12",28
"2017-11-13",37
"2017-11-14",41
"2017-11-15",24
"2017-11-16",24
"2017-11-17",32
"2017-11-18",20
"2017-11-19",31
"2017-11-20",29
"2017-11-21",25
"2017-11-22",21
"2017-11-23",23
"2017-11-24",24
"2017-11-25",16
"2017-11-26",23
"2017-11-27",28
"2017-11-28",40
"2017-11-29",38
"2017-11-30",27
"2017-12-01",21
"2017-12-02",27
"2017-12-03",26
"2017-12-04",33
"2017-12-05",30
"2017-12-06",30
"2017-12-07",26
"2017-12-08",24
"2017-12-09",23
"2017-12-10",42
"2017-12-11",36
"2017-12-12",30
"2017-12-13",29
"2017-12-14",28
"2017-12-15",23
"2017-12-16",18
"2017-12-17",25
"2017-12-18",27
"2017-12-19",31
"2017-12-20",36
"2017-12-21",26
"2017-12-22",19
"2017-12-23",15
"2017-12-24",17
"2017-12-25",34
"2017-12-26",27
"2017-12-27",49
"2017-12-28",40
"2017-12-29",22
"2017-12-30",19
"2017-12-31",65
"2018-01-01",37
"2018-01-02",36
"2018-01-03",33
"2018-01-04",29
"2018-01-05",23
"2018-01-06",23
"2018-01-07",40
"2018-01-08",31
"2018-01-09",35
"2018-01-10",47
"2018-01-11",37
"2018-01-12",25
"2018-01-13",32
"2018-01-14",32
"2018-01-15",39
"2018-01-16",32
"2018-01-17",36
"2018-01-18",32
"2018-01-19",37
"2018-01-20",44
"2018-01-21",32
"2018-01-22",42
"2018-01-23",42
"2018-01-24",46
"2018-01-25",41
"2018-01-26",32
"2018-01-27",28
"2018-01-28",41
"2018-01-29",83
"2018-01-30",48
"2018-01-31",44
"2018-02-01",36
"2018-02-02",30
"2018-02-03",29
"2018-02-04",79
"2018-02-05",67
"2018-02-06",56
"2018-02-07",74
"2018-02-08",54
"2018-02-09",35
"2018-02-10",36
"2018-02-11",35
"2018-02-12",33
"2018-02-13",25
"2018-02-14",21
"2018-02-15",16
"2018-02-16",15
"2018-02-17",17
"2018-02-18",24
"2018-02-19",30
"2018-02-20",32
"2018-02-21",39
"2018-02-22",31
"2018-02-23",25
"2018-02-24",20
"2018-02-25",30
"2018-02-26",43
"2018-02-27",44
"2018-02-28",36
"2018-03-01",41
"2018-03-02",40
"2018-03-03",29
"2018-03-04",41
"2018-03-05",42
"2018-03-06",57
"2018-03-07",41
"2018-03-08",54
"2018-03-09",42
"2018-03-10",50
"2018-03-11",49
"2018-03-12",50
"2018-03-13",45
"2018-03-14",37
"2018-03-15",53
"2018-03-16",36
"2018-03-17",25
"2018-03-18",40
"2018-03-19",52
"2018-03-20",45
"2018-03-21",44
"2018-03-22",38
"2018-03-23",31
"2018-03-24",30
"2018-03-25",45
"2018-03-26",46
"2018-03-27",45
"2018-03-28",36
"2018-03-29",37
"2018-03-30",26
"2018-03-31",24
"2018-04-01",32
"2018-04-02",34
"2018-04-03",29
"2018-04-04",30
"2018-04-05",36
"2018-04-06",26
"2018-04-07",35
"2018-04-08",36
"2018-04-09",39
"2018-04-10",36
"2018-04-11",30
"2018-04-12",30
"2018-04-13",23
"2018-04-14",28
"2018-04-15",30
"2018-04-16",35
"2018-04-17",41
"2018-04-18",36
"2018-04-19",31
