네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","식탁의자"
"2017-08-01",47
"2017-08-02",45
"2017-08-03",47
"2017-08-04",41
"2017-08-05",48
"2017-08-06",61
"2017-08-07",59
"2017-08-08",61
"2017-08-09",58
"2017-08-10",60
"2017-08-11",43
"2017-08-12",49
"2017-08-13",63
"2017-08-14",64
"2017-08-15",71
"2017-08-16",49
"2017-08-17",50
"2017-08-18",51
"2017-08-19",44
"2017-08-20",67
"2017-08-21",55
"2017-08-22",55
"2017-08-23",54
"2017-08-24",52
"2017-08-25",39
"2017-08-26",49
"2017-08-27",57
"2017-08-28",50
"2017-08-29",54
"2017-08-30",47
"2017-08-31",46
"2017-09-01",45
"2017-09-02",48
"2017-09-03",57
"2017-09-04",50
"2017-09-05",49
"2017-09-06",52
"2017-09-07",49
"2017-09-08",42
"2017-09-09",46
"2017-09-10",68
"2017-09-11",62
"2017-09-12",54
"2017-09-13",49
"2017-09-14",45
"2017-09-15",40
"2017-09-16",46
"2017-09-17",60
"2017-09-18",59
"2017-09-19",51
"2017-09-20",57
"2017-09-21",46
"2017-09-22",45
"2017-09-23",43
"2017-09-24",60
"2017-09-25",55
"2017-09-26",51
"2017-09-27",44
"2017-09-28",38
"2017-09-29",31
"2017-09-30",41
"2017-10-01",51
"2017-10-02",44
"2017-10-03",35
"2017-10-04",37
"2017-10-05",47
"2017-10-06",51
"2017-10-07",63
"2017-10-08",71
"2017-10-09",87
"2017-10-10",64
"2017-10-11",61
"2017-10-12",50
"2017-10-13",47
"2017-10-14",52
"2017-10-15",65
"2017-10-16",56
"2017-10-17",53
"2017-10-18",52
"2017-10-19",53
"2017-10-20",45
"2017-10-21",47
"2017-10-22",73
"2017-10-23",60
"2017-10-24",51
"2017-10-25",55
"2017-10-26",52
"2017-10-27",58
"2017-10-28",65
"2017-10-29",77
"2017-10-30",72
"2017-10-31",59
"2017-11-01",65
"2017-11-02",61
"2017-11-03",59
"2017-11-04",64
"2017-11-05",73
"2017-11-06",71
"2017-11-07",64
"2017-11-08",71
"2017-11-09",70
"2017-11-10",53
"2017-11-11",64
"2017-11-12",81
"2017-11-13",69
"2017-11-14",68
"2017-11-15",53
"2017-11-16",52
"2017-11-17",51
"2017-11-18",58
"2017-11-19",70
"2017-11-20",68
"2017-11-21",65
"2017-11-22",57
"2017-11-23",49
"2017-11-24",45
"2017-11-25",50
"2017-11-26",64
"2017-11-27",65
"2017-11-28",58
"2017-11-29",61
"2017-11-30",58
"2017-12-01",51
"2017-12-02",56
"2017-12-03",74
"2017-12-04",69
"2017-12-05",66
"2017-12-06",53
"2017-12-07",48
"2017-12-08",46
"2017-12-09",54
"2017-12-10",77
"2017-12-11",69
"2017-12-12",62
"2017-12-13",56
"2017-12-14",55
"2017-12-15",50
"2017-12-16",55
"2017-12-17",71
"2017-12-18",67
"2017-12-19",54
"2017-12-20",57
"2017-12-21",50
"2017-12-22",46
"2017-12-23",46
"2017-12-24",58
"2017-12-25",68
"2017-12-26",67
"2017-12-27",55
"2017-12-28",55
"2017-12-29",53
"2017-12-30",57
"2017-12-31",61
"2018-01-01",75
"2018-01-02",78
"2018-01-03",68
"2018-01-04",66
"2018-01-05",54
"2018-01-06",67
"2018-01-07",88
"2018-01-08",74
"2018-01-09",66
"2018-01-10",62
"2018-01-11",63
"2018-01-12",53
"2018-01-13",64
"2018-01-14",84
"2018-01-15",74
"2018-01-16",72
"2018-01-17",63
"2018-01-18",65
"2018-01-19",69
"2018-01-20",76
"2018-01-21",95
"2018-01-22",81
"2018-01-23",71
"2018-01-24",70
"2018-01-25",65
"2018-01-26",58
"2018-01-27",72
"2018-01-28",89
"2018-01-29",81
"2018-01-30",67
"2018-01-31",66
"2018-02-01",70
"2018-02-02",65
"2018-02-03",81
"2018-02-04",97
"2018-02-05",95
"2018-02-06",89
"2018-02-07",68
"2018-02-08",71
"2018-02-09",57
"2018-02-10",76
"2018-02-11",100
"2018-02-12",78
"2018-02-13",64
"2018-02-14",55
"2018-02-15",47
"2018-02-16",44
"2018-02-17",68
"2018-02-18",83
"2018-02-19",82
"2018-02-20",63
"2018-02-21",66
"2018-02-22",58
"2018-02-23",52
"2018-02-24",67
"2018-02-25",82
"2018-02-26",77
"2018-02-27",76
"2018-02-28",69
"2018-03-01",96
"2018-03-02",71
"2018-03-03",74
"2018-03-04",100
"2018-03-05",77
"2018-03-06",64
"2018-03-07",74
"2018-03-08",67
"2018-03-09",56
"2018-03-10",65
"2018-03-11",89
"2018-03-12",81
"2018-03-13",67
"2018-03-14",65
"2018-03-15",66
"2018-03-16",57
"2018-03-17",64
"2018-03-18",90
"2018-03-19",89
"2018-03-20",70
"2018-03-21",72
"2018-03-22",60
"2018-03-23",59
"2018-03-24",74
"2018-03-25",97
"2018-03-26",86
"2018-03-27",69
"2018-03-28",60
"2018-03-29",67
"2018-03-30",59
"2018-03-31",66
"2018-04-01",81
"2018-04-02",67
"2018-04-03",66
"2018-04-04",64
"2018-04-05",63
"2018-04-06",60
"2018-04-07",68
"2018-04-08",86
"2018-04-09",74
"2018-04-10",74
"2018-04-11",66
"2018-04-12",57
"2018-04-13",49
"2018-04-14",77
"2018-04-15",81
"2018-04-16",68
"2018-04-17",68
"2018-04-18",62
"2018-04-19",58
