네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","암막커튼"
"2017-08-01",24
"2017-08-02",26
"2017-08-03",24
"2017-08-04",22
"2017-08-05",24
"2017-08-06",31
"2017-08-07",32
"2017-08-08",32
"2017-08-09",27
"2017-08-10",25
"2017-08-11",22
"2017-08-12",20
"2017-08-13",27
"2017-08-14",27
"2017-08-15",28
"2017-08-16",25
"2017-08-17",26
"2017-08-18",25
"2017-08-19",22
"2017-08-20",28
"2017-08-21",33
"2017-08-22",28
"2017-08-23",27
"2017-08-24",26
"2017-08-25",22
"2017-08-26",27
"2017-08-27",30
"2017-08-28",31
"2017-08-29",35
"2017-08-30",34
"2017-08-31",32
"2017-09-01",31
"2017-09-02",32
"2017-09-03",38
"2017-09-04",39
"2017-09-05",33
"2017-09-06",31
"2017-09-07",28
"2017-09-08",25
"2017-09-09",25
"2017-09-10",33
"2017-09-11",35
"2017-09-12",30
"2017-09-13",33
"2017-09-14",32
"2017-09-15",29
"2017-09-16",27
"2017-09-17",36
"2017-09-18",39
"2017-09-19",34
"2017-09-20",34
"2017-09-21",33
"2017-09-22",27
"2017-09-23",27
"2017-09-24",35
"2017-09-25",38
"2017-09-26",34
"2017-09-27",30
"2017-09-28",25
"2017-09-29",22
"2017-09-30",26
"2017-10-01",25
"2017-10-02",27
"2017-10-03",25
"2017-10-04",28
"2017-10-05",33
"2017-10-06",37
"2017-10-07",40
"2017-10-08",46
"2017-10-09",56
"2017-10-10",47
"2017-10-11",43
"2017-10-12",43
"2017-10-13",45
"2017-10-14",41
"2017-10-15",57
"2017-10-16",57
"2017-10-17",53
"2017-10-18",48
"2017-10-19",39
"2017-10-20",37
"2017-10-21",36
"2017-10-22",54
"2017-10-23",54
"2017-10-24",50
"2017-10-25",50
"2017-10-26",47
"2017-10-27",40
"2017-10-28",43
"2017-10-29",57
"2017-10-30",75
"2017-10-31",61
"2017-11-01",60
"2017-11-02",57
"2017-11-03",50
"2017-11-04",57
"2017-11-05",77
"2017-11-06",72
"2017-11-07",63
"2017-11-08",61
"2017-11-09",67
"2017-11-10",46
"2017-11-11",53
"2017-11-12",75
"2017-11-13",70
"2017-11-14",64
"2017-11-15",76
"2017-11-16",69
"2017-11-17",58
"2017-11-18",67
"2017-11-19",97
"2017-11-20",100
"2017-11-21",79
"2017-11-22",80
"2017-11-23",77
"2017-11-24",61
"2017-11-25",57
"2017-11-26",65
"2017-11-27",71
"2017-11-28",61
"2017-11-29",53
"2017-11-30",53
"2017-12-01",49
"2017-12-02",48
"2017-12-03",57
"2017-12-04",59
"2017-12-05",69
"2017-12-06",60
"2017-12-07",50
"2017-12-08",46
"2017-12-09",44
"2017-12-10",55
"2017-12-11",66
"2017-12-12",70
"2017-12-13",74
"2017-12-14",63
"2017-12-15",44
"2017-12-16",48
"2017-12-17",70
"2017-12-18",60
"2017-12-19",51
"2017-12-20",49
"2017-12-21",39
"2017-12-22",32
"2017-12-23",32
"2017-12-24",32
"2017-12-25",49
"2017-12-26",53
"2017-12-27",47
"2017-12-28",43
"2017-12-29",32
"2017-12-30",36
"2017-12-31",41
"2018-01-01",49
"2018-01-02",52
"2018-01-03",58
"2018-01-04",45
"2018-01-05",38
"2018-01-06",43
"2018-01-07",53
"2018-01-08",51
"2018-01-09",49
"2018-01-10",47
"2018-01-11",51
"2018-01-12",46
"2018-01-13",40
"2018-01-14",50
"2018-01-15",48
"2018-01-16",44
"2018-01-17",42
"2018-01-18",32
"2018-01-19",33
"2018-01-20",34
"2018-01-21",46
"2018-01-22",44
"2018-01-23",48
"2018-01-24",50
"2018-01-25",54
"2018-01-26",44
"2018-01-27",48
"2018-01-28",55
"2018-01-29",54
"2018-01-30",48
"2018-01-31",45
"2018-02-01",45
"2018-02-02",38
"2018-02-03",44
"2018-02-04",61
"2018-02-05",57
"2018-02-06",59
"2018-02-07",54
"2018-02-08",47
"2018-02-09",34
"2018-02-10",40
"2018-02-11",52
"2018-02-12",42
"2018-02-13",31
"2018-02-14",27
"2018-02-15",26
"2018-02-16",27
"2018-02-17",36
"2018-02-18",46
"2018-02-19",54
"2018-02-20",43
"2018-02-21",45
"2018-02-22",41
"2018-02-23",35
"2018-02-24",42
"2018-02-25",53
"2018-02-26",56
"2018-02-27",52
"2018-02-28",43
"2018-03-01",49
"2018-03-02",45
"2018-03-03",45
"2018-03-04",53
"2018-03-05",45
"2018-03-06",43
"2018-03-07",38
"2018-03-08",36
"2018-03-09",29
"2018-03-10",35
"2018-03-11",46
"2018-03-12",47
"2018-03-13",41
"2018-03-14",36
"2018-03-15",32
"2018-03-16",33
"2018-03-17",37
"2018-03-18",43
"2018-03-19",42
"2018-03-20",42
"2018-03-21",38
"2018-03-22",36
"2018-03-23",34
"2018-03-24",29
"2018-03-25",45
"2018-03-26",46
"2018-03-27",40
"2018-03-28",42
"2018-03-29",30
"2018-03-30",27
"2018-03-31",28
"2018-04-01",40
"2018-04-02",40
"2018-04-03",32
"2018-04-04",35
"2018-04-05",35
"2018-04-06",27
"2018-04-07",30
"2018-04-08",42
"2018-04-09",41
"2018-04-10",36
"2018-04-11",37
"2018-04-12",36
"2018-04-13",25
"2018-04-14",27
"2018-04-15",39
"2018-04-16",44
"2018-04-17",42
"2018-04-18",42
"2018-04-19",37
