네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","주방수납장"
"2017-08-01",30
"2017-08-02",36
"2017-08-03",36
"2017-08-04",31
"2017-08-05",29
"2017-08-06",46
"2017-08-07",37
"2017-08-08",39
"2017-08-09",42
"2017-08-10",34
"2017-08-11",33
"2017-08-12",39
"2017-08-13",43
"2017-08-14",47
"2017-08-15",56
"2017-08-16",38
"2017-08-17",43
"2017-08-18",37
"2017-08-19",35
"2017-08-20",43
"2017-08-21",45
"2017-08-22",41
"2017-08-23",42
"2017-08-24",37
"2017-08-25",30
"2017-08-26",35
"2017-08-27",41
"2017-08-28",42
"2017-08-29",40
"2017-08-30",37
"2017-08-31",38
"2017-09-01",33
"2017-09-02",39
"2017-09-03",51
"2017-09-04",47
"2017-09-05",41
"2017-09-06",41
"2017-09-07",41
"2017-09-08",34
"2017-09-09",41
"2017-09-10",56
"2017-09-11",44
"2017-09-12",44
"2017-09-13",42
"2017-09-14",34
"2017-09-15",35
"2017-09-16",36
"2017-09-17",47
"2017-09-18",46
"2017-09-19",37
"2017-09-20",36
"2017-09-21",33
"2017-09-22",31
"2017-09-23",34
"2017-09-24",46
"2017-09-25",43
"2017-09-26",40
"2017-09-27",39
"2017-09-28",30
"2017-09-29",29
"2017-09-30",29
"2017-10-01",33
"2017-10-02",38
"2017-10-03",33
"2017-10-04",27
"2017-10-05",38
"2017-10-06",47
"2017-10-07",53
"2017-10-08",67
"2017-10-09",72
"2017-10-10",53
"2017-10-11",53
"2017-10-12",54
"2017-10-13",39
"2017-10-14",42
"2017-10-15",49
"2017-10-16",52
"2017-10-17",57
"2017-10-18",48
"2017-10-19",43
"2017-10-20",44
"2017-10-21",41
"2017-10-22",61
"2017-10-23",54
"2017-10-24",54
"2017-10-25",44
"2017-10-26",45
"2017-10-27",46
"2017-10-28",41
"2017-10-29",61
"2017-10-30",50
"2017-10-31",45
"2017-11-01",51
"2017-11-02",51
"2017-11-03",45
"2017-11-04",49
"2017-11-05",63
"2017-11-06",58
"2017-11-07",55
"2017-11-08",66
"2017-11-09",61
"2017-11-10",44
"2017-11-11",44
"2017-11-12",73
"2017-11-13",63
"2017-11-14",56
"2017-11-15",40
"2017-11-16",49
"2017-11-17",39
"2017-11-18",46
"2017-11-19",66
"2017-11-20",65
"2017-11-21",53
"2017-11-22",43
"2017-11-23",46
"2017-11-24",40
"2017-11-25",50
"2017-11-26",61
"2017-11-27",52
"2017-11-28",46
"2017-11-29",45
"2017-11-30",46
"2017-12-01",43
"2017-12-02",48
"2017-12-03",64
"2017-12-04",61
"2017-12-05",57
"2017-12-06",54
"2017-12-07",52
"2017-12-08",45
"2017-12-09",49
"2017-12-10",65
"2017-12-11",57
"2017-12-12",50
"2017-12-13",49
"2017-12-14",45
"2017-12-15",39
"2017-12-16",38
"2017-12-17",55
"2017-12-18",51
"2017-12-19",49
"2017-12-20",46
"2017-12-21",45
"2017-12-22",36
"2017-12-23",45
"2017-12-24",53
"2017-12-25",57
"2017-12-26",53
"2017-12-27",56
"2017-12-28",52
"2017-12-29",48
"2017-12-30",49
"2017-12-31",55
"2018-01-01",68
"2018-01-02",69
"2018-01-03",76
"2018-01-04",68
"2018-01-05",53
"2018-01-06",61
"2018-01-07",93
"2018-01-08",70
"2018-01-09",72
"2018-01-10",55
"2018-01-11",66
"2018-01-12",59
"2018-01-13",61
"2018-01-14",76
"2018-01-15",72
"2018-01-16",65
"2018-01-17",63
"2018-01-18",60
"2018-01-19",53
"2018-01-20",62
"2018-01-21",88
"2018-01-22",73
"2018-01-23",64
"2018-01-24",59
"2018-01-25",57
"2018-01-26",56
"2018-01-27",64
"2018-01-28",80
"2018-01-29",65
"2018-01-30",61
"2018-01-31",56
"2018-02-01",53
"2018-02-02",51
"2018-02-03",55
"2018-02-04",79
"2018-02-05",61
"2018-02-06",56
"2018-02-07",55
"2018-02-08",52
"2018-02-09",51
"2018-02-10",54
"2018-02-11",68
"2018-02-12",52
"2018-02-13",43
"2018-02-14",45
"2018-02-15",45
"2018-02-16",38
"2018-02-17",63
"2018-02-18",83
"2018-02-19",75
"2018-02-20",66
"2018-02-21",59
"2018-02-22",58
"2018-02-23",56
"2018-02-24",58
"2018-02-25",80
"2018-02-26",68
"2018-02-27",75
"2018-02-28",70
"2018-03-01",84
"2018-03-02",69
"2018-03-03",73
"2018-03-04",100
"2018-03-05",75
"2018-03-06",60
"2018-03-07",60
"2018-03-08",64
"2018-03-09",51
"2018-03-10",62
"2018-03-11",75
"2018-03-12",59
"2018-03-13",55
"2018-03-14",46
"2018-03-15",56
"2018-03-16",48
"2018-03-17",61
"2018-03-18",70
"2018-03-19",63
"2018-03-20",63
"2018-03-21",62
"2018-03-22",56
"2018-03-23",50
"2018-03-24",55
"2018-03-25",69
"2018-03-26",64
"2018-03-27",61
"2018-03-28",48
"2018-03-29",50
"2018-03-30",46
"2018-03-31",56
"2018-04-01",74
"2018-04-02",62
"2018-04-03",56
"2018-04-04",54
"2018-04-05",57
"2018-04-06",56
"2018-04-07",54
"2018-04-08",75
"2018-04-09",60
"2018-04-10",55
"2018-04-11",55
"2018-04-12",55
"2018-04-13",39
"2018-04-14",57
"2018-04-15",63
"2018-04-16",61
"2018-04-17",53
"2018-04-18",48
"2018-04-19",45
