네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","사이드테이블"
"2017-08-01",45
"2017-08-02",40
"2017-08-03",43
"2017-08-04",39
"2017-08-05",38
"2017-08-06",52
"2017-08-07",48
"2017-08-08",48
"2017-08-09",47
"2017-08-10",47
"2017-08-11",39
"2017-08-12",45
"2017-08-13",51
"2017-08-14",54
"2017-08-15",58
"2017-08-16",47
"2017-08-17",47
"2017-08-18",45
"2017-08-19",41
"2017-08-20",57
"2017-08-21",60
"2017-08-22",49
"2017-08-23",49
"2017-08-24",42
"2017-08-25",43
"2017-08-26",40
"2017-08-27",61
"2017-08-28",55
"2017-08-29",51
"2017-08-30",48
"2017-08-31",47
"2017-09-01",45
"2017-09-02",42
"2017-09-03",56
"2017-09-04",53
"2017-09-05",53
"2017-09-06",48
"2017-09-07",50
"2017-09-08",41
"2017-09-09",38
"2017-09-10",50
"2017-09-11",56
"2017-09-12",48
"2017-09-13",46
"2017-09-14",41
"2017-09-15",31
"2017-09-16",38
"2017-09-17",47
"2017-09-18",47
"2017-09-19",43
"2017-09-20",44
"2017-09-21",46
"2017-09-22",35
"2017-09-23",36
"2017-09-24",49
"2017-09-25",49
"2017-09-26",44
"2017-09-27",40
"2017-09-28",36
"2017-09-29",26
"2017-09-30",28
"2017-10-01",34
"2017-10-02",33
"2017-10-03",34
"2017-10-04",29
"2017-10-05",40
"2017-10-06",42
"2017-10-07",44
"2017-10-08",52
"2017-10-09",74
"2017-10-10",59
"2017-10-11",56
"2017-10-12",52
"2017-10-13",48
"2017-10-14",45
"2017-10-15",63
"2017-10-16",53
"2017-10-17",53
"2017-10-18",53
"2017-10-19",45
"2017-10-20",33
"2017-10-21",38
"2017-10-22",55
"2017-10-23",61
"2017-10-24",52
"2017-10-25",49
"2017-10-26",52
"2017-10-27",45
"2017-10-28",46
"2017-10-29",66
"2017-10-30",58
"2017-10-31",54
"2017-11-01",56
"2017-11-02",56
"2017-11-03",47
"2017-11-04",55
"2017-11-05",68
"2017-11-06",65
"2017-11-07",65
"2017-11-08",60
"2017-11-09",52
"2017-11-10",47
"2017-11-11",47
"2017-11-12",67
"2017-11-13",60
"2017-11-14",59
"2017-11-15",54
"2017-11-16",48
"2017-11-17",42
"2017-11-18",47
"2017-11-19",68
"2017-11-20",60
"2017-11-21",56
"2017-11-22",55
"2017-11-23",53
"2017-11-24",45
"2017-11-25",47
"2017-11-26",60
"2017-11-27",61
"2017-11-28",56
"2017-11-29",48
"2017-11-30",47
"2017-12-01",41
"2017-12-02",42
"2017-12-03",61
"2017-12-04",66
"2017-12-05",59
"2017-12-06",63
"2017-12-07",52
"2017-12-08",39
"2017-12-09",53
"2017-12-10",62
"2017-12-11",60
"2017-12-12",53
"2017-12-13",50
"2017-12-14",47
"2017-12-15",45
"2017-12-16",39
"2017-12-17",60
"2017-12-18",54
"2017-12-19",45
"2017-12-20",46
"2017-12-21",40
"2017-12-22",33
"2017-12-23",39
"2017-12-24",44
"2017-12-25",54
"2017-12-26",54
"2017-12-27",50
"2017-12-28",46
"2017-12-29",44
"2017-12-30",51
"2017-12-31",50
"2018-01-01",58
"2018-01-02",59
"2018-01-03",59
"2018-01-04",60
"2018-01-05",49
"2018-01-06",56
"2018-01-07",64
"2018-01-08",64
"2018-01-09",56
"2018-01-10",59
"2018-01-11",51
"2018-01-12",44
"2018-01-13",56
"2018-01-14",74
"2018-01-15",71
"2018-01-16",58
"2018-01-17",63
"2018-01-18",56
"2018-01-19",57
"2018-01-20",57
"2018-01-21",70
"2018-01-22",73
"2018-01-23",65
"2018-01-24",63
"2018-01-25",57
"2018-01-26",54
"2018-01-27",60
"2018-01-28",89
"2018-01-29",68
"2018-01-30",68
"2018-01-31",65
"2018-02-01",61
"2018-02-02",47
"2018-02-03",55
"2018-02-04",83
"2018-02-05",72
"2018-02-06",63
"2018-02-07",57
"2018-02-08",58
"2018-02-09",41
"2018-02-10",50
"2018-02-11",68
"2018-02-12",53
"2018-02-13",42
"2018-02-14",35
"2018-02-15",42
"2018-02-16",40
"2018-02-17",54
"2018-02-18",64
"2018-02-19",73
"2018-02-20",62
"2018-02-21",62
"2018-02-22",68
"2018-02-23",58
"2018-02-24",55
"2018-02-25",76
"2018-02-26",76
"2018-02-27",68
"2018-02-28",63
"2018-03-01",87
"2018-03-02",65
"2018-03-03",65
"2018-03-04",100
"2018-03-05",77
"2018-03-06",59
"2018-03-07",67
"2018-03-08",67
"2018-03-09",54
"2018-03-10",56
"2018-03-11",86
"2018-03-12",72
"2018-03-13",71
"2018-03-14",67
"2018-03-15",65
"2018-03-16",53
"2018-03-17",57
"2018-03-18",88
"2018-03-19",83
"2018-03-20",72
"2018-03-21",70
"2018-03-22",69
"2018-03-23",55
"2018-03-24",69
"2018-03-25",82
"2018-03-26",77
"2018-03-27",68
"2018-03-28",67
"2018-03-29",58
"2018-03-30",50
"2018-03-31",55
"2018-04-01",84
"2018-04-02",68
"2018-04-03",65
"2018-04-04",66
"2018-04-05",55
"2018-04-06",53
"2018-04-07",58
"2018-04-08",74
"2018-04-09",75
"2018-04-10",74
"2018-04-11",65
"2018-04-12",55
"2018-04-13",50
"2018-04-14",63
"2018-04-15",65
"2018-04-16",69
"2018-04-17",69
"2018-04-18",71
"2018-04-19",68
