네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","컴퓨터책상"
"2017-08-01",43
"2017-08-02",44
"2017-08-03",44
"2017-08-04",34
"2017-08-05",36
"2017-08-06",51
"2017-08-07",47
"2017-08-08",48
"2017-08-09",50
"2017-08-10",47
"2017-08-11",43
"2017-08-12",37
"2017-08-13",53
"2017-08-14",45
"2017-08-15",66
"2017-08-16",59
"2017-08-17",51
"2017-08-18",44
"2017-08-19",44
"2017-08-20",61
"2017-08-21",64
"2017-08-22",56
"2017-08-23",51
"2017-08-24",47
"2017-08-25",41
"2017-08-26",46
"2017-08-27",49
"2017-08-28",48
"2017-08-29",54
"2017-08-30",48
"2017-08-31",47
"2017-09-01",44
"2017-09-02",42
"2017-09-03",56
"2017-09-04",53
"2017-09-05",49
"2017-09-06",49
"2017-09-07",46
"2017-09-08",37
"2017-09-09",43
"2017-09-10",55
"2017-09-11",58
"2017-09-12",54
"2017-09-13",49
"2017-09-14",46
"2017-09-15",36
"2017-09-16",42
"2017-09-17",59
"2017-09-18",58
"2017-09-19",52
"2017-09-20",50
"2017-09-21",48
"2017-09-22",43
"2017-09-23",39
"2017-09-24",52
"2017-09-25",55
"2017-09-26",47
"2017-09-27",43
"2017-09-28",33
"2017-09-29",24
"2017-09-30",30
"2017-10-01",40
"2017-10-02",36
"2017-10-03",34
"2017-10-04",31
"2017-10-05",34
"2017-10-06",42
"2017-10-07",48
"2017-10-08",51
"2017-10-09",63
"2017-10-10",65
"2017-10-11",60
"2017-10-12",54
"2017-10-13",39
"2017-10-14",44
"2017-10-15",57
"2017-10-16",63
"2017-10-17",60
"2017-10-18",58
"2017-10-19",48
"2017-10-20",43
"2017-10-21",42
"2017-10-22",58
"2017-10-23",60
"2017-10-24",55
"2017-10-25",60
"2017-10-26",50
"2017-10-27",43
"2017-10-28",45
"2017-10-29",64
"2017-10-30",62
"2017-10-31",54
"2017-11-01",53
"2017-11-02",54
"2017-11-03",46
"2017-11-04",48
"2017-11-05",60
"2017-11-06",60
"2017-11-07",61
"2017-11-08",50
"2017-11-09",48
"2017-11-10",47
"2017-11-11",44
"2017-11-12",61
"2017-11-13",60
"2017-11-14",55
"2017-11-15",46
"2017-11-16",45
"2017-11-17",38
"2017-11-18",40
"2017-11-19",52
"2017-11-20",59
"2017-11-21",46
"2017-11-22",52
"2017-11-23",43
"2017-11-24",42
"2017-11-25",42
"2017-11-26",61
"2017-11-27",60
"2017-11-28",54
"2017-11-29",51
"2017-11-30",53
"2017-12-01",46
"2017-12-02",44
"2017-12-03",62
"2017-12-04",66
"2017-12-05",58
"2017-12-06",53
"2017-12-07",48
"2017-12-08",43
"2017-12-09",48
"2017-12-10",68
"2017-12-11",63
"2017-12-12",57
"2017-12-13",53
"2017-12-14",46
"2017-12-15",41
"2017-12-16",47
"2017-12-17",57
"2017-12-18",57
"2017-12-19",49
"2017-12-20",52
"2017-12-21",43
"2017-12-22",40
"2017-12-23",41
"2017-12-24",49
"2017-12-25",56
"2017-12-26",57
"2017-12-27",54
"2017-12-28",47
"2017-12-29",39
"2017-12-30",47
"2017-12-31",48
"2018-01-01",62
"2018-01-02",68
"2018-01-03",64
"2018-01-04",57
"2018-01-05",48
"2018-01-06",53
"2018-01-07",74
"2018-01-08",73
"2018-01-09",60
"2018-01-10",61
"2018-01-11",54
"2018-01-12",50
"2018-01-13",55
"2018-01-14",64
"2018-01-15",69
"2018-01-16",60
"2018-01-17",59
"2018-01-18",59
"2018-01-19",56
"2018-01-20",66
"2018-01-21",82
"2018-01-22",78
"2018-01-23",74
"2018-01-24",70
"2018-01-25",60
"2018-01-26",49
"2018-01-27",62
"2018-01-28",82
"2018-01-29",68
"2018-01-30",62
"2018-01-31",65
"2018-02-01",67
"2018-02-02",58
"2018-02-03",60
"2018-02-04",85
"2018-02-05",80
"2018-02-06",71
"2018-02-07",67
"2018-02-08",59
"2018-02-09",47
"2018-02-10",51
"2018-02-11",75
"2018-02-12",70
"2018-02-13",51
"2018-02-14",51
"2018-02-15",47
"2018-02-16",48
"2018-02-17",62
"2018-02-18",83
"2018-02-19",93
"2018-02-20",86
"2018-02-21",76
"2018-02-22",70
"2018-02-23",65
"2018-02-24",69
"2018-02-25",88
"2018-02-26",100
"2018-02-27",88
"2018-02-28",68
"2018-03-01",90
"2018-03-02",83
"2018-03-03",85
"2018-03-04",99
"2018-03-05",87
"2018-03-06",75
"2018-03-07",73
"2018-03-08",71
"2018-03-09",57
"2018-03-10",62
"2018-03-11",87
"2018-03-12",78
"2018-03-13",67
"2018-03-14",67
"2018-03-15",72
"2018-03-16",54
"2018-03-17",62
"2018-03-18",91
"2018-03-19",85
"2018-03-20",70
"2018-03-21",73
"2018-03-22",68
"2018-03-23",51
"2018-03-24",57
"2018-03-25",82
"2018-03-26",82
"2018-03-27",67
"2018-03-28",60
"2018-03-29",61
"2018-03-30",48
"2018-03-31",54
"2018-04-01",77
"2018-04-02",80
"2018-04-03",63
"2018-04-04",66
"2018-04-05",64
"2018-04-06",57
"2018-04-07",62
"2018-04-08",78
"2018-04-09",77
"2018-04-10",69
"2018-04-11",67
"2018-04-12",64
"2018-04-13",51
"2018-04-14",59
"2018-04-15",78
"2018-04-16",79
"2018-04-17",71
"2018-04-18",66
"2018-04-19",62
