네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
가구/인테리어
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","러그"
"2017-08-01",22
"2017-08-02",23
"2017-08-03",21
"2017-08-04",21
"2017-08-05",21
"2017-08-06",23
"2017-08-07",26
"2017-08-08",24
"2017-08-09",31
"2017-08-10",30
"2017-08-11",23
"2017-08-12",22
"2017-08-13",31
"2017-08-14",29
"2017-08-15",38
"2017-08-16",32
"2017-08-17",33
"2017-08-18",29
"2017-08-19",28
"2017-08-20",37
"2017-08-21",49
"2017-08-22",36
"2017-08-23",38
"2017-08-24",37
"2017-08-25",29
"2017-08-26",29
"2017-08-27",41
"2017-08-28",36
"2017-08-29",42
"2017-08-30",48
"2017-08-31",45
"2017-09-01",44
"2017-09-02",40
"2017-09-03",47
"2017-09-04",48
"2017-09-05",51
"2017-09-06",53
"2017-09-07",56
"2017-09-08",40
"2017-09-09",38
"2017-09-10",53
"2017-09-11",55
"2017-09-12",51
"2017-09-13",55
"2017-09-14",49
"2017-09-15",40
"2017-09-16",37
"2017-09-17",53
"2017-09-18",52
"2017-09-19",50
"2017-09-20",48
"2017-09-21",52
"2017-09-22",36
"2017-09-23",39
"2017-09-24",46
"2017-09-25",51
"2017-09-26",48
"2017-09-27",40
"2017-09-28",36
"2017-09-29",33
"2017-09-30",38
"2017-10-01",49
"2017-10-02",48
"2017-10-03",38
"2017-10-04",37
"2017-10-05",49
"2017-10-06",64
"2017-10-07",66
"2017-10-08",59
"2017-10-09",69
"2017-10-10",60
"2017-10-11",62
"2017-10-12",74
"2017-10-13",72
"2017-10-14",69
"2017-10-15",93
"2017-10-16",91
"2017-10-17",82
"2017-10-18",84
"2017-10-19",65
"2017-10-20",56
"2017-10-21",53
"2017-10-22",75
"2017-10-23",71
"2017-10-24",76
"2017-10-25",73
"2017-10-26",68
"2017-10-27",58
"2017-10-28",59
"2017-10-29",86
"2017-10-30",93
"2017-10-31",83
"2017-11-01",81
"2017-11-02",69
"2017-11-03",59
"2017-11-04",66
"2017-11-05",85
"2017-11-06",88
"2017-11-07",76
"2017-11-08",71
"2017-11-09",64
"2017-11-10",61
"2017-11-11",61
"2017-11-12",100
"2017-11-13",100
"2017-11-14",96
"2017-11-15",81
"2017-11-16",82
"2017-11-17",71
"2017-11-18",71
"2017-11-19",89
"2017-11-20",96
"2017-11-21",88
"2017-11-22",81
"2017-11-23",72
"2017-11-24",60
"2017-11-25",60
"2017-11-26",71
"2017-11-27",75
"2017-11-28",70
"2017-11-29",67
"2017-11-30",67
"2017-12-01",61
"2017-12-02",57
"2017-12-03",79
"2017-12-04",77
"2017-12-05",77
"2017-12-06",69
"2017-12-07",58
"2017-12-08",50
"2017-12-09",51
"2017-12-10",73
"2017-12-11",78
"2017-12-12",73
"2017-12-13",69
"2017-12-14",69
"2017-12-15",53
"2017-12-16",52
"2017-12-17",73
"2017-12-18",68
"2017-12-19",63
"2017-12-20",63
"2017-12-21",48
"2017-12-22",39
"2017-12-23",39
"2017-12-24",44
"2017-12-25",54
"2017-12-26",50
"2017-12-27",55
"2017-12-28",48
"2017-12-29",34
"2017-12-30",38
"2017-12-31",48
"2018-01-01",56
"2018-01-02",57
"2018-01-03",56
"2018-01-04",56
"2018-01-05",43
"2018-01-06",49
"2018-01-07",63
"2018-01-08",65
"2018-01-09",60
"2018-01-10",58
"2018-01-11",58
"2018-01-12",50
"2018-01-13",50
"2018-01-14",65
"2018-01-15",60
"2018-01-16",53
"2018-01-17",50
"2018-01-18",52
"2018-01-19",47
"2018-01-20",46
"2018-01-21",57
"2018-01-22",56
"2018-01-23",60
"2018-01-24",63
"2018-01-25",61
"2018-01-26",49
"2018-01-27",53
"2018-01-28",78
"2018-01-29",68
"2018-01-30",56
"2018-01-31",57
"2018-02-01",53
"2018-02-02",44
"2018-02-03",54
"2018-02-04",67
"2018-02-05",67
"2018-02-06",60
"2018-02-07",59
"2018-02-08",49
"2018-02-09",40
"2018-02-10",45
"2018-02-11",59
"2018-02-12",47
"2018-02-13",41
"2018-02-14",32
"2018-02-15",34
"2018-02-16",36
"2018-02-17",39
"2018-02-18",50
"2018-02-19",63
"2018-02-20",51
"2018-02-21",56
"2018-02-22",54
"2018-02-23",47
"2018-02-24",50
"2018-02-25",69
"2018-02-26",68
"2018-02-27",64
"2018-02-28",56
"2018-03-01",71
"2018-03-02",63
"2018-03-03",56
"2018-03-04",78
"2018-03-05",60
"2018-03-06",48
"2018-03-07",54
"2018-03-08",50
"2018-03-09",45
"2018-03-10",48
"2018-03-11",62
"2018-03-12",58
"2018-03-13",56
"2018-03-14",50
"2018-03-15",46
"2018-03-16",46
"2018-03-17",43
"2018-03-18",57
"2018-03-19",58
"2018-03-20",51
"2018-03-21",47
"2018-03-22",47
"2018-03-23",41
"2018-03-24",43
"2018-03-25",57
"2018-03-26",58
"2018-03-27",48
"2018-03-28",43
"2018-03-29",41
"2018-03-30",38
"2018-03-31",42
"2018-04-01",56
"2018-04-02",57
"2018-04-03",57
"2018-04-04",50
"2018-04-05",51
"2018-04-06",52
"2018-04-07",56
"2018-04-08",69
"2018-04-09",68
"2018-04-10",65
"2018-04-11",62
"2018-04-12",52
"2018-04-13",49
"2018-04-14",58
"2018-04-15",79
"2018-04-16",68
"2018-04-17",63
"2018-04-18",59
"2018-04-19",54
